Messstelle:                ;Schützen am Gebirge
HZB-Nummer:                ;210096
HD-Nummer:                 ;
DBMS-Nummer:               ;1001009
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;383,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00122,17
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;772850,00 - 301550,00
   03.02.2012              ;772835,00 - 301484,00
   05.10.2018              ;772860,97 - 301542,34
Exportzeitreihe:           ;(1001009,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
12.01.1976 08:00:00;   210
17.02.1976 08:00:00;   162
01.03.1976 00:00:00;   156
27.04.1976 08:00:00;   152
27.05.1976 08:00:00;   178
17.06.1976 08:00:00;   150
10.07.1976 08:00:00;   150
21.08.1976 22:00:00;   161
01.09.1976 18:00:00;   200
17.10.1976 16:00:00;   174
15.11.1976 15:00:00;   157
03.12.1976 01:00:00;   266
30.01.1977 02:00:00;   191
12.02.1977 18:00:00;   229
04.03.1977 04:00:00;   186
09.04.1977 15:00:00;   172
14.05.1977 15:00:00;   163
14.06.1977 23:00:00;   209
21.07.1977 15:00:00;   183
19.08.1977 19:00:00;   189
09.09.1977 15:00:00;   149
31.10.1977 23:59:55;   140
27.11.1977 19:00:00;   146
29.12.1977 19:00:00;   145
30.01.1978 01:00:00;   146
28.02.1978 21:00:00;   156
01.03.1978 00:00:00;   156
14.04.1978 03:00:00;   145
20.05.1978 10:00:00;   196
25.06.1978 03:00:00;   185
05.07.1978 22:00:00;   152
31.08.1978 01:00:00;   153
29.09.1978 06:00:00;   147
02.10.1978 08:00:00;   158
09.11.1978 19:00:00;   144
17.12.1978 07:00:00;   148
25.01.1979 05:00:00;   162
17.02.1979 06:00:00;   189
29.03.1979 23:00:00;   173
06.04.1979 20:00:00;   291
03.05.1979 05:00:00;   231
20.06.1979 15:00:00;   224
20.07.1979 00:00:00;   259
01.08.1979 06:00:00;   268
24.09.1979 19:00:00;   208
31.10.1979 02:00:00;   148
20.11.1979 03:00:00;   235
25.12.1979 06:00:00;   175
01.01.1980 00:00:00;   155
06.02.1980 02:00:00;   168
30.03.1980 01:00:00;   163
23.04.1980 03:00:00;   218
08.05.1980 23:00:00;   187
24.06.1980 11:00:00;   256
07.07.1980 02:00:00;   183
08.08.1980 18:00:00;   217
01.09.1980 23:00:00;   167
13.10.1980 11:00:00;   237
06.11.1980 23:00:00;   201
15.12.1980 12:00:00;   202
04.01.1981 08:00:00;   178
07.02.1981 09:00:00;   174
18.03.1981 19:00:00;   172
27.04.1981 23:00:00;   170
30.05.1981 22:00:00;   213
24.06.1981 13:00:00;   264
19.07.1981 17:00:00;   185
17.08.1981 06:00:00;   229
29.09.1981 05:00:00;   236
23.10.1981 02:00:00;   228
28.11.1981 10:00:00;   161
29.12.1981 18:00:00;   155
02.01.1982 06:00:00;   230
01.02.1982 00:00:00;   173
19.03.1982 10:00:00;   186
01.04.1982 00:00:00;   151
11.05.1982 12:00:00;   203
23.06.1982 22:00:00;   231
