Messstelle:                ;Tumpen
HZB-Nummer:                ;201434
HD-Nummer:                 ;
DBMS-Nummer:               ;7001041
Gewässer:                  ;Ötztaler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;785,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00923,95
   01.05.1991              ;00931,10
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;193778,00 - 225023,00
   01.05.1991              ;193791,00 - 225069,69
Exportzeitreihe:           ;(7001041,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1962 00:00,01.01.2022 00:00]
Werte:
19.01.1962 18:00:00;    86
05.02.1962 18:00:00;    85
31.03.1962 18:00:00;    77
27.04.1962 18:00:00;   104
10.05.1962 18:00:00;   129
25.06.1962 18:00:00;   202
28.07.1962 18:00:00;   206
07.08.1962 18:00:00;   204
02.09.1962 18:00:00;   170
05.10.1962 18:00:00;    85
08.11.1962 18:00:00;    90
09.12.1962 18:00:00;   120
21.01.1963 00:00:00;   100
02.02.1963 00:00:00;    91
04.03.1963 18:00:00;   125
30.04.1963 18:00:00;    90
30.05.1963 18:00:00;   156
27.06.1963 18:00:00;   202
22.07.1963 00:00:00;   172
28.08.1963 18:00:00;   191
05.09.1963 18:00:00;   154
01.10.1963 00:00:00;    90
06.11.1963 18:00:00;    78
20.12.1963 18:00:00;   164
01.01.1964 00:00:00;   136
02.02.1964 00:00:00;   116
26.03.1964 00:00:00;    55
30.04.1964 00:00:00;    79
13.05.1964 18:00:00;   138
08.06.1964 18:00:00;   174
22.07.1964 00:00:00;   171
06.08.1964 18:00:00;   180
16.09.1964 18:00:00;   152
02.10.1964 00:00:00;    89
19.11.1964 18:00:00;    78
31.12.1964 18:00:00;    92
01.01.1965 18:00:00;    76
14.02.1965 00:00:00;    59
31.03.1965 18:00:00;    66
05.04.1965 00:00:00;    64
19.05.1965 18:00:00;   155
28.06.1965 18:00:00;   234
01.07.1965 18:00:00;   234
08.08.1965 18:00:00;   185
03.09.1965 18:00:00;   274
02.10.1965 00:00:00;   106
01.11.1965 18:00:00;    75
08.12.1965 18:00:00;    66
15.01.1966 00:00:00;   108
22.02.1966 00:00:00;    64
01.03.1966 00:00:00;    60
30.04.1966 00:00:00;    88
24.05.1966 18:00:00;   147
19.06.1966 18:00:00;   203
07.07.1966 18:00:00;   197
15.08.1966 18:00:00;   246
13.09.1966 18:00:00;   130
20.10.1966 18:00:00;   113
04.11.1966 18:00:00;   122
01.12.1966 00:00:00;    68
01.01.1967 00:00:00; Lücke
01.02.1967 00:00:00; Lücke
01.03.1967 00:00:00; Lücke
01.04.1967 00:00:00; Lücke
01.05.1967 00:00:00; Lücke
01.06.1967 00:00:00; Lücke
