Messstelle:                ;Kössen-Hütte
HZB-Nummer:                ;202382
HD-Nummer:                 ;
DBMS-Nummer:               ;7001125
Gewässer:                  ;Großache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;701,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   23.11.1992              ;00588,93
   23.01.2014              ;00588,78
   23.01.2019              ;00588,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1993              ;381168,00 - 280827,00
   23.01.2014              ;381123,21 - 280842,73
Exportzeitreihe:           ;(7001125,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1962 08:00,01.01.2022 00:00]
Werte:
27.01.1962 08:00:00;   151
06.02.1962 08:00:00;   125
31.03.1962 23:59:55;   145
21.04.1962 08:00:00;   200
20.05.1962 08:00:00;   240
12.06.1962 08:00:00;   170
03.07.1962 08:00:00;   170
18.08.1962 08:00:00;   194
16.09.1962 08:00:00;   149
01.10.1962 00:00:00;   119
09.11.1962 08:00:00;   120
17.12.1962 08:00:00;   120
03.01.1963 08:00:00;   110
20.02.1963 08:00:00;   105
31.03.1963 23:59:55;   141
22.04.1963 08:00:00;   185
15.05.1963 08:00:00;   153
24.06.1963 08:00:00;   170
13.07.1963 08:00:00;   142
18.08.1963 08:00:00;   166
07.09.1963 08:00:00;   145
08.10.1963 08:00:00;   155
17.11.1963 08:00:00;   133
01.12.1963 00:00:00;   115
15.01.1964 07:00:00;    97
29.02.1964 23:59:55;   116
22.03.1964 07:00:00;   140
24.04.1964 07:00:00;   187
20.05.1964 07:00:00;   237
28.06.1964 07:00:00;   138
05.07.1964 07:00:00;   166
23.08.1964 07:00:00;   181
07.09.1964 07:00:00;   146
11.10.1964 07:00:00;   158
18.11.1964 07:00:00;   340
01.12.1964 00:00:00;   141
11.01.1965 08:00:00;   125
02.02.1965 08:00:00;   110
31.03.1965 08:00:00;   190
09.04.1965 08:00:00;   188
16.05.1965 08:00:00;   304
11.06.1965 08:00:00;   320
01.07.1965 00:00:00;   149
28.08.1965 08:00:00;   149
20.09.1965 08:00:00;   141
01.10.1965 00:00:00;   110
29.11.1965 08:00:00;   106
18.12.1965 08:00:00;   150
31.01.1966 23:59:55;   121
09.02.1966 08:00:00;   175
01.03.1966 00:00:00;   134
29.04.1966 08:00:00;   234
28.05.1966 08:00:00;   233
30.06.1966 08:00:00;   228
23.07.1966 08:00:00;   365
09.08.1966 08:00:00;   310
01.09.1966 00:00:00;   172
27.10.1966 08:00:00;   145
05.11.1966 08:00:00;   145
24.12.1966 08:00:00;   132
28.01.1967 07:00:00;   155
04.02.1967 07:00:00;   135
12.03.1967 07:00:00;   172
14.04.1967 07:00:00;   180
31.05.1967 23:59:55;   217
01.06.1967 07:00:00;   232
16.07.1967 07:00:00;   160
04.08.1967 07:00:00;   149
20.09.1967 07:00:00;   134
01.10.1967 07:00:00;   125
01.11.1967 00:00:00;   110
24.12.1967 07:00:00;   122
16.01.1968 07:00:00;   127
29.02.1968 07:00:00;   110
31.03.1968 23:59:55;   173
23.04.1968 07:00:00;   188
01.05.1968 00:00:00;   153
10.06.1968 07:00:00;   161
21.07.1968 07:00:00;   252
08.08.1968 07:00:00;   187
30.09.1968 23:59:55;   192
02.10.1968 07:00:00;   290
25.11.1968 07:00:00;   124
