Messstelle:                ;Apetlon Staatsgrenzpunkt (A79)
HZB-Nummer:                ;210187
HD-Nummer:                 ;
DBMS-Nummer:               ;1001017
Gewässer:                  ;Neusiedler See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1230
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1971              ;00113,96
   01.01.1976              ;00114,04
   01.07.1992              ;00114,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1971              ;781300,00 - 282600,00
   05.10.2018              ;781302,03 - 282600,98
Exportzeitreihe:           ;(1001017,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
31.01.1976 23:59:55;   154
17.02.1976 09:00:00;   166
03.03.1976 09:00:00;   166
09.04.1976 08:00:00;   172
04.05.1976 08:00:00;   160
08.06.1976 08:00:00;   164
06.07.1976 08:00:00;   150
20.08.1976 08:00:00;   135
05.09.1976 08:00:00;   135
05.10.1976 08:00:00;   129
16.11.1976 08:00:00;   140
03.12.1976 08:00:00;   148
31.01.1977 23:59:55;   152
27.02.1977 08:00:00;   168
29.03.1977 08:00:00;   176
09.04.1977 08:00:00;   175
22.05.1977 08:00:00;   170
01.06.1977 01:00:00;   166
11.07.1977 08:00:00;   156
01.08.1977 01:00:00;   163
13.09.1977 08:00:00;   141
14.10.1977 08:00:00;   132
27.11.1977 08:00:00;   165
04.12.1977 09:00:00;   130
30.01.1978 09:00:00;   136
19.02.1978 09:00:00;   136
10.03.1978 08:00:00;   160
16.04.1978 08:00:00;   160
26.05.1978 07:00:00;   161
28.06.1978 11:00:00;   159
13.07.1978 16:00:00;   145
31.08.1978 10:00:00;   138
13.09.1978 02:00:00;   134
05.10.1978 01:00:00;   133
28.11.1978 15:00:00;   140
01.12.1978 00:00:00;   122
31.01.1979 23:59:55;   123
20.02.1979 09:00:00;   127
29.03.1979 08:00:00;   134
29.04.1979 08:00:00;   156
11.05.1979 08:00:00;   156
16.06.1979 08:00:00;   146
15.07.1979 01:00:00;   145
04.08.1979 17:00:00;   150
15.09.1979 10:00:00;   144
19.10.1979 09:00:00;   147
18.11.1979 08:00:00;   137
12.12.1979 14:00:00;   164
08.01.1980 06:00:00;   165
20.02.1980 00:00:00;   183
01.03.1980 00:00:00;   165
09.04.1980 09:00:00;   158
10.05.1980 08:00:00;   170
01.06.1980 00:00:00;   160
23.07.1980 08:00:00;   158
22.08.1980 16:00:00;   165
02.09.1980 12:00:00;   157
26.10.1980 11:00:00;   171
30.11.1980 08:00:00;   175
01.12.1980 00:00:00;   175
03.01.1981 12:30:00;   156
16.02.1981 12:30:00;   158
27.03.1981 11:30:00;   168
16.04.1981 13:00:00;   174
06.05.1981 09:00:00;   175
13.06.1981 05:30:00;   168
04.07.1981 06:30:00;   171
25.08.1981 03:00:00;   145
30.09.1981 00:30:00;   153
16.10.1981 04:00:00;   154
15.11.1981 02:00:00;   158
31.12.1981 12:30:00;   148
01.01.1982 00:00:00;   148
27.02.1982 09:00:00;   152
11.03.1982 08:00:00;   158
18.04.1982 08:00:00;   164
30.05.1982 08:00:00;   164
30.06.1982 08:00:00;   152
04.07.1982 08:00:00;   156
14.08.1982 08:00:00;   158
08.09.1982 08:00:00;   156
26.10.1982 08:30:00;   162
02.11.1982 09:00:00;   161
30.12.1982 08:00:00;   182
20.01.1983 15:00:00;   191
04.02.1983 15:00:00;   186
07.03.1983 21:00:00;   188
13.04.1983 12:30:00;   190
09.05.1983 10:30:00;   170
07.06.1983 10:00:00;   165
13.07.1983 08:30:00;   156
04.08.1983 10:00:00;   153
04.09.1983 10:00:00;   144
01.10.1983 15:30:00;   151
30.11.1983 14:00:00;   144
27.12.1983 16:00:00;   171
25.01.1984 22:30:00;   151
10.02.1984 15:00:00;   188
05.03.1984 15:00:00;   167
17.04.1984 18:00:00;   175
07.05.1984 20:00:00;   154
11.06.1984 13:00:00;   146
03.07.1984 11:30:00;   142
02.08.1984 07:00:00;   135
25.09.1984 20:00:00;   129
16.10.1984 15:30:00;   134
27.11.1984 13:30:00;   142
12.12.1984 10:30:00;   124
01.01.1985 00:00:00;   122
01.02.1985 00:00:00;   120
30.03.1985 08:30:00;   138
17.04.1985 10:00:00;   153
30.05.1985 12:00:00;   155
01.06.1985 00:30:00;   158
01.07.1985 00:30:00;   150
07.08.1985 19:30:00;   167
06.09.1985 19:00:00;   149
15.10.1985 19:30:00;   152
09.11.1985 22:00:00;   153
16.12.1985 07:30:00;   169
19.01.1986 07:45:00;   167
25.02.1986 17:00:00;   154
31.03.1986 00:30:00;   175
10.04.1986 04:00:00;   182
01.05.1986 07:15:00;   174
12.06.1986 18:15:00;   176
08.07.1986 11:30:00;   159
25.08.1986 13:30:00;   157
19.09.1986 08:00:00;   148
04.10.1986 08:00:00;   136
03.11.1986 14:30:00;   153
20.12.1986 12:30:00;   143
03.01.1987 14:15:00;   176
23.02.1987 21:00:00;   153
31.03.1987 05:00:00;   185
11.04.1987 04:00:00;   187
07.05.1987 02:00:00;   196
22.06.1987 00:45:00;   175
05.07.1987 06:15:00;   173
20.08.1987 11:45:00;   167
27.09.1987 15:30:00;   169
13.10.1987 04:45:00;   162
20.11.1987 17:30:00;   158
23.12.1987 14:00:00;   165
31.01.1988 14:15:00;   168
27.02.1988 00:45:00;   182
09.03.1988 18:45:00;   193
14.04.1988 02:45:00;   191
06.05.1988 15:30:00;   170
02.06.1988 08:00:00;   168
01.07.1988 00:15:00;   160
17.08.1988 08:00:00;   147
07.09.1988 08:00:00;   153
25.10.1988 19:15:00;   151
22.11.1988 10:00:00;   173
15.12.1988 23:00:00;   170
16.01.1989 13:30:00;   160
13.02.1989 12:30:00;   167
23.03.1989 17:00:00;   170
30.04.1989 16:00:00;   181
07.05.1989 14:45:00;   181
12.06.1989 10:00:00;   164
31.07.1989 08:15:00;   157
01.08.1989 00:00:00;   157
29.09.1989 14:45:00;   161
03.10.1989 10:00:00;   164
08.11.1989 08:30:00;   158
17.12.1989 17:00:00;   150
30.01.1990 17:00:00;   142
27.02.1990 19:15:00;   162
01.03.1990 06:15:00;   155
08.04.1990 17:30:00;   173
02.05.1990 18:30:00;   159
09.06.1990 03:00:00;   152
04.07.1990 16:45:00;   152
17.08.1990 10:30:00;   148
12.09.1990 13:30:00;   135
21.10.1990 13:15:00;   151
30.11.1990 22:00:00;   135
01.12.1990 13:00:00;   140
14.01.1991 14:15:00;   134
13.02.1991 17:45:00;   126
29.03.1991 08:45:00;   136
19.04.1991 13:15:00;   158
17.05.1991 11:30:00;   166
28.06.1991 00:00:00;   158
02.07.1991 14:30:00;   151
02.08.1991 10:00:00;   152
01.09.1991 00:00:00;   136
20.10.1991 12:00:00;   135
17.11.1991 19:00:00;   162
06.12.1991 17:30:00;   156
17.01.1992 17:30:00;   172
18.02.1992 15:30:00;   174
16.03.1992 16:00:00;   171
20.04.1992 13:15:00;   181
18.05.1992 11:45:00;   179
17.06.1992 19:30:00;   175
28.07.1992 08:45:00;   170
04.08.1992 18:45:00;   154
05.09.1992 14:00:00;   160
18.10.1992 11:15:00;   140
27.11.1992 09:30:00;   149
06.12.1992 16:30:00;   177
26.01.1993 04:45:00;   167
20.02.1993 14:30:00;   156
28.03.1993 13:00:00;   184
16.04.1993 10:00:00;   173
04.05.1993 09:00:00;   165
03.06.1993 12:45:00;   158
06.07.1993 15:30:00;   169
01.08.1993 00:30:00;   149
05.09.1993 16:00:00;   141
26.10.1993 00:15:00;   147
16.11.1993 23:15:00;   162
27.12.1993 20:30:00;   165
28.01.1994 10:15:00;   164
13.02.1994 00:15:00;   169
14.03.1994 08:00:00;   178
06.04.1994 14:00:00;   190
01.05.1994 13:45:00;   179
05.06.1994 21:00:00;   190
10.07.1994 11:15:00;   178
26.08.1994 11:15:00;   171
04.09.1994 10:45:00;   150
04.10.1994 15:45:00;   155
25.11.1994 20:00:00;   171
14.12.1994 11:00:00;   164
03.01.1995 20:45:00;   164
27.02.1995 04:45:00;   176
30.03.1995 12:00:00;   192
08.04.1995 09:15:00;   189
14.05.1995 11:00:00;   187
28.06.1995 12:15:00;   180
23.07.1995 16:15:00;   175
02.08.1995 16:15:00;   160
15.09.1995 12:15:00;   174
01.10.1995 12:15:00;   163
06.11.1995 03:15:00;   186
20.12.1995 23:00:00;   176
01.01.1996 00:15:00;   177
21.02.1996 00:15:00;   180
27.03.1996 01:00:00;   198
04.04.1996 02:30:00;   199
11.05.1996 08:45:00;   199
06.06.1996 07:00:00;   199
08.07.1996 22:00:00;   189
04.08.1996 16:45:00;   189
07.09.1996 22:30:00;   195
22.10.1996 14:15:00;   189
08.11.1996 13:45:00;   188
01.12.1996 15:30:00;   187
29.01.1997 12:16:40;   169
27.02.1997 10:16:55;   180
30.03.1997 12:50:25;   189
06.04.1997 14:31:55;   207
30.05.1997 13:07:15;   193
22.06.1997 19:33:20;   180
07.07.1997 05:37:50;   192
02.08.1997 04:23:40;   184
10.09.1997 09:21:30;   183
12.10.1997 20:22:30;   172
18.11.1997 11:18:05;   174
03.12.1997 22:07:15;   179
21.01.1998 07:21:05;   188
17.02.1998 13:46:10;   190
09.03.1998 13:58:50;   191
19.04.1998 08:10:10;   181
04.05.1998 18:34:55;   182
13.06.1998 12:01:35;   176
04.07.1998 11:30:30;   170
04.08.1998 17:08:35;   161
20.09.1998 08:41:10;   167
29.10.1998 19:06:50;   172
11.11.1998 13:35:10;   183
01.12.1998 00:00:00;   170
29.01.1999 10:06:50;   183
01.02.1999 00:00:00;   181
16.03.1999 11:23:35;   182
07.04.1999 15:44:35;   175
23.05.1999 03:12:50;   185
22.06.1999 10:00:00;   216
23.07.1999 06:39:50;   172
13.08.1999 03:15:00;   166
08.09.1999 02:54:30;   169
06.10.1999 13:07:20;   168
24.11.1999 10:15:00;   185
20.12.1999 12:00:00;   177
02.01.2000 22:00:00;   162
21.02.2000 11:00:00;   180
02.03.2000 12:30:00;   198
06.04.2000 17:15:00;   203
02.05.2000 18:00:00;   178
07.06.2000 02:45:00;   171
08.07.2000 22:00:00;   170
25.08.2000 17:30:00;   157
22.09.2000 15:00:00;   155
07.10.2000 01:00:00;   152
27.11.2000 05:15:00;   155
20.12.2000 02:30:00;   151
31.01.2001 15:00:00;   179
18.02.2001 20:00:00;   182
26.03.2001 15:30:00;   182
13.04.2001 14:45:00;   180
18.05.2001 20:45:00;   177
04.06.2001 13:15:00;   181
21.07.2001 14:00:00;   159
11.08.2001 14:30:00;   151
05.09.2001 21:30:00;   151
04.10.2001 15:00:00;   142
24.11.2001 05:30:00;   164
07.12.2001 22:00:00;   150
31.01.2002 20:15:00;   137
22.02.2002 00:15:00;   170
24.03.2002 13:30:00;   182
05.04.2002 17:15:00;   171
29.05.2002 11:45:00;   168
11.06.2002 10:00:00;   162
18.07.2002 15:45:00;   144
13.08.2002 19:30:00;   144
02.09.2002 13:32:25;   136
28.10.2002 13:30:00;   160
05.11.2002 16:30:00;   150
06.12.2002 08:05:50;   144
27.01.2003 22:31:30;   148
06.02.2003 13:00:45;   152
13.03.2003 16:30:40;   178
05.04.2003 20:45:55;   177
03.05.2003 10:49:15;   168
19.06.2003 13:00:00;   159
01.07.2003 22:15:00;   154
19.08.2003 17:45:00;   133
12.09.2003 16:00:00;   130
08.10.2003 13:30:00;   140
17.11.2003 16:15:00;   122
23.12.2003 15:00:00;   145
20.01.2004 21:45:00;   127
11.02.2004 17:30:00;   152
25.03.2004 13:45:00;   165
14.04.2004 00:00:00;   159
16.05.2004 16:15:00;   168
13.06.2004 11:30:00;   157
06.07.2004 16:00:00;   156
22.08.2004 11:45:00;   146
08.09.2004 15:30:00;   140
09.10.2004 14:45:00;   129
14.11.2004 15:00:00;   171
29.12.2004 15:15:00;   145
26.01.2005 11:30:00;   139
27.02.2005 17:30:00;   134
19.03.2005 15:00:00;   148
21.04.2005 12:45:00;   165
19.05.2005 12:45:00;   169
09.06.2005 12:45:00;   172
02.07.2005 12:00:00;   155
04.08.2005 09:00:00;   142
30.09.2005 13:30:00;   143
17.10.2005 13:15:00;   149
22.11.2005 16:00:00;   138
21.12.2005 14:00:00;   157
22.01.2006 23:45:00;   143
27.02.2006 13:30:00;   152
13.03.2006 15:15:00;   198
12.04.2006 01:15:00;   179
17.05.2006 15:00:00;   175
02.06.2006 14:30:00;   188
01.07.2006 08:45:00;   171
31.08.2006 14:00:00;   171
08.09.2006 12:00:00;   168
30.10.2006 05:14:05;   168
02.11.2006 12:49:45;   170
19.12.2006 14:02:25;   164
29.01.2007 12:03:15;   186
03.02.2007 12:43:30;   171
04.03.2007 04:00:05;   176
04.04.2007 20:11:50;   178
18.05.2007 13:03:00;   175
26.06.2007 05:55:00;   161
22.07.2007 16:06:15;   154
17.08.2007 20:37:15;   145
06.09.2007 00:48:05;   163
22.10.2007 21:55:20;   171
15.11.2007 10:16:35;   177
13.12.2007 15:58:20;   185
28.01.2008 01:38:20;   192
16.02.2008 14:44:30;   197
05.03.2008 17:05:35;   182
16.04.2008 04:58:00;   182
20.05.2008 06:34:00;   172
13.06.2008 15:53:00;   182
23.07.2008 14:29:50;   194
15.08.2008 23:10:45;   182
16.09.2008 13:17:05;   172
23.10.2008 08:20:00;   176
21.11.2008 23:34:00;   172
23.12.2008 02:25:30;   184
29.01.2009 01:28:30;   174
08.02.2009 23:39:10;   202
07.03.2009 17:05:50;   212
30.04.2009 12:13:30;   186
02.05.2009 13:08:35;   193
22.06.2009 19:10:00;   188
18.07.2009 14:30:00;   192
04.08.2009 18:20:00;   185
06.09.2009 10:40:00;   180
13.10.2009 12:35:00;   207
11.11.2009 05:40:00;   192
09.12.2009 07:00:00;   186
02.01.2010 15:10:00;   195
27.02.2010 07:15:00;   193
05.03.2010 11:30:00;   194
05.04.2010 14:45:00;   195
