Messstelle:                ;St. Aegyd am Neuwalde (Eisenwerk)
HZB-Nummer:                ;209536
HD-Nummer:                 ;no190
DBMS-Nummer:               ;3001169
Gewässer:                  ;Unrechttraisen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;53,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;00562,53
   01.01.2005              ;00562,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;693550,80 - 302462,00
   12.11.2004              ;693512,00 - 302457,40
Exportzeitreihe:           ;(3001169,WTemperatur,I,Mit,M,1,M,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.03.2011 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.03.2011 00:00:00;   9,0
01.04.2011 00:00:00;   9,6
01.05.2011 00:00:00;  10,0
01.06.2011 00:00:00;  10,5
01.07.2011 00:00:00;  10,6
01.08.2011 00:00:00;  10,7
01.09.2011 00:00:00;  10,6
01.10.2011 00:00:00;  10,1
01.11.2011 00:00:00;   9,5
01.12.2011 00:00:00;   9,1
01.01.2012 00:00:00;   8,8
01.02.2012 00:00:00;   8,5
01.03.2012 00:00:00;   8,9
01.04.2012 00:00:00;   9,2
01.05.2012 00:00:00;   9,6
01.06.2012 00:00:00;  10,2
01.07.2012 00:00:00;  10,5
01.08.2012 00:00:00;  10,3
01.09.2012 00:00:00;  10,3
01.10.2012 00:00:00;   9,7
01.11.2012 00:00:00;   8,4
01.12.2012 00:00:00;   7,5
01.01.2013 00:00:00;   7,5
01.02.2013 00:00:00;   7,8
01.03.2013 00:00:00;   8,2
01.04.2013 00:00:00; Lücke
01.05.2013 00:00:00; Lücke
01.06.2013 00:00:00;   9,5
01.07.2013 00:00:00;   9,8
01.08.2013 00:00:00;   9,9
01.09.2013 00:00:00;  10,0
01.10.2013 00:00:00;   9,7
01.11.2013 00:00:00;   9,2
01.12.2013 00:00:00;   8,6
01.01.2014 00:00:00;   8,7
01.02.2014 00:00:00;   8,6
01.03.2014 00:00:00;   8,9
01.04.2014 00:00:00;   9,3
01.05.2014 00:00:00; Lücke
01.06.2014 00:00:00; Lücke
01.07.2014 00:00:00; Lücke
01.08.2014 00:00:00;   9,9
01.09.2014 00:00:00;   9,4
01.10.2014 00:00:00;   9,2
01.11.2014 00:00:00;   9,0
01.12.2014 00:00:00;   8,8
01.01.2015 00:00:00;   8,4
01.02.2015 00:00:00;   8,4
01.03.2015 00:00:00;   8,6
01.04.2015 00:00:00;   8,7
01.05.2015 00:00:00;   9,1
01.06.2015 00:00:00;   9,5
01.07.2015 00:00:00;  10,2
01.08.2015 00:00:00;  10,3
01.09.2015 00:00:00;  10,1
01.10.2015 00:00:00;   9,9
01.11.2015 00:00:00; Lücke
01.12.2015 00:00:00;   9,0
01.01.2016 00:00:00;   8,5
01.02.2016 00:00:00;   8,6
01.03.2016 00:00:00;   8,6
01.04.2016 00:00:00;   9,1
01.05.2016 00:00:00;   9,4
01.06.2016 00:00:00;   9,7
01.07.2016 00:00:00;  10,0
01.08.2016 00:00:00;   9,8
01.09.2016 00:00:00;   9,8
01.10.2016 00:00:00;   9,5
01.11.2016 00:00:00;   9,0
01.12.2016 00:00:00;   8,7
01.01.2017 00:00:00; Lücke
01.02.2017 00:00:00;   8,5
01.03.2017 00:00:00;   8,5
01.04.2017 00:00:00;   8,6
01.05.2017 00:00:00;   9,0
01.06.2017 00:00:00;   9,6
01.07.2017 00:00:00;  10,0
01.08.2017 00:00:00;  10,2
01.09.2017 00:00:00;  10,0
01.10.2017 00:00:00;   9,5
01.11.2017 00:00:00;   9,0
01.12.2017 00:00:00;   8,5
01.01.2018 00:00:00;   8,4
01.02.2018 00:00:00;   8,2
01.03.2018 00:00:00;   8,4
01.04.2018 00:00:00;   9,1
01.05.2018 00:00:00;   9,6
01.06.2018 00:00:00;   9,9
01.07.2018 00:00:00;  10,0
01.08.2018 00:00:00;  10,3
01.09.2018 00:00:00;  10,1
01.10.2018 00:00:00;   9,8
01.11.2018 00:00:00;   9,4
01.12.2018 00:00:00;   8,7
01.01.2019 00:00:00;   8,2
01.02.2019 00:00:00;   8,2
01.03.2019 00:00:00;   8,2
01.04.2019 00:00:00;   8,7
01.05.2019 00:00:00;   8,9
01.06.2019 00:00:00;   9,6
01.07.2019 00:00:00;  10,0
01.08.2019 00:00:00;  10,3
01.09.2019 00:00:00;  10,3
01.10.2019 00:00:00;   9,9
01.11.2019 00:00:00;   9,3
01.12.2019 00:00:00;   8,6
01.01.2020 00:00:00;   8,6
01.02.2020 00:00:00;   8,9
01.03.2020 00:00:00;   9,2
01.04.2020 00:00:00;   9,2
01.05.2020 00:00:00;   9,5
01.06.2020 00:00:00;   9,9
01.07.2020 00:00:00;  10,0
01.08.2020 00:00:00;  10,1
01.09.2020 00:00:00;   9,8
01.10.2020 00:00:00;   9,4
01.11.2020 00:00:00;   9,0
01.12.2020 00:00:00;   8,8
01.01.2021 00:00:00;   8,6
01.02.2021 00:00:00;   8,6
01.03.2021 00:00:00;   8,6
01.04.2021 00:00:00;   9,0
01.05.2021 00:00:00;   9,2
01.06.2021 00:00:00;   9,9
01.07.2021 00:00:00;  10,4
01.08.2021 00:00:00;  10,3
01.09.2021 00:00:00;  10,1
01.10.2021 00:00:00;   9,7
01.11.2021 00:00:00;   9,3
01.12.2021 00:00:00;   9,0
01.01.2022 00:00:00; Lücke
