Messstelle:                ;Obermallebarn
HZB-Nummer:                ;208058
HD-Nummer:                 ;no365
DBMS-Nummer:               ;3001045
Gewässer:                  ;Göllersbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;379,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   19.11.1969              ;00189,97
   01.01.1980              ;00189,00
   01.05.1982              ;00189,13
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1969              ;737097,00 - 369627,00
Exportzeitreihe:           ;(3001045,WTemperatur,I,Mit,M,1,F,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.01.2007 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.2007 00:00:00;   6,0
01.02.2007 00:00:00;   6,5
01.03.2007 00:00:00;   7,4
01.04.2007 00:00:00;  12,2
01.05.2007 00:00:00;  15,6
01.06.2007 00:00:00;  19,8
01.07.2007 00:00:00;  19,9
01.08.2007 00:00:00;  18,7
01.09.2007 00:00:00;  14,4
01.10.2007 00:00:00;  10,2
01.11.2007 00:00:00;   6,1
01.12.2007 00:00:00;   4,3
01.01.2008 00:00:00;   4,0
01.02.2008 00:00:00;   5,1
01.03.2008 00:00:00;   7,1
01.04.2008 00:00:00;  11,0
01.05.2008 00:00:00;  15,0
01.06.2008 00:00:00;  18,5
01.07.2008 00:00:00;  18,4
01.08.2008 00:00:00;  18,7
01.09.2008 00:00:00;  14,5
01.10.2008 00:00:00;  11,2
01.11.2008 00:00:00;   8,4
01.12.2008 00:00:00;   4,7
01.01.2009 00:00:00;   2,0
01.02.2009 00:00:00;   3,3
01.03.2009 00:00:00;   6,3
01.04.2009 00:00:00;  11,8
01.05.2009 00:00:00;  14,5
01.06.2009 00:00:00;  16,0
01.07.2009 00:00:00;  18,1
01.08.2009 00:00:00;  18,0
01.09.2009 00:00:00;  15,5
01.10.2009 00:00:00;  10,7
01.11.2009 00:00:00;   8,0
01.12.2009 00:00:00;   4,5
01.01.2010 00:00:00;   2,3
01.02.2010 00:00:00;   2,9
01.03.2010 00:00:00;   6,1
01.04.2010 00:00:00;  10,2
