Messstelle:                ;Lutzmannsburg (Weingartenbrücke)
01.12.2017 00:00:00;   3,3
01.01.2018 00:00:00;   4,3
01.02.2018 00:00:00;   2,7
01.03.2018 00:00:00;   4,5
01.04.2018 00:00:00;  13,4
01.05.2018 00:00:00;  16,6
01.06.2018 00:00:00;  17,9
01.07.2018 00:00:00;  19,7
01.08.2018 00:00:00;  20,8
01.09.2018 00:00:00;  16,5
01.10.2018 00:00:00;  12,3
01.11.2018 00:00:00;   8,3
01.12.2018 00:00:00;   4,0
01.01.2019 00:00:00;   2,2
01.02.2019 00:00:00;   4,3
01.03.2019 00:00:00;   8,3
01.04.2019 00:00:00;  12,2
01.05.2019 00:00:00;  12,7
01.06.2019 00:00:00;  20,1
01.07.2019 00:00:00;  20,6
01.08.2019 00:00:00;  20,8
01.09.2019 00:00:00;  16,2
01.10.2019 00:00:00;  12,2
01.11.2019 00:00:00;   9,0
01.12.2019 00:00:00;   4,9
01.01.2020 00:00:00;   3,0
01.02.2020 00:00:00;   5,8
01.03.2020 00:00:00;   7,8
01.04.2020 00:00:00;  12,6
01.05.2020 00:00:00;  15,2
01.06.2020 00:00:00;  18,5
01.07.2020 00:00:00;  20,2
01.08.2020 00:00:00;  20,7
01.09.2020 00:00:00;  16,4
01.10.2020 00:00:00;  11,7
01.11.2020 00:00:00;   7,8
01.12.2020 00:00:00;   5,1
01.01.2021 00:00:00;   3,6
01.02.2021 00:00:00;   4,5
01.03.2021 00:00:00;   6,7
01.04.2021 00:00:00;   9,9
01.05.2021 00:00:00;  14,0
01.06.2021 00:00:00;  20,4
01.07.2021 00:00:00;  21,3
01.08.2021 00:00:00;  19,2
01.09.2021 00:00:00;  16,0
01.10.2021 00:00:00;  10,9
01.11.2021 00:00:00;   6,8
01.12.2021 00:00:00;   3,7
01.01.2022 00:00:00; Lücke
