Messstelle:                ;Zell
01.07.2018 00:00:00;  17,3
01.08.2018 00:00:00;  17,9
01.09.2018 00:00:00;  15,7
01.10.2018 00:00:00;  12,3
01.11.2018 00:00:00;   9,6
01.12.2018 00:00:00;   4,9
01.01.2019 00:00:00;   3,7
01.02.2019 00:00:00;   4,4
01.03.2019 00:00:00;   7,6
01.04.2019 00:00:00;  11,3
01.05.2019 00:00:00;  12,9
01.06.2019 00:00:00;  18,7
01.07.2019 00:00:00;  19,2
01.08.2019 00:00:00;  18,8
01.09.2019 00:00:00;  16,0
01.10.2019 00:00:00;  13,6
01.11.2019 00:00:00;   9,9
01.12.2019 00:00:00;   6,4
01.01.2020 00:00:00;   4,8
01.02.2020 00:00:00;   6,1
01.03.2020 00:00:00;   7,8
01.04.2020 00:00:00;  11,7
01.05.2020 00:00:00;  14,6
01.06.2020 00:00:00;  16,9
01.07.2020 00:00:00;  19,3
01.08.2020 00:00:00;  19,4
01.09.2020 00:00:00;  16,4
01.10.2020 00:00:00;  12,6
01.11.2020 00:00:00;   9,0
01.12.2020 00:00:00;   5,8
01.01.2021 00:00:00;   4,2
01.02.2021 00:00:00;   5,0
01.03.2021 00:00:00;   6,8
01.04.2021 00:00:00;   9,5
01.05.2021 00:00:00;  13,0
01.06.2021 00:00:00;  17,6
01.07.2021 00:00:00;  18,3
01.08.2021 00:00:00;  17,5
01.09.2021 00:00:00;  15,8
01.10.2021 00:00:00;  11,5
01.11.2021 00:00:00;   8,3
01.12.2021 00:00:00;   4,8
01.01.2022 00:00:00; Lücke
