Messstelle:                ;Altaussee (Traun)
HZB-Nummer:                ;210542
HD-Nummer:                 ;ow0024
DBMS-Nummer:               ;6001007
Gewässer:                  ;Altausseer-Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;48,17
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00709,47
   26.05.2021              ;00709,44
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1960              ;557309,60 - 280506,80
   01.01.2018              ;557316,40 - 280580,70
Exportzeitreihe:           ;(6001007,WTemperatur,I,Mit,M,1,M,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.01.2016 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.2016 00:00:00;   4,0
01.02.2016 00:00:00;   3,8
01.03.2016 00:00:00;   4,5
01.04.2016 00:00:00;   7,4
01.05.2016 00:00:00;  10,1
01.06.2016 00:00:00;  14,8
01.07.2016 00:00:00;  17,7
01.08.2016 00:00:00;  16,9
01.09.2016 00:00:00;  16,0
01.10.2016 00:00:00;   9,3
01.11.2016 00:00:00;   5,7
01.12.2016 00:00:00;   4,0
01.01.2017 00:00:00;   2,3
01.02.2017 00:00:00;   2,8
01.03.2017 00:00:00;   4,4
01.04.2017 00:00:00;   6,5
01.05.2017 00:00:00;  10,0
01.06.2017 00:00:00;  16,3
01.07.2017 00:00:00;  18,4
01.08.2017 00:00:00;  18,2
01.09.2017 00:00:00;  12,0
01.10.2017 00:00:00;   9,0
01.11.2017 00:00:00;   5,5
01.12.2017 00:00:00;   4,0
01.01.2018 00:00:00;   3,3
01.02.2018 00:00:00;   2,8
01.03.2018 00:00:00;   3,5
01.04.2018 00:00:00;   7,5
01.05.2018 00:00:00;  11,7
01.06.2018 00:00:00;  15,5
01.07.2018 00:00:00;  17,6
01.08.2018 00:00:00;  21,3
01.09.2018 00:00:00;  17,2
01.10.2018 00:00:00;  11,5
01.11.2018 00:00:00;   7,0
01.12.2018 00:00:00;   4,7
01.01.2019 00:00:00;   2,9
01.02.2019 00:00:00;   2,5
01.03.2019 00:00:00;   3,6
01.04.2019 00:00:00;   7,4
01.05.2019 00:00:00;   8,7
01.06.2019 00:00:00;  11,3
01.07.2019 00:00:00;  16,8
01.08.2019 00:00:00;  18,4
01.09.2019 00:00:00;  16,2
01.10.2019 00:00:00;  11,6
01.11.2019 00:00:00;   7,3
01.12.2019 00:00:00;   4,6
01.01.2020 00:00:00;   3,8
01.02.2020 00:00:00;   3,7
01.03.2020 00:00:00;   4,4
01.04.2020 00:00:00;   8,2
01.05.2020 00:00:00;  10,4
01.06.2020 00:00:00;  13,7
01.07.2020 00:00:00;  17,7
01.08.2020 00:00:00;  18,8
01.09.2020 00:00:00;  16,0
01.10.2020 00:00:00;   8,7
01.11.2020 00:00:00;   6,5
01.12.2020 00:00:00;   4,4
01.01.2021 00:00:00;   3,2
01.02.2021 00:00:00;   3,2
01.03.2021 00:00:00;   4,0
01.04.2021 00:00:00;   5,6
01.05.2021 00:00:00;   8,9
01.06.2021 00:00:00;  14,9
01.07.2021 00:00:00;  18,8
01.08.2021 00:00:00;  17,5
01.09.2021 00:00:00;  15,0
01.10.2021 00:00:00;  10,9
01.11.2021 00:00:00;   6,7
01.12.2021 00:00:00;   4,2
01.01.2022 00:00:00; Lücke
