dbmsnr,hzbnr01,mstnam02,gew03,mpua04,egarea05,daterr06,datauf07,xrkko08,yhkko09,aufge_f,sym_ehyd,longitude,latitude
8001014,200147,Gisingen,Ill,"434,3","1278,2",1912,,116099.48,380295.16,N,8,9.578874678509496,47.26035806892447
8001019,200196,Lustenau (Höchster Brücke),Rhein,"393,51","6301,1",1919,,123436.22,401228.31,N,8,9.662660048445776,47.45164603990353
8001032,200329,Kennelbach,Bregenzerach,"423,02","823,9",1930,,132029.52,403560.34,N,8,9.775111825196522,47.47620366638351
7001007,201087,Lechaschau,Lech,"836,09","1012,2",1948,,202472.5,403069.35,N,8,10.709669628418435,47.49701815583573
7001095,202036,Landeck-Bruggen,Sanna,"775,3",727,1971,,190009.17,364182.24,N,8,10.56273180074418,47.14344181275995
7001033,201350,Vent (oberh. Niedertalbach),Rofenache,"1891,01","98,1",1936,,215404.33,331484.1,N,8,10.910930275288598,46.85703564598271
7001041,201434,Tumpen,Ötztaler Ache,"931,1","785,5",1920,,216437.49,365483.11,N,8,10.910556636571766,47.16309405061415
7001049,201525,Innsbruck (oberh. Sill),Inn,"568,46","5771,6",1870,,252355.17,375478.92,N,8,11.38093911420154,47.26210739329039
7001057,201624,Innsbruck-Reichenau,Sill,"567,39","854,4",1904,,254690.05,376621.28,N,8,11.411416468961898,47.272907246894064
7001071,201780,Hart im Zillertal,Ziller,"530,99","1094,7",1965,,288982.08,384061.69,N,8,11.862812857330272,47.34658383436759
7001074,201814,Rattenberg,Inn,"508,2","8508,7",1844,,291542.37,394576.4,N,3,11.894118123135662,47.44160597454573
7001079,201863,Bruckhäusl,Brixentaler Ache,"524,34","322,3",1949,,307446.3,399746.99,N,8,12.103927062148315,47.49058356299407
7001153,230102,Oberaudorf,Inn,"464,41",9712,1981,,314776.5,416722.2,N,10,12.197921562107895,47.64430266098611
7001125,202382,Kössen-Hütte,Großache,"588,75","701,4",1992,,331147.84,418536.64,N,8,12.415579992122842,47.66257730193095
5001028,203323,Golling,Salzach,"463,19","3555,7",1895,,387284.36,410717.57,N,8,13.163454202599686,47.59578183673331
4001225,206847,Ach,Salzach,"351,82","6690,5",1991,,363039.58,473369.0,N,3,12.835607067152486,48.15848186781174
4001162,206201,Schärding (Schreibpegel),Inn,"299,8",25520,1851,,407079.14,506350.69,N,8,13.42825632459033,48.456202607659584
4001181,206391,Wels-Lichtenegg,Traun,309,"3387,1",1980,,449361.07,471534.39,N,3,13.996004152624062,48.14118174030872
6001025,210740,Trautenfels,Enns,"639,96",1519,1861,,456760.64,401976.3,N,8,14.08642937457256,47.51480868833334
4001118,205757,Jägerberg,Enns,"285,77","4996,1",1953,,480821.27,459029.79,N,8,14.416475143442034,48.025527660701336
4001133,205914,Pergern,Steyr,"301,81","898,1",1906,,476243.19,461762.0,N,8,14.355565137895656,48.05066128346118
4001134,205922,Steyr (Ortskai),Enns,"280,97","5915,4",1962,,481440.26,461033.45,N,8,14.42515208286719,48.04347346891819
10001199,207480,Hainburg Straßenbrücke,Donau,136,"104177,7",2007,,665983.84,477846.8,N,10,16.909066051698225,48.14487781506717
3003086,214031,Deutsch Brodersdorf (Messseilbahn),Leitha,"192,56","1598,9",1896,,634723.2,453521.98,N,7,16.476004302201858,47.93839476961338
6001059,211086,Gestüthof,Mur,"776,3","1700,3",1959,,466639.15,357165.86,N,8,14.21091439209586,47.1107152723232
6001076,211268,Kapfenberg-Diemlach,Mürz,"485,94","1364,5",1971,,546217.31,394211.1,N,8,15.271583336772595,47.4310403267482
6001095,211458,Leibnitz,Sulm,"262,98","1102,5",1895,,567513.35,322393.56,N,8,15.52700148335338,46.77998598247792
6001099,211490,Mureck (Schreibpegel),Mur,"224,23","9769,9",1972,,587969.79,315372.23,N,8,15.791897614235555,46.71133510488672
7001168,231092,Lienz-Falkensteinsteg,Drau,"679,87",668,1988,,356290.18,324411.05,N,8,12.7597201610336,46.81788583340655
7001140,212167,Lienz,Isel,"667,2","1198,7",1889,,356796.69,325941.18,N,8,12.7662118157788,46.83168693717962
2002363,213660,Dellach,Drau,"599,73","2198,6",2005,,380616.78,314913.29,N,8,13.078985432068894,46.73360186193794
2001077,213215,Amlach,Drau,"522,79","4789,6",1957,,414574.51,319428.9,N,8,13.523518346756324,46.774369879418224
2001041,212787,Federaun,Gail,"498,52","1304,9",1877,,436993.08,296719.68,N,8,13.815285215164346,46.569174207761606
2001073,213173,Lavamünd Ort,Drau,"338,02",11043,1895,,523010.67,305825.93,N,8,14.939752194659423,46.64073438851594
2001065,213090,Krottendorf,Lavant,"354,05","954,5",1905,,523353.9,308304.78,N,8,14.94490555014538,46.66296975505412
