dbmsnr,hzbnr01,mstnam02,gwgeb03,code03,gwkoerpe04,code04,gokmua05,gwtmug06,daterr07,datauf08,xrkko09,yhkko10,aufge_f,sym_ehyd,longitude,latitude
4002602,324988,"Roith, Br 49.8",82,082 Trattnachgebiet,100056,Gruppe Schlierhügelland [DUJ],"369,79","8,37",19960101,,430622.73,482363.09,,2,13.744916841758132,48.23975008061644
4002603,324996,"Kallham, Br 49.10",83,083 Aschach-Hügelland,100056,Gruppe Schlierhügelland [DUJ],"441,5","28,75",19960101,,429563.11,487511.54,,2,13.73100025084351,48.28611121589233
6002711,336081,"Allerheiligen, Br  3053",375,375 Mürztal,100156,Mürz [MUR],"539,02","0,00",19890101,20200101.0,556065.8,400174.2,J,1,15.404228185479532,47.482392533199985
8002046,321562,"Nenzing, Bl 04.30.16 B",3,003 Walgau,100150,Walgau [RHE],"498,68","5,85",19740101,,125175.78,372488.36,,1,9.703525735920987,47.194075911383415
4002598,325001,"Aistersheim, Br 49.6",82,082 Trattnachgebiet,100056,Gruppe Schlierhügelland [DUJ],"441,05",0,19960101,,430843.92,476429.18,,1,13.747472425588846,48.18636125386857
6002406,325019,"Mauritzen, Bl  3145",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"413,32",11,19670101,,550035.88,373710.53,,2,15.315276510488175,47.245778028405255
6002409,325043,"Mauritzen, Br  3157",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"410,74","3,7",19730101,,550247.86,372701.36,,2,15.317736498535218,47.23665218685585
6002413,325084,"Mauritzen, Bl  3165",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"405,27",0,19670101,,551765.94,371986.65,,1,15.337541834157365,47.22987351571992
8002422,347500,"Frastanz, Bl 02.31.27",3,003 Walgau,100150,Walgau [RHE],"464,38","3,52",19870101,,118912.73,375654.37,,1,9.618947572544062,47.219866824048474
8002042,321521,"Ludesch, Bl 06.36.08",3,003 Walgau,100150,Walgau [RHE],"542,64","24,99",19770101,,130260.92,371413.9,,1,9.771231027174798,47.186536887856434
8002044,321547,"Nenzing, Bl 04.30.14",3,003 Walgau,100150,Walgau [RHE],"490,18","6,65",19740101,,123004.15,372989.3,,2,9.674579876900538,47.197661497262715
8002045,321554,"Nenzing, Bl 04.30.15",3,003 Walgau,100150,Walgau [RHE],"496,57","6,15",19740101,,124397.83,372173.23,,2,9.693462772377819,47.19091598298763
8002050,321604,"Schlins, Bl 04.38.03",3,003 Walgau,100150,Walgau [RHE],"487,91","7,19",19700101,,124042.56,374391.1,,1,9.687404385233673,47.21069993092801
8002052,321620,"Schlins, Bl 04.38.05",3,003 Walgau,100150,Walgau [RHE],"497,66","5,13",19750101,,125190.0,373141.68,,2,9.703310190669821,47.199953878100544
8002371,347427,"Göfis, Bl 02.42.09",4,004 Rheintal,100151,Gruppe Helvetikum [RHE],"493,25","12,01",19880101,,121504.1,379011.11,,1,9.651030998166783,47.2511457586821
8002377,347435,"Mittelberg, Bl 90.1.02",9,009 Kleinwalsertal,100016,Gruppe Südliche Flyschzone [DBJ],"1159,05","26,07",19990101,,159099.13,384260.08,,2,10.144568571486468,47.31329172123768
8002376,347443,"Mittelberg, Bl 90.1.01",9,009 Kleinwalsertal,100016,Gruppe Südliche Flyschzone [DBJ],"1214,22","6,23",19990101,,157506.95,383933.32,,2,10.123700558128212,47.309763970068786
8002378,347468,"Mittelberg, Bl 90.1.03",9,009 Kleinwalsertal,100016,Gruppe Südliche Flyschzone [DBJ],"1146,48","18,48",19990101,,159868.46,384835.71,,1,10.154426596142267,47.318750481088834
8002401,347476,"Egg, Bl 30.1.09",6,006 Bregenzerwald,100153,Gruppe Molasse und nördliche Flyschzone [RHE],"621,01","25,06",20010101,,141437.73,398734.97,,1,9.902675099321685,47.436640124122405
5002101,347526,"Liefering II, Bl 608",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"414,85",0,19970101,,374686.71,437216.89,,1,12.994341312704517,47.83381981657416
5002098,347534,"Itzling, Bl 616",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"414,27",0,19970101,,377046.08,436565.6,,1,13.025901032580501,47.82804944812248
5002131,347641,"Weitwörth, Bl 5",40,040 Unteres Salzachtal,100006,Unteres Salzachtal [DBJ],"394,66","4,61",19980101,,371481.2,447542.16,,2,12.950826565990793,47.92657633440427
