dbmsnr,hzbnr01,mstnam02,gegrnr03,code03,gwkoerpe04,code04,pnpmua05,gokmua06,daterr07,datauf08,xrkko09,yhkko10,longitude,latitude
4002611,395012,Teufelskirche,1651,1651 Sengsengebirge,100189,Gruppe Nördliche Kalkalpen [DUJ],"541,13",0,19950101,,465367.33,432317.68,14.205232041647662,47.786971067817895
4002612,395038,Waldbachursprung,1546,1546 Hirlatz,100189,Gruppe Nördliche Kalkalpen [DUJ],"873,86",0,19960101,,420653.93,405016.51,13.60704857783002,47.54429690352034
4002613,395053,Hirschbrunn-Seeaustritt,1546,1546 Hirlatz,100189,Gruppe Nördliche Kalkalpen [DUJ],"508,18",0,19970101,,424495.6,405299.41,13.658112286319197,47.54671032789197
4002615,395079,Steyernquelle,1664,1664 Ramsauer Größtenberg - Rotgsol,100189,Gruppe Nördliche Kalkalpen [DUJ],"545,87",0,19980101,,476338.31,436650.34,14.3524353547149,47.82475061181297
4003160,395087,Klingelmühlquelle,1673,1673 Alpenvorland zwischen Traun und Krems,100057,Gruppe Traun - Enns - Platte [DUJ],"385,15","385,5",20040101,,456356.77,463636.05,14.088998205261769,48.06955944969787
4002614,395095,Geyerquelle,6841,6841 Mühlviertel zwischen Staatsgrenze und Großer Mühl,100079,Gruppe Böhmische Masse [ELB],"877,2",0,19980101,,448863.03,530577.78,13.996049588742729,48.67228610285113
4003168,395103,Pießling Ursprung,1636,1636 Warscheneck,100189,Gruppe Nördliche Kalkalpen [DUJ],"752,76","752,76",20040101,,470727.78,421806.54,14.2750915449968,47.691848565594185
4002618,395111,Rettenbachquelle,1651,1651 Sengsengebirge,100189,Gruppe Nördliche Kalkalpen [DUJ],"612,61",0,19990101,,473546.96,428834.62,14.313833933855316,47.75476218949664
4003169,395129,Florianer Brunnbach,1576,1576 Kobernaußer  Wald,100013,Gruppe Salzach - Inn - Mattig [DBJ],"404,68",0,20060101,,385664.97,474743.18,13.139761889831938,48.17175636419719
4003182,395137,Brunnental,1661,1661 Kasberg,100189,Gruppe Nördliche Kalkalpen [DUJ],"537,91",0,20060101,,457115.53,434378.31,14.09534703895204,47.806286982193306
4003183,395145,Langwies/Miesbach,1567,1567 Höllengebirge,100189,Gruppe Nördliche Kalkalpen [DUJ],"434,6",0,19970101,,429999.02,431903.12,13.733050872962352,47.78583385031271
5002083,395210,Gollinger Wasserfall,1336,1336 Göll - Rossfeld,100009,Gruppe Nördliche-Kalkalpen [DBJ],555,0,19960101,,385273.05,411314.36,13.136681079499896,47.60110794373933
5002084,395228,Friedlbrunn Quelle,1324,1324 Leoganger Steinberge,100005,Pinzgauer Saalachtal [DBJ],706,"706,5",19970101,,361183.52,395572.86,12.817632613584982,47.45847590822739
5002085,395244,Marbachquelle,2614,2614 Mosermandl,100055,Gruppe Salzburger Hohe Tauern [DUJ],"1045,98",0,19970101,,406113.99,372483.57,13.413405601580568,47.25187503300868
5002200,395251,Dachserfall,1511,1511 Tennengebirge,100009,Gruppe Nördliche-Kalkalpen [DBJ],"672,44",710,20030101,,399914.05,405017.54,13.33144893924604,47.54462675749326
5002224,395285,Pucherhäuslquelle,1418,1418 Spielberghorn,100010,Gruppe Zentralzone [DBJ],950,955,20060101,,351727.94,392424.08,12.692540027763537,47.4295093786396
5002343,395293,Lammerquelle,1511,1511 Tennengebirge,100009,Gruppe Nördliche-Kalkalpen [DBJ],"897,17","907,67",20070101,,402722.09,399917.28,13.368734508696528,47.4987333004818
5002451,395319,Schwarze Torrenquelle,1335,1335 Hagengebirge,100006,Unteres Salzachtal [DBJ],0,518,20150101,,383810.57,407330.72,13.117375658778714,47.56523079101707
7002304,395327,Schwarzlackenquelle,1257,1257 Östliche Karwendelspitze,100009,Gruppe Nördliche-Kalkalpen [DBJ],"1194,5","1199,4",19970101,,260497.54,393409.57,11.482876664775455,47.425187215951176
7002305,395343,Schreiende Brunnen,1417,1417 Geißstein,100010,Gruppe Zentralzone [DBJ],970,980,19980101,,343195.15,392993.95,12.579333338057138,47.43394474308269
7002299,395350,Stubbachquelle,1256,1256 Hochnissl,100009,Gruppe Nördliche-Kalkalpen [DBJ],980,980,19920101,,272098.45,384998.41,11.639082243004475,47.351911416918746
