dbmsnr,hzbnr01,mstnam02,gew03,mpmua04,egarea05,daterr06,datauf07,xrkko08,yhkko09,aufge_f,nschreiber,longitude,latitude
3000250,109801,Rohr im Gebirge,Schwarza,"685,8",0,1895,,579273.41,446929.07,,,15.731236974064556,47.89688185095625
7000120,102509,Rotholz,Inn,563,0,1894,,284292.1,388792.01,,,11.79949867940017,47.388320045839045
5000053,103929,Saalfelden,Saalach,765,0,1895,,363678.87,392938.34,,,12.850954876880472,47.4349173615475
6000141,112219,Sajach,Kainach,340,0,1951,,551762.21,341255.39,,,15.327092366905,46.95345300251821
4000171,117515,Sandl,Moldau,935,0,1991,,496382.92,517605.36,,,14.638304497260869,48.55022505386415
4000168,106930,Saxen-Au,Naarn,244,0,1949,,508285.62,480435.9,,,14.790103724657174,48.21404131246295
6003018,101600,Schanz,Zensbauerbach,1230,0,2000,,569876.76,399016.77,,,15.587012532329368,47.46852961970775
4000022,104505,Schardenberg,Inn,529,0,1895,,412127.38,513690.31,,,13.496726546398806,48.522145085407885
4000090,105379,Scharfling,Mondsee,480,0,1954,,404452.26,433412.86,,,13.392025121650592,47.80008853431063
7000015,101287,Scharnitz,Isar,959,0,1895,,243852.86,389802.76,,,11.263552305259472,47.38896227580589
4000103,105502,Scharnstein,Alm,485,0,1895,,447731.35,445762.62,,,13.971269207231424,47.90946385495007
4000050,104786,Scharten,Innbach,395,0,1895,,450856.14,482974.84,,,14.0174462868364,48.24397635099857
1000036,110619,Schattendorf,Ikva,268,0,1942,,637547.08,427917.18,,,16.499827011574038,47.70719386709523
3000028,107193,Scheibbs,Große Erlauf,440,0,1860,,536482.68,460514.6,,,15.163215578183683,48.02951573757133
4000113,105601,Schenkenfelden,Moldau,745,0,1895,,475751.25,512191.37,,,14.357861579009812,48.50430976971792
6000006,105965,Schladming,Enns,747,0,1901,,424664.54,387809.23,,,13.659390205006927,47.389339101072366
7000121,102517,Schlitterberg,Ziller,960,0,1965,,286359.58,387364.18,,,11.82725268221922,47.37584004614748
4000032,104604,Schlägl,Große Mühl,555,0,1893,,446253.08,526661.33,,J,13.960182177662237,48.63725754952652
3000251,109819,Schwarzau im Gebirge,Schwarza,618,0,1881,,576532.14,438692.02,,,15.69123631125076,47.82356035967945
4000031,104596,Schwarzenberg,Große Mühl,729,0,1895,,436966.76,536898.04,,,13.835060014277298,48.729923881375264
7000118,102483,Schwaz,Inn,548,0,1895,,277495.74,383929.92,,,11.71082137305147,47.34333788855327
