dbmsnr,hzbnr01,mstnam02,gwgeb03,code03,gwkoerpe04,code04,gokmua05,gwtmug06,daterr07,datauf08,xrkko09,yhkko10,aufge_f,sym_ehyd
6002406,325019,"Mauritzen, Bl  3145",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"413,32",11,19670101,,"550035,88","373710,53",,2
8002045,321554,"Nenzing, Bl 04.30.15",3,003 Walgau,100150,Walgau [RHE],"496,57","6,15",19740101,,"124397,83","372173,23",,2
6002418,325134,"Peggau, Br  3183",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"401,03","6,5",19730101,,"552241,46","369280,05",,2
6002419,325142,"Deutsch Feistritz, Br  3186",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"397,7","9,5",19690101,,"551608,99","367367,01",,2
6002421,325167,"Deutsch Feistritz, Br  3188",378,378 Murdurchbruchstal,100100,Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR],"402,86",0,19690101,,"551081,17","366890,49",,1
6002494,325894,"Lödersdorf, Br  5243",331,331 Raabtal,100131,Raabtal [LRR],"271,92",0,19680101,,"598831,61","342699,83",,1
6002478,325738,"Lichendorf, Br 38632",400,400 Unteres Murtal,100102,Unteres Murtal [MUR],"244,51","4,1",19780101,,"580471,6","315238,89",,2
6002497,325928,"Großhartmannsdorf, Br  5657",340,340 Feistritztal,100126,Feistritztal [LRR],"311,16","3,3",19740101,,"595580,6","362548,83",,2
1002189,326306,"Schachendorf, Br 1",330,330 Tauchenbachtal,100181,Gruppe Hügelland Raab Ost [LRR],"276,77",0,19810101,,"634616,73","378369,85",,1
1002167,326082,"Halbturn, Br 131",318,318 Seewinkel,100134,Seewinkel [LRR],"122,92","6,1",19780101,,"676006,48","445085,1",,2
1002172,326132,"Frauenkirchen, Br 134",318,318 Seewinkel,100134,Seewinkel [LRR],"123,16",7,19790101,,"668409,14","443399,09",,2
1002178,326199,"Weiden am See, Bl  47",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"167,55","32,5",19820101,,"667220,16","455243,12",,2
1002182,326231,"Oslip, Bl 19",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"136,03",0,19860101,,644537,"441925,3",,1
1002177,326181,"Nickelsdorf, Br 46",288,288 Heideboden,100021,Parndorfer Platte [LRR],"128,14",0,19820101,,"680134,87","454441,34",,1
1002169,326108,"Potzneusiedl, Br 42",309,309 Parndorfer Platte,100021,Parndorfer Platte [LRR],"167,96",0,19780101,,"669064,92","466905,86",,1
1002181,326223,"Oslip, Bl 18",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"135,48","3,2",19860101,,"644331,26","442767,72",,2
6002501,325969,"Obgrün, Br  5663",340,340 Feistritztal,100126,Feistritztal [LRR],"306,1",0,19670101,,"596741,41","361840,32",,1
1002166,326074,"Halbturn, Br 44",288,288 Heideboden,100021,Parndorfer Platte [LRR],"129,25","11,12",19790101,,"676735,27","448176,78",,2
1002173,326140,"Deutsch Jahrndorf, Br 19",288,288 Heideboden,100018,Heideboden [DUJ],"133,26",0,19790101,,"679492,24","464567,01",,1
1002188,326298,"Neusiedl am See, Bl 138",318,318 Seewinkel,100134,Seewinkel [LRR],"117,38",0,19870101,,"663309,07","449671,48",,1
1002185,326264,"Schützen am Gebirge, Br 21",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"127,81",0,19860101,,"646703,31","444478,77",,1
1002187,326280,"Neusiedl am See, Bl 137",318,318 Seewinkel,100134,Seewinkel [LRR],"116,71",0,19870101,,"663598,76","450690,15",,1
1002183,326249,"Schützen am Gebirge, Bl 20",313,313 Wulkatal,100081,Gruppe Wulkatal [LRR],"128,02",0,19860101,,"646300,32","444552,47",,1
1002209,326504,"Grafenschachen, Bl 1",329,329 Stögersbachtal,100181,Gruppe Hügelland Raab Ost [LRR],"402,06",0,19880101,,"606038,34","389582,54",,1
1002200,326413,"Winten, Bl 12",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"218,3",0,19810101,,"636276,46","362475,71",,1
1002197,326389,"Oberbildein, Br 9",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"221,07",0,19810101,,"637585,36","363940,46",,1
1002203,326447,"Kulm, Br 15",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"215,17",0,19810101,,"636836,37","360816,19",,1
1002205,326462,"Moschendorf, Bl 17 A",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"202,74",0,19820101,,"638361,43","354758,94",,1
1002196,326371,"Höll, Bl 8",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"221,12","2,95",19810101,,"636041,65","364913,53",,2
1002202,326439,"Eberau, Br 14",338,338 Unteres Pinkatal,100130,Pinkatal [LRR],"214,28",0,19810101,,"637619,49","361277,14",,1
3002700,326595,"Dörfles, Br 262",250,250 Südliches Wiener Becken,100024,Südl. Wiener Becken [DUJ],"352,81",0,19790101,,"605910,32","436484,3",,2
3002725,326843,"Leutzmannsdorf, Br 287",185,185 Ybbstal,100028,Ybbstal / Ybbser Scheibe [DUJ],"263,56",0,19800101,,"518557,48","470361,02",,1
3002727,326868,"Mauer bei Amstetten, Br 289",185,185 Ybbstal,100028,Ybbstal / Ybbser Scheibe [DUJ],"296,83","13,7",19800101,,"509265,26","467409,62",,1
3002734,326934,"Blumau, Bl 296",250,250 Südliches Wiener Becken,100024,Südl. Wiener Becken [DUJ],"250,88",0,19800101,,"620795,33","450426,24",,1
3002738,326975,"Lanzenkirchen, Bl 300",250,250 Südliches Wiener Becken,100024,Südl. Wiener Becken [DUJ],"304,94","30,9",19840101,,"616289,83","432154,38",,1
3002752,327114,"Mainburg, Bl 309",190,190 Pielachtal,100022,Pielachtal [DUJ],"325,64",0,19820101,,"560878,31","467092,88",,1
3002744,327031,"Frauendorf/Au, Br 1974.003",200,200 Nördliches Tullner Feld,100026,Tullnerfeld [DUJ],"182,96",0,19800101,,"591396,77","500034,89",,1
3002757,327163,"Pielach, Bl 314",190,190 Pielachtal,100022,Pielachtal [DUJ],"216,68","6,15",19820101,,"551539,73","482653,68",,2
