dbmsnr,hzbnr01,mstnam02,gew03,mpua04,egarea05,daterr06,datauf07,xrkko08,yhkko09,aufge_f,sym_ehyd,longitude,latitude
3001030,207902,St. Veit an der Gölsen,Gölsen,"372,08","211,1",1923,,575851.44,463322.71,N,1,15.692127896357936,48.04523715943612
3001193,209775,Windigsteig,Thauabach,"484,17","107,1",1991,,543468.54,542485.16,N,1,15.28444156728296,48.765084390890365
6003233,214536,Totes Weib,Mürz,"847,32","103,7",2002,2020.0,561462.9,427633.46,N,6,15.48591588201137,47.728039632432655
6001129,211813,Frauental (Wildbach),Wildbach,327,"50,5",1989,,546759.18,327201.1,N,6,15.256805229741186,46.82816825892229
2001008,212407,Möllbrücke,Möll,555,"1097,7",1877,,402880.81,326410.2,N,2,13.370411597184711,46.83733644784171
2001035,212704,Neudorf,Gössering,"581,56","75,2",1955,2021.0,403118.28,302058.62,N,7,13.373372375865785,46.61822502610298
8001001,200014,Bangs,Rhein,"419,93","4654,4",1856,,112844.23,381943.4,N,6,9.534836699065648,47.27374687424148
8001002,200022,Gaschurn (VIW),Ill,"946,82","145,4",1907,,148345.86,348834.8,N,1,10.022412340535968,46.99077337968767
8001003,200030,Gargellen,Suggadinbach,"1402,24","39,9",1962,,140367.26,346943.35,N,1,9.918690009347891,46.97066186103956
8001004,200048,Schruns (Vonbunweg),Litz,"673,25","101,4",1959,,140522.51,359133.56,N,7,9.913673288389283,47.08030259739119
8001005,200055,Vandans (VIW),Ill,"624,83","510,9",1939,,137087.29,361183.19,N,1,9.867264736832189,47.09735645895886
8001054,231662,Lorüns-Äule,Ill,"578,53","534,6",1985,,135785.51,365187.15,N,6,9.847761774951971,47.1328229982464
8002380,200592,Klösterle (ÖBB),Alfenz,"1014,35","66,5",1998,,151988.52,364055.59,N,6,10.061838643886055,47.12899335046149
8001055,231670,Nenzing,Ill,"510,32","846,1",1985,,127626.29,370518.66,N,1,9.737042422132754,47.17739787700182
8001010,200105,Garsella,Lutz,"730,09","95,7",1963,,138381.47,375510.02,N,6,9.875896668569858,47.22665693065965
8001056,231688,Beschling,Ill,"484,88","1135,8",1985,,123340.85,373267.39,N,6,9.67884707419272,47.20030352998292
8001047,200501,Amerlügen,Samina,"603,3","68,9",1991,,118480.31,374129.61,N,6,9.61420744668059,47.20597697150559
8001012,200121,Frastanz,Ill,"460,48","1268,1",1876,,118499.67,376518.77,N,1,9.612951867208926,47.227457678155446
8001014,200147,Gisingen,Ill,"434,3","1278,2",1912,,116099.48,380295.16,N,8,9.578874678509496,47.26035806892447
8001015,200154,Laterns,Frutz,"830,98","33,3",1949,,127416.57,379377.24,N,6,9.728852943351896,47.25693187250391
8002394,200642,Sulz,Frutz,"453,73","85,5",2001,,119986.58,383461.93,N,1,9.62819490841381,47.29049822822576
8001049,200527,Brederis,Ehbach,"427,19","24,9",1991,,117377.12,382828.54,N,6,9.594129626517384,47.28368061991459
8001016,200162,Meiningen (Güfel),Ehbach,"419,32","41,3",1959,,116372.12,385322.31,N,6,9.579262705456014,47.3056564425751
8001019,200196,Lustenau (Höchster Brücke),Rhein,"393,51","6301,1",1919,,123436.22,401228.31,N,8,9.662660048445776,47.45164603990353
8001020,200204,Enz,Dornbirnerach,"467,06","53,1",1947,,130609.84,394830.83,N,7,9.761618621597307,47.39715641941991
8001042,200428,Schwarzach,Schwarzach,"425,18","17,5",1982,,130664.99,400426.84,N,6,9.758936074268908,47.44747612898376
8001021,200212,Hoher Steg,Dornbirnerach,"398,59","113,8",1900,,126232.98,400677.09,N,6,9.700059986668649,47.44787507871266
8002373,200576,Hohenems,Emsbach,"408,81","7,4",1998,,124257.57,392375.27,N,6,9.67906798203606,47.37242761987162
