Messstelle:                ;Haidbach
HZB-Nummer:                ;203083
HD-Nummer:                 ;
DBMS-Nummer:               ;5001008
Gewässer:                  ;Felber Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;79,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00888,00
   01.01.1985              ;00890,78
   18.03.2021              ;00864,42
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;385900,00 - 235200,00
   18.03.2021              ;385750,72 - 235953,15
Exportzeitreihe:           ;(5001008,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1951 12:00,01.01.2022 00:00]
Werte:
23.01.1951 12:00:00;  1,27
05.02.1951 12:00:00; 0,950
24.03.1951 12:00:00; 0,610
29.04.1951 12:00:00;  5,40
26.05.1951 12:00:00;  12,8
02.06.1951 12:00:00;  10,1
17.07.1951 12:00:00;  20,0
02.08.1951 12:00:00;  5,92
01.09.1951 12:00:00;  3,30
02.10.1951 12:00:00;  2,24
08.11.1951 12:00:00;  1,85
04.12.1951 12:00:00;  1,55
13.01.1952 12:00:00;  1,11
02.02.1952 12:00:00; 0,890
29.03.1952 12:00:00;  3,30
25.04.1952 12:00:00;  7,54
04.05.1952 12:00:00;  7,54
20.06.1952 12:00:00;  15,0
03.07.1952 12:00:00;  6,70
18.08.1952 12:00:00;  6,18
15.09.1952 12:00:00;  5,92
26.10.1952 12:00:00;  5,40
04.11.1952 12:00:00;  4,30
01.12.1952 12:00:00;  1,75
28.01.1953 12:00:00;  1,27
02.02.1953 12:00:00; 0,950
31.03.1953 12:00:00;  1,19
29.04.1953 12:00:00;  3,14
28.05.1953 12:00:00;  9,70
09.06.1953 12:00:00;  18,0
08.07.1953 12:00:00;  14,1
18.08.1953 12:00:00;  5,40
03.09.1953 12:00:00;  3,14
01.10.1953 12:00:00;  2,11
05.11.1953 12:00:00;  1,55
01.12.1953 12:00:00; 0,890
22.01.1954 12:00:00; 0,610
04.02.1954 12:00:00; 0,530
31.03.1954 12:00:00; 0,570
05.04.1954 12:00:00;  2,98
30.05.1954 12:00:00;  8,10
30.06.1954 12:00:00;  13,6
12.07.1954 12:00:00;  20,0
29.08.1954 12:00:00;  11,9
01.09.1954 12:00:00;  3,70
28.10.1954 12:00:00;  6,44
11.11.1954 12:00:00;  3,30
10.12.1954 12:00:00;  2,98
02.01.1955 12:00:00;  1,55
14.02.1955 12:00:00;  1,11
27.03.1955 12:00:00;  2,98
30.04.1955 12:00:00;  4,96
28.05.1955 12:00:00;  7,26
21.06.1955 12:00:00;  26,0
06.07.1955 12:00:00;  11,5
04.08.1955 12:00:00;  7,54
02.09.1955 12:00:00;  3,90
25.10.1955 12:00:00;  2,50
01.11.1955 12:00:00;  1,85
06.12.1955 12:00:00;  1,03
03.01.1956 12:00:00; 0,890
27.02.1956 12:00:00; 0,450
27.03.1956 12:00:00;  1,85
16.04.1956 12:00:00;  3,14
31.05.1956 12:00:00;  11,5
02.06.1956 12:00:00;  15,9
31.07.1956 12:00:00;  9,70
20.08.1956 12:00:00;  33,0
10.09.1956 12:00:00;  19,9
08.10.1956 12:00:00;  3,50
04.11.1956 12:00:00;  1,45
07.12.1956 12:00:00;  1,03
08.01.1957 12:00:00; 0,950
07.02.1957 12:00:00; 0,830
31.03.1957 12:00:00;  1,98
26.04.1957 12:00:00;  2,11
23.05.1957 12:00:00;  6,74
12.06.1957 12:00:00;  25,0
21.07.1957 12:00:00;  10,5
21.08.1957 12:00:00;  15,4
02.09.1957 12:00:00;  9,82
04.10.1957 12:00:00;  2,97
12.11.1957 12:00:00;  1,47
05.12.1957 12:00:00;  1,39
02.01.1958 12:00:00; 0,910
17.02.1958 12:00:00;  2,10
30.03.1958 12:00:00;  1,39
30.04.1958 12:00:00;  1,47
16.05.1958 12:00:00;  8,80
11.06.1958 12:00:00;  7,90
26.07.1958 12:00:00;  13,5
13.08.1958 12:00:00;  7,60
23.09.1958 12:00:00;  8,50
15.10.1958 12:00:00;  5,90
01.11.1958 12:00:00;  3,14
02.12.1958 12:00:00;  1,55
02.01.1959 12:00:00;  1,23
28.02.1959 12:00:00; 0,910
08.03.1959 12:00:00;  1,88
19.04.1959 12:00:00;  4,74
21.05.1959 12:00:00;  8,42
29.06.1959 12:00:00;  37,0
20.07.1959 12:00:00;  15,4
13.08.1959 12:00:00;  21,5
17.09.1959 12:00:00;  3,50
28.10.1959 12:00:00;  5,18
03.11.1959 12:00:00;  1,19
05.12.1959 12:00:00; 0,890
29.01.1960 12:00:00; 0,710
26.02.1960 12:00:00; 0,830
31.03.1960 12:00:00;  2,37
14.04.1960 12:00:00;  3,30
19.05.1960 12:00:00;  15,8
10.06.1960 12:00:00;  14,0
21.07.1960 12:00:00;  15,8
01.08.1960 12:00:00;  17,0
05.09.1960 12:00:00;  9,31
29.10.1960 12:00:00;  5,82
