Messstelle:                ;Katzelsdorf (EVN)
HZB-Nummer:                ;208967
HD-Nummer:                 ;no815
DBMS-Nummer:               ;3001118
Gewässer:                  ;Katzelsdorfer Werkskanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00270,00
   01.01.1980              ;00270,49
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;745110,00 - 295001,00
Exportzeitreihe:           ;(3001118,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1980 23:59:55,01.01.2022 00:00]
Werte:
31.12.1980 23:59:55;  2,02
08.01.1981 08:45:00;  3,40
09.02.1981 06:00:00;  3,63
11.03.1981 06:15:00;  3,66
27.04.1981 18:15:00;  2,79
18.05.1981 04:00:00;  3,47
24.06.1981 11:45:00;  3,18
25.07.1981 09:45:00;  3,09
29.08.1981 05:15:00;  3,66
29.09.1981 05:00:00;  3,99
22.10.1981 22:15:00;  4,03
21.11.1981 01:00:00;  3,84
01.12.1981 16:00:00;  3,14
01.01.1982 23:15:00;  3,77
22.02.1982 09:30:00;  3,12
03.03.1982 22:30:00;  3,22
23.04.1982 11:30:00;  3,00
29.05.1982 05:45:00;  3,36
23.06.1982 17:30:00;  3,77
12.07.1982 19:30:00;  3,67
05.08.1982 01:15:00;  3,86
24.09.1982 06:45:00;  3,21
01.10.1982 20:00:00;  3,38
15.11.1982 14:15:00;  3,53
18.12.1982 18:30:00;  3,43
05.01.1983 07:15:00;  3,62
16.02.1983 17:00:00;  3,23
07.03.1983 20:15:00;  2,98
20.04.1983 05:45:00;  3,27
25.05.1983 02:00:00;  3,81
03.06.1983 19:15:00;  3,80
02.07.1983 07:30:00;  3,06
03.08.1983 06:00:00;  2,48
17.09.1983 09:45:00;  2,98
17.10.1983 14:30:00;  3,28
27.11.1983 22:45:00;  2,56
20.12.1983 16:15:00;  3,36
20.01.1984 12:30:00;  1,88
27.02.1984 07:15:00;  2,13
29.03.1984 05:00:00;  3,00
03.04.1984 01:45:00;  3,50
21.05.1984 09:45:00;  3,57
22.06.1984 01:00:00;  3,80
03.07.1984 00:45:00;  3,65
10.08.1984 04:15:00;  3,32
24.09.1984 21:15:00;  3,26
12.10.1984 12:15:00;  3,42
23.11.1984 17:30:00;  3,06
01.12.1984 08:30:00;  2,29
02.01.1985 18:00:00;  1,82
26.02.1985 07:30:00;  3,54
22.03.1985 06:00:00;  3,08
28.04.1985 13:15:00;  3,04
18.05.1985 23:15:00;  3,40
12.06.1985 07:30:00;  3,20
01.07.1985 18:30:00;  3,09
07.08.1985 04:00:00;  3,45
07.09.1985 18:15:00;  3,50
31.10.1985 21:45:00;  2,15
02.11.1985 12:45:00;  3,21
19.12.1985 22:15:00;  3,68
21.01.1986 09:30:00;  3,58
05.02.1986 19:45:00;  2,87
08.03.1986 16:15:00;  3,31
29.04.1986 10:45:00;  3,19
30.05.1986 05:45:00;  3,07
29.06.1986 15:30:00;  3,19
25.07.1986 01:30:00;  3,09
18.08.1986 23:30:00;  3,68
13.09.1986 17:30:00;  3,50
27.10.1986 13:15:00;  2,87
24.11.1986 03:30:00;  3,65
31.12.1986 04:15:00;  3,78
01.01.1987 16:00:00;  3,07
12.02.1987 18:30:00;  3,13
03.03.1987 08:30:00;  3,74
05.04.1987 09:45:00;  3,01
04.05.1987 01:30:00;  3,28
16.06.1987 05:45:00;  3,40
13.07.1987 21:00:00;  3,17
13.08.1987 17:15:00;  3,11
20.09.1987 03:15:00;  3,24
12.10.1987 16:15:00;  2,79
25.11.1987 12:45:00;  3,94
18.12.1987 11:45:00;  3,61
07.01.1988 15:00:00;  3,24
08.02.1988 07:00:00;  3,18
22.03.1988 11:00:00;  3,28
01.04.1988 06:00:00;  3,23
17.05.1988 21:30:00;  3,01
29.06.1988 19:30:00;  3,40
23.07.1988 03:30:00;  3,23
04.08.1988 01:30:00;  3,34
16.09.1988 16:45:00;  3,17
06.10.1988 12:45:00;  2,90
15.11.1988 10:45:00;  2,85
11.12.1988 22:00:00;  3,40
21.01.1989 09:00:00;  3,23
21.02.1989 05:30:00;  3,45
05.03.1989 10:30:00;  3,11
13.04.1989 14:45:00;  3,40
01.05.1989 07:30:00;  3,34
04.06.1989 23:45:00;  3,11
10.07.1989 06:15:00;  3,51
14.08.1989 22:00:00;  3,34
03.09.1989 15:00:00;  3,51
15.10.1989 08:45:00;  3,06
07.11.1989 01:15:00;  3,45
01.12.1989 23:30:00;  2,80
18.01.1990 04:15:00;  2,75
16.02.1990 00:15:00;  2,80
11.03.1990 12:30:00;  3,01
22.04.1990 13:15:00;  3,18
17.05.1990 00:45:00;  2,42
10.06.1990 07:00:00;  2,46
30.07.1990 17:15:00;  3,70
15.08.1990 23:15:00;  5,30
08.09.1990 02:30:00;  3,67
29.10.1990 23:15:00;  3,13
01.11.1990 14:30:00;  2,90
10.12.1990 14:45:00;  3,18
19.01.1991 22:00:00;  3,74
19.02.1991 11:15:00;  4,35
31.03.1991 23:59:55;  2,55
01.04.1991 00:15:00;  2,56
12.05.1991 19:30:00;  2,85
28.06.1991 02:00:00;  3,34
21.07.1991 15:30:00;  3,01
13.08.1991 19:30:00;  3,01
15.09.1991 19:30:00;  2,70
09.10.1991 00:30:00;  3,01
05.11.1991 05:15:00;  3,06
16.12.1991 10:45:00;  3,57
07.01.1992 06:15:00;  3,01
07.02.1992 02:30:00;  2,85
21.03.1992 19:45:00;  2,85
26.04.1992 07:15:00;  2,85
12.05.1992 04:45:00;  2,75
04.06.1992 01:45:00;  3,06
12.07.1992 02:45:00;  2,46
02.08.1992 08:30:00;  2,20
15.09.1992 05:15:00;  2,61
04.10.1992 14:30:00;  2,42
23.11.1992 06:00:00;  3,23
05.12.1992 21:45:00;  3,06
31.01.1993 20:00:00;  3,07
25.02.1993 05:45:00;  3,18
18.03.1993 03:00:00;  3,01
20.04.1993 01:00:00;  3,55
03.05.1993 16:00:00;  3,07
24.06.1993 01:15:00;  2,96
26.07.1993 04:00:00;  3,55
09.08.1993 18:45:00;  2,59
01.09.1993 22:15:00;  3,36
22.10.1993 14:45:00;  2,70
06.11.1993 09:00:00;  2,20
21.12.1993 01:00:00;  2,75
08.01.1994 16:45:00;  2,51
16.02.1994 20:00:00;  2,65
25.03.1994 14:15:00;  2,64
16.04.1994 04:15:00;  2,90
21.05.1994 05:00:00;  3,13
13.06.1994 02:45:00;  2,96
18.07.1994 22:15:00;  2,85
27.08.1994 12:30:00;  3,07
01.09.1994 15:00:00;  2,49
24.10.1994 23:00:00;  2,96
21.11.1994 10:30:00;  2,85
30.12.1994 08:45:00;  2,28
27.01.1995 10:00:00;  2,56
26.02.1995 23:15:00;  2,37
20.03.1995 06:00:00;  2,85
02.04.1995 10:45:00;  2,70
06.05.1995 09:00:00;  2,33
27.06.1995 14:45:00;  2,80
14.07.1995 21:30:00;  2,61
25.08.1995 21:00:00;  3,13
02.09.1995 01:15:00;  3,49
01.10.1995 17:00:00;  2,39
18.11.1995 13:30:00;  2,74
28.12.1995 19:45:00;  3,13
07.01.1996 13:30:00;  4,97
04.02.1996 04:45:00;  3,43
24.03.1996 20:30:00;  2,74
21.04.1996 04:30:00;  2,75
08.05.1996 01:30:00;  3,23
20.06.1996 17:00:00;  2,85
06.07.1996 21:00:00;  2,90
25.08.1996 11:45:00;  3,28
02.09.1996 07:15:00;  3,01
21.10.1996 04:45:00;  3,28
14.11.1996 23:00:00;  2,96
01.12.1996 14:00:00;  2,33
28.01.1997 18:13:20;  1,88
14.02.1997 01:07:50;  2,33
17.03.1997 07:09:30;  3,66
30.04.1997 11:45:40;  3,50
22.05.1997 04:50:05;  3,61
17.06.1997 06:10:20;  3,46
08.07.1997 04:36:15;  3,30
19.08.1997 04:40:45;  3,31
29.09.1997 11:54:15;  3,78
02.10.1997 16:55:50;  2,78
30.11.1997 23:59:55;  2,39
18.12.1997 10:33:25;  2,82
30.01.1998 07:37:10;  2,38
03.02.1998 13:19:40;  2,33
23.03.1998 18:46:15;  2,56
06.04.1998 15:26:35;  2,64
17.05.1998 18:15:15;  2,58
27.06.1998 19:53:45;  2,77
02.07.1998 11:44:25;  2,86
23.08.1998 02:56:10;  2,93
28.09.1998 04:12:25;  2,65
20.10.1998 05:35:10;  2,70
10.11.1998 20:01:15;  2,61
12.12.1998 22:38:50;  2,82
09.01.1999 20:15:50;  1,84
11.02.1999 08:20:05;  2,21
03.03.1999 08:31:10;  2,82
30.04.1999 23:59:55;  2,72
09.05.1999 06:58:30;  2,76
16.06.1999 19:05:05;  3,08
22.07.1999 16:56:55;  2,83
06.08.1999 17:23:35;  2,74
28.09.1999 23:58:15;  2,75
04.10.1999 09:15:50;  2,58
16.11.1999 09:55:45;  2,39
27.12.1999 13:30:30;  2,48
18.01.2000 21:11:35;  2,15
06.02.2000 10:01:35;  2,67
30.03.2000 04:20:15;  2,63
02.04.2000 04:11:40;  2,51
13.05.2000 02:10:30;  2,69
24.06.2000 03:27:35;  2,39
04.07.2000 19:07:35;  2,50
