Messstelle:                ;Totes Weib
HZB-Nummer:                ;214536
HD-Nummer:                 ;ow2900
DBMS-Nummer:               ;6003233
Gewässer:                  ;Mürz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;103,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   30.08.2002              ;00847,32
   05.08.2022              ;00847,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   30.08.2002              ;686432,00 - 288029,00
   01.01.2018              ;686517,00 - 288050,10
Exportzeitreihe:           ;(6003233,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.2003 00:00,01.01.2021 00:00]
Werte:
01.01.2003 00:00:00;  6,61
01.02.2003 00:00:00;  1,78
31.03.2003 11:05:40;  7,94
16.04.2003 20:30:00;  9,09
21.05.2003 07:45:00;  9,22
06.06.2003 17:45:00;  32,7
17.07.2003 22:00:00;  8,40
18.08.2003 18:45:00;  28,5
14.09.2003 01:00:00;  19,9
10.10.2003 14:00:00;  13,5
02.11.2003 08:15:00;  8,63
31.12.2003 08:47:50;  2,06
14.01.2004 09:00:00;  4,25
03.02.2004 07:30:00;  29,6
21.03.2004 23:00:00;  28,9
04.04.2004 19:30:00;  16,5
16.05.2004 07:30:00;  32,7
24.06.2004 01:00:00;  39,3
16.07.2004 04:30:00;  11,5
26.08.2004 16:24:50;  5,52
23.09.2004 21:40:00;  13,7
06.10.2004 05:30:00;  8,24
23.11.2004 18:45:00;  12,8
01.12.2004 07:15:00;  4,12
21.01.2005 08:15:00;  6,52
12.02.2005 23:45:00;  2,93
19.03.2005 17:00:00;  39,0
20.04.2005 02:30:00;  22,5
19.05.2005 02:30:00;  38,2
25.06.2005 17:00:00;  18,0
08.07.2005 14:30:00;  38,4
21.08.2005 02:45:00;  37,2
17.09.2005 23:30:00;  7,93
01.10.2005 00:30:00;  5,48
29.11.2005 13:00:00; 0,935
04.12.2005 02:00:00; 0,942
02.01.2006 03:30:00; 0,864
20.02.2006 16:45:00;  1,35
27.03.2006 20:30:00;  15,8
29.04.2006 07:15:00;  32,3
27.05.2006 07:45:00;  21,9
03.06.2006 03:15:00;  60,0
11.07.2006 19:00:00;  34,0
07.08.2006 20:00:00;   140
20.09.2006 03:07:10;  7,56
30.10.2006 08:52:10;  3,63
14.11.2006 21:37:10;  19,6
01.12.2006 00:07:10;  2,09
19.01.2007 20:37:00;  36,4
28.02.2007 22:22:00;  7,88
08.03.2007 18:22:00;  12,6
13.04.2007 18:07:00;  7,88
10.05.2007 00:37:00;  20,0
14.06.2007 15:37:00;  3,73
10.07.2007 14:22:00;  5,79
11.08.2007 15:52:00;  6,34
07.09.2007 10:22:00;  84,8
28.10.2007 07:52:00;  25,8
04.11.2007 13:07:00;  8,92
08.12.2007 06:52:00;  4,49
19.01.2008 21:22:00;  8,48
26.02.2008 21:52:00;  6,12
02.03.2008 23:07:00;  14,4
21.04.2008 21:55:00;  21,3
06.05.2008 18:25:00;  10,8
26.06.2008 23:55:00;  16,2
24.07.2008 00:55:00;  66,8
16.08.2008 04:40:00;  38,5
25.09.2008 22:10:00;  25,0
03.10.2008 22:25:00;  7,48
21.11.2008 07:55:00;  4,86
12.12.2008 05:10:00;  11,2
01.01.2009 14:25:00;  1,71
07.02.2009 21:55:00;  4,40
29.03.2009 21:40:00;  5,26
10.04.2009 18:25:00;  25,8
30.05.2009 14:55:00;  41,0
28.06.2009 20:10:00;  66,1
18.07.2009 14:40:00;  26,8
10.08.2009 19:10:00;  32,3
04.09.2009 20:22:00;  17,5
22.10.2009 20:37:00;  13,4
01.11.2009 00:07:00;  2,69
25.12.2009 17:22:00;  11,4
01.01.2010 00:22:00;  1,75
26.02.2010 23:22:00;  1,75
25.03.2010 17:52:00;  20,6
01.04.2010 00:22:00;  7,69
21.05.2010 23:52:00;  40,0
02.06.2010 13:07:00;  39,0
17.07.2010 16:52:00;  8,70
31.08.2010 21:22:00;  50,7
01.09.2010 00:00:00;  37,0
31.10.2010 23:55:00;  2,99
08.11.2010 20:40:00;  3,58
24.12.2010 11:10:00;  12,1
14.01.2011 02:40:00;  36,3
12.02.2011 07:55:00;  17,5
17.03.2011 11:10:00;  9,07
01.04.2011 18:55:00;  7,05
28.05.2011 08:40:00;  11,7
19.06.2011 03:40:00;  17,5
05.07.2011 17:10:00;  19,5
04.08.2011 10:55:00;  8,18
19.09.2011 20:55:00;  11,4
10.10.2011 21:10:00;  28,3
01.11.2011 00:10:00;  1,45
24.12.2011 03:10:00;  1,32
20.01.2012 04:40:00;  18,5
29.02.2012 21:10:00;  9,38
30.03.2012 05:44:00;  21,4
