Messstelle:                ;Altaussee (Traun)
HZB-Nummer:                ;210542
HD-Nummer:                 ;ow0024
DBMS-Nummer:               ;6001007
Gewässer:                  ;Altausseer-Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;48,17
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00709,47
   26.05.2021              ;00709,44
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1960              ;557309,60 - 280506,80
   01.01.2018              ;557316,40 - 280580,70
Exportzeitreihe:           ;(6001007,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  1,13
19.02.1951 12:00:00;  1,13
24.03.1951 12:00:00;  3,02
30.04.1951 12:00:00;  8,65
28.05.1951 12:00:00;  17,2
10.06.1951 12:00:00;  20,0
28.07.1951 12:00:00;  8,65
18.08.1951 12:00:00;  5,50
30.09.1951 12:00:00;  1,58
02.10.1951 12:00:00;  1,58
25.11.1951 12:00:00;  2,84
02.12.1951 12:00:00;  2,49
17.01.1952 12:00:00;  1,36
07.02.1952 12:00:00; 0,930
31.03.1952 12:00:00;  2,49
25.04.1952 12:00:00;  18,3
12.05.1952 12:00:00;  20,0
01.06.1952 12:00:00;  23,0
01.07.1952 12:00:00;  6,40
25.08.1952 12:00:00;  6,40
01.09.1952 12:00:00;  5,50
28.10.1952 12:00:00;  7,99
01.11.1952 12:00:00;  5,50
04.12.1952 12:00:00;  3,20
31.01.1953 12:00:00;  1,13
05.02.1953 12:00:00;  1,13
31.03.1953 12:00:00;  5,80
30.04.1953 12:00:00;  8,65
22.05.1953 12:00:00;  20,0
28.06.1953 12:00:00;  10,0
06.07.1953 12:00:00;  7,65
06.08.1953 12:00:00;  30,0
14.09.1953 12:00:00;  2,51
16.10.1953 12:00:00;  1,29
09.11.1953 12:00:00; 0,390
02.12.1953 12:00:00; 0,240
22.01.1954 12:00:00;  4,80
04.02.1954 12:00:00; 0,450
25.03.1954 12:00:00;  2,36
08.04.1954 12:00:00;  17,0
20.05.1954 12:00:00;  23,0
01.06.1954 12:00:00;  17,0
