Messstelle:                ;Sandriesen
HZB-Nummer:                ;212498
HD-Nummer:                 ;00200
DBMS-Nummer:               ;2001017
Gewässer:                  ;Malta
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;266
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00740,67
   01.01.2000              ;00739,72
   01.09.2006              ;00739,70
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1951              ;465277,87 - 197190,36
   01.01.2000              ;465175,18 - 196992,86
Exportzeitreihe:           ;(2001017,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[30.01.1951 12:00,01.01.2022 00:00]
Werte:
30.01.1951 12:00:00;  2,48
16.02.1951 12:00:00;  4,24
21.03.1951 12:00:00;  4,50
30.04.1951 12:00:00;  19,5
28.05.1951 12:00:00;  69,4
21.06.1951 12:00:00;  58,0
23.07.1951 12:00:00;  60,6
11.08.1951 12:00:00;  36,1
18.09.1951 12:00:00;  47,9
02.10.1951 12:00:00;  10,5
12.11.1951 12:00:00;   100
01.12.1951 12:00:00;  4,50
02.01.1952 12:00:00;  2,30
04.02.1952 12:00:00;  1,80
31.03.1952 12:00:00;  3,72
24.04.1952 12:00:00;  20,0
17.05.1952 12:00:00;  29,8
20.06.1952 12:00:00;  42,6
29.07.1952 12:00:00;  56,0
22.08.1952 12:00:00;  36,7
12.09.1952 12:00:00;  86,3
26.10.1952 12:00:00;   115
20.11.1952 12:00:00;  11,0
03.12.1952 12:00:00;  3,20
06.01.1953 12:00:00;  2,30
09.02.1953 12:00:00;  1,92
31.03.1953 12:00:00;  5,12
28.04.1953 12:00:00;  12,5
18.05.1953 12:00:00;  59,3
09.06.1953 12:00:00;  84,9
19.07.1953 12:00:00;   153
03.08.1953 12:00:00;  72,7
26.09.1953 12:00:00;  40,6
28.10.1953 12:00:00;  56,6
03.11.1953 12:00:00;  11,0
03.12.1953 12:00:00;  2,30
29.01.1954 12:00:00;  8,16
01.02.1954 12:00:00;  3,20
31.03.1954 12:00:00;  2,48
08.04.1954 12:00:00;  7,04
30.05.1954 12:00:00;  29,8
04.06.1954 12:00:00;  72,7
02.07.1954 12:00:00;  56,0
15.08.1954 12:00:00;  97,0
21.09.1954 12:00:00;  42,6
02.10.1954 12:00:00;  20,0
11.11.1954 12:00:00;  4,50
11.12.1954 12:00:00;  15,0
23.01.1955 12:00:00;  7,37
18.02.1955 12:00:00;  2,48
28.03.1955 12:00:00;  9,08
30.04.1955 12:00:00;  13,0
29.05.1955 12:00:00;  27,9
21.06.1955 12:00:00;  65,0
20.07.1955 12:00:00;  59,3
20.08.1955 12:00:00;  19,5
12.09.1955 12:00:00;  39,3
22.10.1955 12:00:00;  20,6
12.11.1955 12:00:00;  5,74
03.12.1955 12:00:00;  1,92
13.01.1956 12:00:00;  1,52
29.02.1956 12:00:00;  1,60
03.03.1956 12:00:00;  6,05
17.04.1956 12:00:00;  5,43
31.05.1956 12:00:00;  38,0
08.06.1956 12:00:00;  93,0
17.07.1956 12:00:00;  32,9
23.08.1956 12:00:00;  59,3
14.09.1956 12:00:00;  32,9
04.10.1956 12:00:00;  22,4
15.11.1956 12:00:00;  3,98
14.12.1956 12:00:00;  1,92
21.01.1957 12:00:00;  1,92
06.02.1957 12:00:00;  1,60
21.03.1957 12:00:00;  4,81
30.04.1957 12:00:00;  17,8
20.05.1957 12:00:00;  21,8
12.06.1957 12:00:00;  93,0
28.07.1957 12:00:00;  51,3
10.08.1957 12:00:00;  42,6
28.09.1957 12:00:00;  13,0
01.10.1957 12:00:00;  6,05
11.11.1957 12:00:00;  6,05
03.12.1957 12:00:00;  1,92
05.01.1958 12:00:00;  5,43
28.02.1958 12:00:00;  1,92
01.03.1958 12:00:00;  1,92
27.04.1958 12:00:00;  3,20
11.05.1958 12:00:00;  66,0
23.06.1958 12:00:00;  40,6
23.07.1958 12:00:00;  51,3
04.08.1958 12:00:00;  51,3
23.09.1958 12:00:00;  32,9
02.10.1958 12:00:00;  46,6
14.11.1958 12:00:00;  11,0
10.12.1958 12:00:00;  3,72
01.01.1959 12:00:00;  2,84
17.02.1959 12:00:00;  1,52
30.03.1959 12:00:00;  2,48
18.04.1959 12:00:00;  13,0
23.05.1959 12:00:00;  56,0
29.06.1959 12:00:00;  86,3
16.07.1959 12:00:00;  42,6
13.08.1959 12:00:00;  93,0
25.09.1959 12:00:00;  9,08
29.10.1959 12:00:00;  26,6
01.11.1959 12:00:00;  4,50
02.12.1959 12:00:00;  2,05
19.01.1960 12:00:00;  1,92
27.02.1960 12:00:00;  1,23
23.03.1960 12:00:00;  1,37
15.04.1960 12:00:00;  11,0
20.05.1960 12:00:00;  45,9
15.06.1960 12:00:00;  45,9
12.07.1960 12:00:00;  72,7
13.08.1960 12:00:00;  36,1
06.09.1960 12:00:00;  86,0
10.10.1960 12:00:00;  23,6
08.11.1960 12:00:00;  15,0
07.12.1960 12:00:00;  15,0
04.01.1961 12:00:00;  2,84
02.02.1961 12:00:00;  2,30
18.03.1961 12:00:00;  5,43
10.04.1961 12:00:00;  20,6
08.05.1961 12:00:00;  31,0
23.06.1961 12:00:00;  45,9
05.07.1961 12:00:00;  56,0
16.08.1961 12:00:00;  24,2
08.09.1961 12:00:00;  14,0
08.10.1961 12:00:00;  52,6
11.11.1961 12:00:00;  7,04
13.12.1961 12:00:00;  20,6
31.01.1962 12:00:00;  2,84
03.02.1962 12:00:00;  3,02
06.03.1962 12:00:00;  1,60
26.04.1962 12:00:00;  42,6
20.05.1962 12:00:00;  42,6
01.06.1962 12:00:00;   105
11.07.1962 12:00:00;  59,3
16.08.1962 12:00:00;  59,3
08.09.1962 12:00:00;  46,4
01.10.1962 12:00:00;  4,19
13.11.1962 12:00:00;  4,65
13.12.1962 12:00:00;  1,31
01.01.1963 12:00:00;  1,31
16.02.1963 12:00:00; 0,880
06.03.1963 12:00:00; 0,960
24.04.1963 12:00:00;  12,4
28.05.1963 12:00:00;  25,9
24.06.1963 12:00:00;  42,9
02.07.1963 12:00:00;  36,1
18.08.1963 12:00:00;  76,0
08.09.1963 12:00:00;  56,0
05.10.1963 12:00:00;  26,6
07.11.1963 12:00:00;  32,9
01.12.1963 12:00:00;  4,81
12.01.1964 12:00:00;  2,00
28.02.1964 12:00:00;  1,50
29.03.1964 12:00:00;  2,00
20.04.1964 12:00:00;  10,8
14.05.1964 12:00:00;  42,9
02.06.1964 12:00:00;  57,0
10.07.1964 12:00:00;  54,4
22.08.1964 12:00:00;  46,8
17.09.1964 12:00:00;  25,8
13.10.1964 12:00:00;  22,0
26.11.1964 12:00:00;  13,1
01.12.1964 12:00:00;  5,62
21.01.1965 12:00:00;  2,86
17.02.1965 12:00:00;  3,35
31.03.1965 12:00:00;  3,47
07.04.1965 12:00:00;  4,59
19.05.1965 12:00:00;  50,5
23.06.1965 12:00:00;  81,6
31.07.1965 12:00:00;  91,5
23.08.1965 12:00:00;   105
02.09.1965 12:00:00;   280
01.10.1965 12:00:00;  19,9
21.11.1965 12:00:00;  5,05
02.12.1965 12:00:00;  3,10
15.01.1966 12:00:00;  2,61
22.02.1966 12:00:00;  2,61
01.03.1966 12:00:00;  1,76
30.04.1966 12:00:00;  12,6
07.05.1966 12:00:00;  63,5
25.06.1966 12:00:00;  69,2
19.07.1966 12:00:00;  80,7
18.08.1966 12:00:00;   260
14.09.1966 12:00:00;  26,0
17.10.1966 12:00:00;  21,9
05.11.1966 12:00:00;   227
02.12.1966 12:00:00;  7,44
11.01.1967 12:00:00;  3,91
16.02.1967 12:00:00;  3,33
28.03.1967 12:00:00;  2,84
19.04.1967 12:00:00;  9,10
29.05.1967 12:00:00;  53,9
26.06.1967 12:00:00;  58,9
23.07.1967 12:00:00;  51,4
17.08.1967 12:00:00;  43,1
08.09.1967 12:00:00;   260
03.10.1967 12:00:00;  9,93
05.11.1967 12:00:00;  20,3
01.12.1967 12:00:00;  3,58
08.01.1968 12:00:00;  3,66
25.02.1968 12:00:00;  2,11
31.03.1968 12:00:00;  5,95
22.04.1968 12:00:00;  26,4
06.05.1968 12:00:00;   100
15.06.1968 12:00:00;  78,6
10.07.1968 12:00:00;  83,6
07.08.1968 12:00:00;  50,2
16.09.1968 12:00:00;  48,4
16.10.1968 12:00:00;  12,1
03.11.1968 12:00:00;  27,0
01.12.1968 12:00:00;  3,25
21.01.1969 12:00:00;  2,13
16.02.1969 12:00:00;  1,67
18.03.1969 12:00:00;  3,51
