Messstelle:                ;Bocksdorf
HZB-Nummer:                ;210476
HD-Nummer:                 ;
DBMS-Nummer:               ;1001044
Gewässer:                  ;Strem
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;89,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00237,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;738900,00 - 222000,00
   05.10.2018              ;738915,79 - 222005,28
Exportzeitreihe:           ;(1001044,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:00,01.01.2022 00:00]
Werte:
08.01.1991 14:15:00; 0,650
24.02.1991 17:00:00; 0,830
30.03.1991 10:00:00; 0,830
06.04.1991 14:00:00; 0,392
11.05.1991 13:15:00;  2,94
28.06.1991 04:45:00;  5,47
13.07.1991 19:45:00;  8,11
18.08.1991 13:30:00;  2,29
23.09.1991 14:30:00;  4,10
18.10.1991 21:15:00;  3,54
21.11.1991 01:45:00;  7,21
23.12.1991 14:00:00;  1,09
10.01.1992 20:45:00; 0,471
14.02.1992 11:15:00; 0,536
27.03.1992 04:30:00;  4,28
02.04.1992 19:30:00;  1,35
09.05.1992 18:30:00;  1,74
12.06.1992 20:45:00;  3,70
07.07.1992 15:15:00;  11,1
01.08.1992 03:00:00;  1,09
01.09.1992 09:15:00;  1,71
07.10.1992 18:45:00;  8,20
17.11.1992 23:15:00;  7,65
06.12.1992 00:45:00;  9,28
25.01.1993 11:30:00; 0,246
19.02.1993 09:00:00; 0,432
24.03.1993 03:00:00; 0,259
11.04.1993 23:00:00; 0,274
31.05.1993 19:45:00;  2,37
07.06.1993 21:45:00;  6,38
05.07.1993 05:15:00; 0,514
25.08.1993 04:45:00;  1,38
16.09.1993 17:30:00;  1,88
23.10.1993 22:00:00;  1,71
06.11.1993 05:15:00; 0,750
15.12.1993 19:45:00;  1,68
06.01.1994 15:00:00;  1,52
09.02.1994 02:15:00; 0,193
21.03.1994 09:00:00; 0,218
12.04.1994 10:45:00;  2,75
27.05.1994 18:00:00;  1,28
30.06.1994 17:30:00;  1,03
07.07.1994 10:15:00;  2,45
11.08.1994 19:30:00;  4,62
03.09.1994 10:45:00;  2,98
24.10.1994 18:30:00;  2,94
11.11.1994 22:45:00;  4,46
31.12.1994 03:30:00; 0,412
27.01.1995 04:15:00;  1,28
27.02.1995 00:15:00;  3,23
04.03.1995 22:00:00;  10,5
13.04.1995 14:45:00;  1,25
31.05.1995 20:00:00; 0,901
14.06.1995 02:00:00;  4,04
14.07.1995 17:00:00;  2,41
28.08.1995 16:30:00;  3,92
20.09.1995 11:00:00;  4,27
04.10.1995 08:30:00; 0,338
17.11.1995 21:45:00; 0,451
27.12.1995 02:15:00; 0,557
09.01.1996 08:00:00;  2,53
20.02.1996 16:15:00; 0,528
19.03.1996 18:45:00;  4,58
04.04.1996 20:45:00;  17,2
27.05.1996 20:00:00;  10,2
22.06.1996 21:00:00;  2,77
03.07.1996 05:15:00;  4,28
13.08.1996 02:00:00;  4,37
23.09.1996 19:00:00;  14,3
22.10.1996 06:45:00;  6,08
22.11.1996 14:30:00; 0,545
20.12.1996 23:15:00; 0,391
05.01.1997 16:23:15; 0,246
13.02.1997 22:39:45; 0,779
17.03.1997 14:55:00; 0,339
20.04.1997 05:37:25; 0,259
22.05.1997 08:46:40;  1,62
10.06.1997 14:07:35;  14,9
23.07.1997 21:43:40;  21,6
01.08.1997 08:10:00;  9,90
07.09.1997 18:40:50;  1,32
12.10.1997 15:58:25; 0,155
13.11.1997 11:47:35; 0,383
20.12.1997 20:57:00;  1,13
01.01.1998 00:00:00; 0,220
16.02.1998 08:30:15; 0,292
01.03.1998 14:30:25; 0,379
16.04.1998 14:25:50; 0,496
18.05.1998 01:09:25; 0,479
27.06.1998 08:54:05;  89,5
01.07.1998 01:52:40;  21,1
01.08.1998 02:27:55;  12,1
06.09.1998 06:35:30;  16,7
20.10.1998 02:24:30;  5,76
04.11.1998 23:07:55;  4,94
17.12.1998 01:29:45; 0,346
12.01.1999 16:39:00; 0,573
12.02.1999 10:59:55; 0,498
27.03.1999 22:12:00; 0,571
23.04.1999 19:55:20;  8,90
21.05.1999 04:41:10;  42,1
04.06.1999 16:49:05;  1,25
14.07.1999 14:18:25;  1,85
20.08.1999 20:43:05;  3,24
22.09.1999 00:46:15;  2,17
24.10.1999 03:40:15; 0,405
10.11.1999 02:49:00; 0,810
11.12.1999 07:51:05;  2,51
31.01.2000 19:42:00; 0,517
01.02.2000 18:20:35; 0,868
29.03.2000 23:06:35;  1,24
01.04.2000 23:44:35; 0,538
22.05.2000 11:41:15; 0,754
15.06.2000 21:05:25; 0,733
07.07.2000 22:25:30;  2,17
06.08.2000 07:46:45;  2,72
16.09.2000 21:26:15;  1,86
27.10.2000 11:16:20;  1,37
05.11.2000 00:35:45;  3,42
28.12.2000 08:20:35;  3,61
08.01.2001 21:05:35;  1,42
01.02.2001 14:48:00; 0,373
26.03.2001 13:40:10;  1,13
08.04.2001 11:37:55;  1,59
09.05.2001 15:42:30; 0,638
11.06.2001 13:34:45; 0,942
10.07.2001 15:11:05;  5,57
24.08.2001 18:55:20;  1,58
14.09.2001 21:57:20;  1,58
01.10.2001 00:00:00; 0,288
09.11.2001 07:47:15; 0,396
31.12.2001 06:50:25; 0,243
23.01.2002 13:27:25; 0,269
18.02.2002 07:49:00; 0,668
01.03.2002 11:53:30; 0,175
12.04.2002 13:28:40; 0,463
