Messstelle:                ;Grades-Zwatshof
HZB-Nummer:                ;213306
HD-Nummer:                 ;00526
DBMS-Nummer:               ;2001084
Gewässer:                  ;Metnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;144,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00725,00
   24.10.1984              ;00732,31
   17.11.2009              ;00729,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;521454,45 - 204304,49
   01.01.2016              ;522063,30 - 204334,34
Exportzeitreihe:           ;(2001084,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 00:15,01.01.2022 00:00]
Werte:
01.01.1982 18:15:00;  1,48
12.02.1982 18:00:00;  1,50
29.03.1982 19:15:00;  2,67
04.04.1982 18:45:00;  2,60
24.05.1982 09:00:00;  7,29
27.06.1982 16:00:00;  5,85
31.07.1982 17:45:00;  4,93
14.08.1982 20:00:00;  18,9
08.09.1982 02:15:00;  7,38
06.10.1982 16:45:00;  19,6
14.11.1982 04:00:00;  4,56
18.12.1982 10:00:00;  4,13
25.01.1983 07:45:00;  2,60
03.02.1983 08:30:00;  1,96
25.03.1983 21:30:00;  2,69
27.04.1983 11:00:00;  3,27
24.05.1983 17:30:00;  5,44
10.06.1983 19:45:00;  3,73
06.07.1983 22:30:00;  15,6
03.08.1983 14:30:00;  2,87
17.09.1983 03:30:00;  11,3
17.10.1983 12:00:00;  5,82
27.11.1983 19:30:00;  1,44
20.12.1983 10:00:00;  2,46
08.01.1984 18:45:00; 0,849
09.02.1984 11:45:00; 0,824
29.03.1984 18:45:00;  2,42
02.04.1984 23:15:00;  3,09
21.05.1984 06:15:00;  10,5
29.06.1984 20:15:00;  4,89
02.07.1984 21:00:00;  3,45
07.08.1984 13:45:00;  4,53
24.09.1984 03:30:00;  7,06
02.10.1984 18:15:00;  7,96
01.11.1984 08:15:00;  1,57
19.12.1984 13:15:00;  1,37
23.01.1985 15:15:00;  1,60
01.02.1985 00:00:00; Lücke
27.03.1985 23:30:00;  2,53
02.04.1985 21:15:00;  2,23
16.05.1985 19:00:00;  15,8
09.06.1985 00:15:00;  19,9
15.07.1985 21:45:00;  15,7
06.08.1985 21:00:00;  9,25
04.09.1985 04:45:00;  3,84
31.10.1985 11:45:00;  2,19
06.11.1985 08:45:00;  2,32
04.12.1985 09:45:00;  1,51
07.01.1986 09:45:00;  1,27
03.02.1986 16:00:00; 0,992
29.03.1986 02:30:00;  1,73
30.04.1986 20:15:00;  8,30
06.05.1986 19:45:00;  8,97
15.06.1986 02:00:00;  9,07
01.07.1986 13:30:00;  3,34
28.08.1986 19:00:00;  6,29
