Messstelle:                ;Hoheneich
HZB-Nummer:                ;208579
HD-Nummer:                 ;no865
DBMS-Nummer:               ;3001085
Gewässer:                  ;Braunaubach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;291,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00479,24
   01.01.1981              ;00478,92
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1932              ;652636,00 - 404551,00
Exportzeitreihe:           ;(3001085,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[20.01.1951 12:00,01.01.2022 00:00]
Werte:
20.01.1951 12:00:00;  3,30
12.02.1951 12:00:00;  5,18
14.03.1951 12:00:00;  4,35
02.04.1951 12:00:00;  2,25
11.05.1951 12:00:00;  39,0
07.06.1951 12:00:00;  9,20
17.07.1951 12:00:00;  1,00
27.08.1951 12:00:00; 0,490
30.09.1951 12:00:00;  1,13
15.10.1951 12:00:00;  1,25
20.11.1951 12:00:00; 0,830
22.12.1951 12:00:00;  1,52
13.01.1952 12:00:00;  1,00
28.02.1952 12:00:00;  4,24
23.03.1952 12:00:00;  13,0
01.04.1952 12:00:00;  8,88
23.05.1952 12:00:00;  2,33
19.06.1952 12:00:00;  8,40
08.07.1952 12:00:00;  1,38
07.08.1952 12:00:00;  1,85
12.09.1952 12:00:00;  2,08
10.10.1952 12:00:00;  1,52
28.11.1952 12:00:00;  2,93
01.12.1952 12:00:00;  2,74
29.01.1953 12:00:00;  8,40
22.02.1953 12:00:00;  9,20
02.03.1953 12:00:00;  4,80
03.04.1953 12:00:00;  2,49
01.05.1953 12:00:00; 0,940
23.06.1953 12:00:00;  18,5
19.07.1953 12:00:00;  18,5
01.08.1953 12:00:00;  3,30
15.09.1953 12:00:00; 0,940
18.10.1953 12:00:00;  1,25
01.11.1953 12:00:00; 0,420
31.12.1953 12:00:00; 0,110
21.01.1954 12:00:00;  3,90
06.02.1954 12:00:00; 0,780
13.03.1954 12:00:00;  3,68
05.04.1954 12:00:00;  8,88
09.05.1954 12:00:00;  14,5
28.06.1954 12:00:00;  2,74
03.07.1954 12:00:00;  48,0
28.08.1954 12:00:00;  1,72
30.09.1954 12:00:00;  2,49
01.10.1954 12:00:00;  2,49
01.11.1954 12:00:00;  1,92
28.12.1954 12:00:00;  18,4
15.01.1955 12:00:00;  8,72
04.02.1955 12:00:00;  3,68
28.03.1955 12:00:00;  9,20
12.04.1955 12:00:00;  12,7
02.05.1955 12:00:00;  2,41
28.06.1955 12:00:00;  5,43
14.07.1955 12:00:00;  6,06
10.08.1955 12:00:00;  25,0
08.09.1955 12:00:00;  6,83
08.10.1955 12:00:00;  2,66
27.11.1955 12:00:00;  1,92
29.12.1955 12:00:00;  2,58
02.01.1956 12:00:00;  2,66
29.02.1956 12:00:00;  1,52
03.03.1956 12:00:00;  30,0
30.04.1956 12:00:00;  9,04
01.05.1956 12:00:00;  22,5
09.06.1956 12:00:00;  3,68
02.07.1956 12:00:00;  2,33
23.08.1956 12:00:00;  1,92
14.09.1956 12:00:00;  1,25
31.10.1956 12:00:00;  11,6
07.11.1956 12:00:00;  12,3
05.12.1956 12:00:00;  6,06
07.01.1957 12:00:00;  8,56
02.02.1957 12:00:00;  16,8
18.03.1957 12:00:00;  5,05
01.04.1957 12:00:00;  4,80
21.05.1957 12:00:00;  1,52
04.06.1957 12:00:00; 0,890
23.07.1957 12:00:00;  26,0
01.08.1957 12:00:00;  4,24
26.09.1957 12:00:00;  2,89
01.10.1957 12:00:00;  1,92
18.11.1957 12:00:00;  1,38
08.12.1957 12:00:00;  4,35
16.01.1958 12:00:00;  2,74
09.02.1958 12:00:00;  14,0
31.03.1958 12:00:00;  8,72
05.04.1958 12:00:00;  11,6
09.05.1958 12:00:00;  3,30
29.06.1958 12:00:00;  9,88
02.07.1958 12:00:00;  7,60
09.08.1958 12:00:00;  1,45
25.09.1958 12:00:00;  1,59
19.10.1958 12:00:00;  4,80
16.11.1958 12:00:00;  3,90
28.12.1958 12:00:00;  7,60
01.01.1959 12:00:00;  5,00
03.02.1959 12:00:00;  2,74
08.03.1959 12:00:00;  13,6
20.04.1959 12:00:00;  1,85
03.05.1959 12:00:00;  2,58
14.06.1959 12:00:00;  20,0
18.07.1959 12:00:00;  28,0
16.08.1959 12:00:00;  15,5
01.09.1959 12:00:00;  1,85
11.10.1959 12:00:00;  2,17
12.11.1959 12:00:00;  1,59
30.12.1959 12:00:00;  6,06
01.01.1960 12:00:00;  4,93
29.02.1960 12:00:00;  7,29
26.03.1960 12:00:00;  16,0
01.04.1960 12:00:00;  6,68
16.05.1960 12:00:00;  1,85
10.06.1960 12:00:00;  2,66
21.07.1960 12:00:00;  12,9
13.08.1960 12:00:00;  46,0
22.09.1960 12:00:00;  5,18
22.10.1960 12:00:00;  8,24
01.11.1960 12:00:00;  2,74
02.12.1960 12:00:00;  1,52
31.01.1961 12:00:00;  5,81
10.02.1961 12:00:00;  12,0
01.03.1961 12:00:00;  3,40
19.04.1961 12:00:00;  4,93
28.05.1961 12:00:00;  4,13
07.06.1961 12:00:00;  12,0
20.07.1961 12:00:00;  1,00
11.08.1961 12:00:00;  2,93
27.09.1961 12:00:00; 0,490
18.10.1961 12:00:00;  1,38
08.11.1961 12:00:00;  1,79
13.12.1961 12:00:00;  8,40
21.01.1962 12:00:00;  8,08
14.02.1962 12:00:00;  3,40
31.03.1962 12:00:00;  13,8
01.04.1962 12:00:00;  17,2
14.05.1962 12:00:00;  30,0
02.06.1962 12:00:00;  11,6
18.07.1962 12:00:00;  10,4
01.08.1962 12:00:00;  1,13
24.09.1962 12:00:00;  26,6
02.10.1962 12:00:00;  1,65
10.11.1962 12:00:00;  1,85
19.12.1962 12:00:00;  1,59
01.01.1963 12:00:00; 0,830
28.02.1963 12:00:00; 0,830
21.03.1963 12:00:00;  13,0
01.04.1963 12:00:00;  12,0
25.05.1963 12:00:00;  5,93
16.06.1963 12:00:00;  7,14
01.07.1963 12:00:00;  2,17
30.08.1963 12:00:00;  1,92
09.09.1963 12:00:00;  3,30
15.10.1963 12:00:00;  1,38
08.11.1963 12:00:00;  1,79
01.12.1963 12:00:00;  1,13
04.01.1964 12:00:00; 0,540
10.02.1964 12:00:00;  3,68
23.03.1964 12:00:00;  24,0
04.04.1964 12:00:00;  7,92
05.05.1964 12:00:00;  4,13
21.06.1964 12:00:00;  1,92
05.07.1964 12:00:00;  1,59
03.08.1964 12:00:00;  1,79
08.09.1964 12:00:00;  1,92
19.10.1964 12:00:00;  5,30
15.11.1964 12:00:00;  3,02
05.12.1964 12:00:00;  1,85
10.01.1965 12:00:00;  4,24
01.02.1965 12:00:00;  1,72
28.03.1965 12:00:00;  20,4
01.04.1965 12:00:00;  17,2
11.05.1965 12:00:00;  27,0
05.06.1965 12:00:00;  35,0
31.07.1965 12:00:00;  18,8
01.08.1965 12:00:00;  17,4
20.09.1965 12:00:00;  1,59
01.10.1965 12:00:00;  1,00
30.11.1965 12:00:00;  1,13
17.12.1965 12:00:00;  1,19
30.01.1966 12:00:00;  1,65
02.02.1966 12:00:00;  4,24
01.03.1966 12:00:00;  2,74
18.04.1966 12:00:00;  3,68
30.05.1966 12:00:00;  2,93
25.06.1966 12:00:00;  8,88
24.07.1966 12:00:00;  7,92
27.08.1966 12:00:00;  28,0
13.09.1966 12:00:00;  18,0
15.10.1966 12:00:00;  2,33
10.11.1966 12:00:00;  2,25
27.12.1966 12:00:00;  13,1
31.01.1967 12:00:00;  6,06
01.02.1967 12:00:00;  5,56
17.03.1967 12:00:00;  4,02
07.04.1967 12:00:00;  4,58
31.05.1967 12:00:00;  14,5
09.06.1967 12:00:00;  29,0
04.07.1967 12:00:00;  3,40
05.08.1967 12:00:00;  1,92
13.09.1967 12:00:00;  2,58
08.10.1967 12:00:00;  2,08
05.11.1967 12:00:00;  1,00
25.12.1967 12:00:00;  3,49
16.01.1968 12:00:00;  19,5
14.02.1968 12:00:00;  2,25
17.03.1968 12:00:00;  3,12
01.04.1968 12:00:00;  2,25
14.05.1968 12:00:00;  1,92
02.06.1968 12:00:00;  2,33
29.07.1968 12:00:00;  1,06
18.08.1968 12:00:00;  3,30
05.09.1968 12:00:00;  2,49
15.10.1968 12:00:00;  8,40
01.11.1968 12:00:00;  2,49
02.12.1968 12:00:00;  1,38
27.01.1969 12:00:00;  2,00
23.02.1969 12:00:00;  1,72
21.03.1969 12:00:00;  4,80
05.04.1969 12:00:00;  3,30
02.05.1969 12:00:00;  1,25
07.06.1969 12:00:00;  11,0
05.07.1969 12:00:00;  1,00
29.08.1969 12:00:00; 0,940
17.09.1969 12:00:00;  1,06
20.10.1969 12:00:00; 0,720
24.11.1969 12:00:00;  1,06
01.12.1969 12:00:00; 0,940
17.01.1970 12:00:00;  1,00
23.02.1970 12:00:00;  11,8
26.03.1970 12:00:00;  21,7
02.04.1970 12:00:00;  9,54
02.05.1970 12:00:00;  1,65
02.06.1970 12:00:00;  1,19
23.07.1970 12:00:00; 0,830
10.08.1970 12:00:00;  3,30
10.09.1970 12:00:00;  1,25
09.10.1970 12:00:00;  2,17
23.11.1970 12:00:00;  27,0
01.12.1970 12:00:00;  3,40
27.01.1971 12:00:00;  1,65
10.02.1971 12:00:00;  1,59
15.03.1971 12:00:00;  4,80
25.04.1971 12:00:00;  2,74
25.05.1971 12:00:00;  2,41
19.06.1971 12:00:00;  8,40
27.07.1971 12:00:00;  4,80
24.08.1971 12:00:00;  2,25
30.09.1971 12:00:00;  5,68
01.10.1971 12:00:00;  4,02
15.11.1971 12:00:00;  2,08
22.12.1971 12:00:00;  7,92
05.01.1972 12:00:00;  1,59
20.02.1972 12:00:00;  7,92
06.03.1972 12:00:00;  4,80
23.04.1972 12:00:00;  11,1
21.05.1972 12:00:00;  9,88
16.06.1972 12:00:00;  8,72
14.07.1972 12:00:00;  16,0
02.08.1972 12:00:00;  5,43
29.09.1972 12:00:00;  7,45
02.10.1972 12:00:00;  4,35
25.11.1972 12:00:00;  1,85
07.12.1972 12:00:00;  1,13
31.01.1973 12:00:00;  2,66
08.02.1973 12:00:00;  4,58
25.03.1973 12:00:00;  15,5
23.04.1973 12:00:00;  10,7
07.05.1973 12:00:00;  6,98
29.06.1973 12:00:00;  10,9
31.07.1973 12:00:00;  9,71
29.08.1973 12:00:00;  2,83
26.09.1973 12:00:00;  2,17
12.10.1973 12:00:00;  8,24
24.11.1973 12:00:00;  1,45
09.12.1973 12:00:00;  3,30
19.01.1974 12:00:00;  14,7
21.02.1974 12:00:00;  8,88
11.03.1974 12:00:00;  2,58
17.04.1974 12:00:00;  1,38
16.05.1974 12:00:00;  7,60
14.06.1974 12:00:00;  15,3
14.07.1974 12:00:00;  47,0
03.08.1974 12:00:00;  6,21
09.09.1974 12:00:00;  1,59
17.10.1974 12:00:00;  7,14
28.11.1974 12:00:00;  3,49
09.12.1974 12:00:00;  32,2
02.01.1975 12:00:00;  14,1
01.02.1975 12:00:00;  7,45
06.03.1975 12:00:00;  6,06
18.04.1975 12:00:00;  4,24
15.05.1975 12:00:00;  7,14
30.06.1975 12:00:00;  14,5
10.07.1975 12:00:00;  55,0
05.08.1975 12:00:00;  4,35
04.09.1975 12:00:00;  9,37
04.10.1975 12:00:00;  4,35
14.11.1975 12:00:00;  4,35
31.12.1975 12:00:00;  3,02
12.01.1976 09:30:00;  30,0
02.02.1976 13:45:00;  9,08
01.03.1976 18:45:00;  2,95
16.04.1976 18:00:00;  4,32
23.05.1976 13:15:00;  2,20
04.06.1976 17:30:00;  5,93
27.07.1976 05:30:00;  6,47
21.08.1976 17:30:00;  2,48
21.09.1976 18:45:00;  7,89
17.10.1976 12:15:00;  6,24
15.11.1976 09:00:00;  24,9
03.12.1976 08:00:00;  7,76
26.01.1977 21:45:00;  7,71
09.02.1977 10:45:00;  24,1
04.03.1977 10:15:00;  31,3
14.04.1977 07:00:00;  11,6
13.05.1977 16:15:00;  7,41
07.06.1977 22:15:00;  6,25
01.07.1977 12:15:00; 0,862
20.08.1977 00:00:00;  7,11
09.09.1977 20:00:00;  5,20
11.10.1977 08:00:00;  12,2
12.11.1977 23:15:00;  4,20
24.12.1977 23:15:00;  5,64
01.01.1978 18:00:00;  2,15
28.02.1978 23:45:00;  10,1
01.03.1978 00:00:00;  10,1
21.04.1978 21:15:00;  3,56
16.05.1978 16:15:00;  2,58
02.06.1978 19:30:00;  11,5
10.07.1978 16:15:00;  5,33
18.08.1978 13:45:00;  5,93
14.09.1978 18:45:00;  4,35
02.10.1978 21:15:00;  3,60
06.11.1978 10:30:00;  1,44
12.12.1978 23:00:00;  2,90
03.01.1979 05:30:00;  3,13
16.02.1979 06:30:00;  11,6
12.03.1979 20:15:00;  14,8
06.04.1979 20:15:00;  17,2
01.05.1979 00:00:00;  8,12
19.06.1979 20:30:00;  9,42
04.07.1979 22:45:00;  2,39
04.08.1979 13:00:00;  9,96
25.09.1979 05:00:00;  7,96
01.10.1979 10:45:00;  3,23
29.11.1979 10:00:00;  10,6
12.12.1979 12:30:00;  7,12
16.01.1980 06:00:00;  7,76
06.02.1980 06:45:00;  8,77
29.03.1980 16:00:00;  8,16
29.04.1980 19:45:00;  26,3
01.05.1980 00:00:00;  18,4
25.06.1980 13:15:00;  7,75
23.07.1980 12:00:00;  22,5
05.08.1980 20:00:00;  6,53
30.09.1980 20:30:00;  2,22
13.10.1980 06:45:00;  9,10
10.11.1980 10:15:00;  2,62
24.12.1980 09:45:00;  6,10
04.01.1981 15:45:00;  4,47
09.02.1981 00:01:00;  3,47
10.03.1981 20:15:00;  9,61
14.04.1981 10:00:00;  6,42
23.05.1981 07:15:00;  4,41
05.06.1981 15:30:00;  1,42
21.07.1981 17:45:00;  16,4
28.08.1981 17:15:00;  2,36
30.09.1981 19:00:00;  13,1
01.10.1981 09:15:00;  15,6
28.11.1981 12:15:00;  7,62
09.12.1981 11:15:00;  7,48
31.01.1982 22:15:00;  26,0
01.02.1982 00:45:00;  26,0
27.03.1982 01:15:00;  9,06
02.04.1982 08:45:00;  8,05
29.05.1982 09:45:00;  5,32
01.06.1982 18:15:00;  1,31
26.07.1982 14:00:00; 0,988
11.08.1982 16:30:00;  4,64
21.09.1982 10:45:00;  2,87
16.10.1982 08:30:00;  2,40
09.11.1982 17:15:00;  2,19
01.12.1982 07:00:00;  3,65
18.01.1983 10:00:00;  9,92
01.02.1983 19:00:00;  4,98
08.03.1983 15:15:00;  8,54
03.04.1983 07:15:00;  22,5
09.05.1983 21:00:00;  7,05
28.06.1983 02:15:00;  29,6
08.07.1983 09:45:00;  3,83
06.08.1983 20:45:00;  2,07
29.09.1983 06:30:00;  4,62
08.10.1983 00:30:00;  1,75
29.11.1983 20:45:00;  1,22
25.12.1983 11:30:00;  1,85
12.01.1984 06:30:00;  1,54
07.02.1984 09:30:00;  1,86
31.03.1984 21:00:00;  2,92
12.04.1984 18:15:00;  11,2
14.05.1984 04:45:00;  7,33
22.06.1984 16:45:00;  1,22
14.07.1984 16:00:00;  9,19
12.08.1984 15:15:00;  1,98
17.09.1984 08:00:00;  9,13
22.10.1984 18:00:00;  5,55
24.11.1984 23:45:00;  2,34
13.12.1984 12:00:00;  1,61
01.01.1985 00:00:00; 0,917
02.02.1985 00:01:00;  6,28
22.03.1985 22:30:00;  20,4
07.04.1985 10:15:00;  9,29
19.05.1985 22:00:00;  13,6
23.06.1985 14:00:00;  12,5
16.07.1985 08:00:00;  3,66
07.08.1985 07:15:00;  24,2
09.09.1985 22:15:00;  4,12
28.10.1985 09:45:00;  2,06
28.11.1985 06:15:00;  1,94
18.12.1985 11:00:00;  19,8
20.01.1986 08:15:00;  13,2
24.02.1986 06:15:00;  5,63
10.03.1986 22:45:00;  16,8
01.04.1986 18:00:00;  4,25
14.05.1986 19:45:00;  16,5
13.06.1986 12:30:00;  16,4
06.07.1986 17:15:00;  10,3
29.08.1986 05:00:00;  1,30
11.09.1986 07:45:00;  3,78
16.10.1986 06:15:00;  1,81
12.11.1986 17:45:00;  3,07
31.12.1986 09:15:00;  10,2
02.01.1987 07:45:00;  11,0
28.02.1987 23:59:55;  11,5
27.03.1987 08:00:00;  26,8
05.04.1987 19:15:00;  17,3
23.05.1987 09:15:00;  18,3
05.06.1987 07:45:00;  14,0
02.07.1987 02:00:00;  31,9
15.08.1987 12:15:00;  7,60
26.09.1987 11:45:00;  4,79
13.10.1987 10:45:00;  4,79
21.11.1987 23:15:00;  2,97
19.12.1987 16:45:00;  14,2
01.01.1988 00:00:00;  2,96
01.02.1988 10:15:00;  2,97
26.03.1988 01:30:00;  28,6
01.04.1988 13:30:00;  16,0
14.05.1988 08:00:00;  5,69
06.06.1988 11:30:00;  9,28
05.07.1988 16:30:00;  1,36
04.08.1988 01:45:00; 0,929
30.09.1988 21:30:00;  1,49
01.10.1988 16:45:00;  2,60
16.11.1988 07:30:00;  1,85
12.12.1988 11:00:00;  7,76
09.01.1989 08:45:00;  7,93
27.02.1989 08:15:00;  4,26
24.03.1989 11:15:00;  7,60
30.04.1989 23:59:55;  2,79
01.05.1989 18:15:00;  11,9
28.06.1989 03:15:00;  23,6
28.07.1989 10:15:00;  7,93
15.08.1989 01:15:00;  5,15
05.09.1989 10:00:00;  3,06
09.10.1989 06:00:00;  2,33
28.11.1989 07:30:00;  1,36
16.12.1989 13:45:00;  5,15
18.01.1990 06:45:00;  1,42
27.02.1990 12:30:00;  6,32
01.03.1990 15:00:00;  6,74
26.04.1990 05:15:00;  5,53
25.05.1990 17:15:00;  3,88
23.06.1990 11:30:00;  4,55
26.07.1990 10:30:00;  2,17
13.08.1990 13:15:00;  1,78
28.09.1990 05:15:00;  2,09
02.10.1990 06:15:00;  2,33
28.11.1990 07:00:00;  2,17
31.12.1990 11:15:00;  2,87
04.01.1991 06:45:00;  2,77
25.02.1991 02:30:00;  1,63
21.03.1991 09:45:00;  2,42
09.04.1991 13:30:00;  5,92
18.05.1991 19:15:00;  11,1
16.06.1991 20:45:00;  6,18
17.07.1991 15:30:00;  4,21
03.08.1991 09:15:00;  17,1
23.09.1991 15:30:00;  2,51
15.10.1991 17:45:00;  2,09
19.11.1991 06:00:00;  1,70
20.12.1991 13:30:00;  8,91
07.01.1992 16:45:00;  9,93
07.02.1992 07:30:00;  8,42
21.03.1992 09:45:00;  10,6
01.04.1992 05:00:00;  4,91
05.05.1992 05:15:00;  1,63
13.06.1992 03:30:00;  7,76
04.07.1992 18:30:00;  6,87
22.08.1992 09:00:00;  1,42
30.09.1992 06:00:00;  3,56
01.10.1992 06:00:00;  2,69
23.11.1992 17:45:00;  6,18
12.12.1992 20:45:00;  3,36
08.01.1993 00:01:00;  5,53
01.02.1993 00:01:00;  2,77
18.03.1993 09:00:00;  22,5
01.04.1993 10:00:00;  4,79
04.05.1993 11:15:00;  2,60
12.06.1993 09:45:00;  5,28
17.07.1993 16:30:00;  3,77
25.08.1993 04:45:00; 0,903
26.09.1993 16:45:00;  3,56
24.10.1993 14:15:00;  4,10
08.11.1993 07:00:00;  1,85
21.12.1993 23:00:00;  13,7
01.01.1994 10:00:00;  4,01
04.02.1994 06:45:00;  2,34
26.03.1994 21:45:00;  3,07
18.04.1994 11:45:00;  15,2
27.05.1994 03:45:00;  2,78
06.06.1994 11:00:00;  2,34
07.07.1994 16:30:00;  2,25
24.08.1994 07:00:00;  1,05
28.09.1994 10:30:00; 0,696
07.10.1994 18:45:00;  2,87
04.11.1994 09:30:00; 0,946
28.12.1994 14:45:00;  1,56
28.01.1995 07:45:00;  3,27
14.02.1995 20:45:00;  2,17
08.03.1995 08:15:00;  2,87
02.04.1995 10:00:00;  6,14
14.05.1995 12:00:00;  12,4
06.06.1995 23:15:00;  2,69
05.07.1995 06:45:00;  1,36
25.08.1995 13:45:00;  2,25
16.09.1995 07:00:00;  11,7
02.10.1995 11:15:00;  4,47
18.11.1995 11:30:00;  8,77
25.12.1995 10:30:00;  12,6
01.01.1996 00:00:00;  4,35
12.02.1996 07:45:00;  3,01
25.03.1996 07:00:00;  13,0
08.04.1996 20:00:00;  23,1
14.05.1996 09:00:00;  31,1
02.06.1996 00:00:00;  12,8
09.07.1996 08:30:00;  9,31
03.08.1996 23:00:00;  2,63
25.09.1996 09:45:00;  4,71
