Messstelle:                ;Matzleinsdorf
HZB-Nummer:                ;207837
HD-Nummer:                 ;no145
DBMS-Nummer:               ;3001023
Gewässer:                  ;Melk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;284,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00211,57
   01.01.1977              ;00211,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;671605,40 - 341088,00
   01.01.1927              ;671619,40 - 341097,00
Exportzeitreihe:           ;(3001023,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[19.01.1951 12:00,01.01.2022 00:00]
Werte:
19.01.1951 12:00:00;  19,3
04.02.1951 12:00:00;  3,65
30.03.1951 12:00:00;  3,87
04.04.1951 12:00:00;  3,43
11.05.1951 12:00:00;   230
08.06.1951 12:00:00;  27,6
17.07.1951 12:00:00;  29,4
27.08.1951 12:00:00;  6,80
01.09.1951 12:00:00;  2,84
04.10.1951 12:00:00;  1,85
05.11.1951 12:00:00;  3,00
11.12.1951 12:00:00;  5,40
01.01.1952 12:00:00;  3,87
29.02.1952 12:00:00;  25,5
16.03.1952 12:00:00;  35,0
01.04.1952 12:00:00;  2,84
28.05.1952 12:00:00;  9,12
28.06.1952 12:00:00;  6,80
07.07.1952 12:00:00;  2,34
06.08.1952 12:00:00; 0,620
10.09.1952 12:00:00;  4,30
27.10.1952 12:00:00;  4,30
11.11.1952 12:00:00;  5,68
08.12.1952 12:00:00;  1,35
31.01.1953 12:00:00;  24,3
01.02.1953 12:00:00;  10,7
04.03.1953 12:00:00;  2,34
08.04.1953 12:00:00;  1,35
02.05.1953 12:00:00;  1,23
13.06.1953 12:00:00;   115
10.07.1953 12:00:00;  8,20
05.08.1953 12:00:00;  3,43
03.09.1953 12:00:00;  1,85
31.10.1953 12:00:00;  1,68
02.11.1953 12:00:00;  1,35
03.12.1953 12:00:00; 0,980
17.01.1954 12:00:00;  20,5
16.02.1954 12:00:00;  1,68
03.03.1954 12:00:00;  2,34
04.04.1954 12:00:00;  31,6
06.05.1954 12:00:00;   140
17.06.1954 12:00:00;  7,36
08.07.1954 12:00:00;  36,2
08.08.1954 12:00:00;  2,18
11.09.1954 12:00:00;  2,01
07.10.1954 12:00:00;  5,40
14.11.1954 12:00:00;  1,85
28.12.1954 12:00:00;  41,0
13.01.1955 12:00:00;  23,0
27.02.1955 12:00:00;  2,84
24.03.1955 12:00:00;  5,96
21.04.1955 12:00:00;  32,1
01.05.1955 12:00:00;  5,96
28.06.1955 12:00:00;  57,0
08.07.1955 12:00:00;  52,3
10.08.1955 12:00:00;  51,2
12.09.1955 12:00:00;  2,84
03.10.1955 12:00:00;  3,22
30.11.1955 12:00:00;  3,43
29.12.1955 12:00:00;  8,81
01.01.1956 12:00:00;  3,65
29.02.1956 12:00:00;  3,43
03.03.1956 12:00:00;   134
30.04.1956 12:00:00;   180
01.05.1956 12:00:00;   180
23.06.1956 12:00:00;  10,7
14.07.1956 12:00:00;  7,64
21.08.1956 12:00:00;  3,00
30.09.1956 12:00:00;  4,85
02.10.1956 12:00:00;  5,13
10.11.1956 12:00:00;  5,13
30.12.1956 12:00:00;  5,40
31.01.1957 12:00:00;  5,68
26.02.1957 12:00:00;  39,1
31.03.1957 12:00:00;  10,7
08.04.1957 12:00:00;  11,3
01.05.1957 12:00:00;  3,00
02.06.1957 12:00:00;  2,34
17.07.1957 12:00:00;  74,0
28.08.1957 12:00:00;  4,30
19.09.1957 12:00:00;  5,13
03.10.1957 12:00:00;  1,11
13.11.1957 12:00:00;  11,6
09.12.1957 12:00:00;  39,6
07.01.1958 12:00:00;  7,36
06.02.1958 12:00:00;  44,0
29.03.1958 12:00:00;  19,7
01.04.1958 12:00:00;  9,12
02.05.1958 12:00:00;  3,22
29.06.1958 12:00:00;  22,6
01.07.1958 12:00:00;  7,92
08.08.1958 12:00:00;  5,40
26.09.1958 12:00:00;  4,08
22.10.1958 12:00:00;  14,9
16.11.1958 12:00:00;  29,4
30.12.1958 12:00:00;  15,3
01.01.1959 12:00:00;  9,74
28.02.1959 12:00:00;  4,30
08.03.1959 12:00:00;  22,2
19.04.1959 12:00:00;  25,5
03.05.1959 12:00:00;  9,43
14.06.1959 12:00:00;   142
21.07.1959 12:00:00;   420
13.08.1959 12:00:00;  88,3
01.09.1959 12:00:00;  3,87
30.10.1959 12:00:00;  1,35
10.11.1959 12:00:00;  9,12
22.12.1959 12:00:00;  17,7
09.01.1960 12:00:00;  14,9
27.02.1960 12:00:00;  17,3
17.03.1960 12:00:00;  45,0
27.04.1960 12:00:00;  12,9
23.05.1960 12:00:00;  12,5
11.06.1960 12:00:00;  3,22
24.07.1960 12:00:00;  5,68
20.08.1960 12:00:00;  8,20
06.09.1960 12:00:00;  8,81
18.10.1960 12:00:00;  8,51
30.11.1960 12:00:00;  3,00
01.12.1960 12:00:00;  3,00
31.01.1961 12:00:00;  7,92
09.02.1961 12:00:00;  36,2
04.03.1961 12:00:00;  5,40
30.04.1961 12:00:00;  7,36
23.05.1961 12:00:00;  21,4
03.06.1961 12:00:00;   140
15.07.1961 12:00:00;  1,68
13.08.1961 12:00:00;  1,95
08.09.1961 12:00:00; 0,960
21.10.1961 12:00:00; 0,880
11.11.1961 12:00:00;  1,95
13.12.1961 12:00:00;  30,8
27.01.1962 12:00:00;  5,80
14.02.1962 12:00:00;  14,5
25.03.1962 12:00:00;  3,94
08.04.1962 12:00:00;  4,48
24.05.1962 12:00:00;  6,60
01.06.1962 12:00:00;  5,40
23.07.1962 12:00:00;  5,80
01.08.1962 12:00:00;  1,12
24.09.1962 12:00:00;  1,80
31.10.1962 12:00:00;  1,56
02.11.1962 12:00:00;  4,66
16.12.1962 12:00:00;  12,3
07.01.1963 12:00:00;  1,32
12.02.1963 12:00:00;  1,95
13.03.1963 12:00:00;  29,0
01.04.1963 12:00:00;  6,00
04.05.1963 12:00:00;  6,20
26.06.1963 12:00:00;  7,86
02.07.1963 12:00:00;  3,40
31.08.1963 12:00:00;  2,40
10.09.1963 12:00:00;  5,40
09.10.1963 12:00:00;  3,06
18.11.1963 12:00:00;  1,68
27.12.1963 12:00:00; 0,880
27.01.1964 12:00:00;  2,10
03.02.1964 12:00:00;  8,96
22.03.1964 12:00:00;  15,5
05.04.1964 12:00:00;  12,8
02.05.1964 12:00:00;  13,9
09.06.1964 12:00:00;  2,40
12.07.1964 12:00:00;  1,95
14.08.1964 12:00:00;  2,25
09.09.1964 12:00:00;  1,80
20.10.1964 12:00:00;  11,8
18.11.1964 12:00:00;  12,6
08.12.1964 12:00:00;  3,40
10.01.1965 12:00:00;  17,6
02.02.1965 12:00:00;  6,60
31.03.1965 12:00:00;  33,2
23.04.1965 12:00:00;  34,5
11.05.1965 12:00:00;  46,4
10.06.1965 12:00:00;  38,3
27.07.1965 12:00:00;  12,3
25.08.1965 12:00:00;  91,0
01.09.1965 12:00:00;  4,88
06.10.1965 12:00:00;  1,42
22.11.1965 12:00:00;  2,04
18.12.1965 12:00:00;  12,8
29.01.1966 12:00:00;  6,60
07.02.1966 12:00:00;  20,9
19.03.1966 12:00:00;  9,88
26.04.1966 12:00:00;  8,96
01.05.1966 12:00:00;  2,85
29.06.1966 12:00:00;  4,16
25.07.1966 12:00:00;   160
19.08.1966 12:00:00;  24,4
14.09.1966 12:00:00;  14,4
18.10.1966 12:00:00;  3,58
20.11.1966 12:00:00;  5,20
20.12.1966 12:00:00;  47,3
15.01.1967 12:00:00;  23,8
22.02.1967 12:00:00;  13,4
20.03.1967 12:00:00;  13,1
06.04.1967 12:00:00;  9,28
31.05.1967 12:00:00;  39,6
01.06.1967 12:00:00;  41,0
10.07.1967 12:00:00;  28,0
