Messstelle:                ;Stixenstein (Schloß)
HZB-Nummer:                ;208736
HD-Nummer:                 ;no695
DBMS-Nummer:               ;3001100
Gewässer:                  ;Sierning
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;89,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00459,39
   01.01.2000              ;00459,78
   01.01.2009              ;00459,73
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;723550,00 - 289539,00
   01.01.1986              ;723550,00 - 289539,00
Exportzeitreihe:           ;(3001100,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 12:00,01.01.2022 00:00]
Werte:
01.01.1951 12:00:00;  1,92
17.02.1951 12:00:00;  2,20
20.03.1951 12:00:00;  4,44
02.04.1951 12:00:00;  3,64
11.05.1951 12:00:00;  17,0
08.06.1951 12:00:00;  4,68
17.07.1951 12:00:00;  3,02
17.08.1951 12:00:00;  3,40
19.09.1951 12:00:00; 0,800
17.10.1951 12:00:00; 0,650
25.11.1951 12:00:00; 0,800
18.12.1951 12:00:00;  1,15
20.01.1952 12:00:00; 0,650
28.02.1952 12:00:00;  1,15
23.03.1952 12:00:00;  10,5
02.04.1952 12:00:00;  5,14
26.05.1952 12:00:00;  5,60
26.06.1952 12:00:00;  7,60
01.07.1952 12:00:00;  2,36
04.08.1952 12:00:00;  1,25
06.09.1952 12:00:00;  1,35
31.10.1952 12:00:00; 0,800
04.11.1952 12:00:00; 0,960
02.12.1952 12:00:00; 0,590
29.01.1953 12:00:00;  1,45
26.02.1953 12:00:00; 0,960
05.03.1953 12:00:00;  1,56
11.04.1953 12:00:00;  4,22
06.05.1953 12:00:00;  1,67
18.06.1953 12:00:00;  4,50
04.07.1953 12:00:00;  3,40
04.08.1953 12:00:00;  2,67
02.09.1953 12:00:00;  1,35
31.10.1953 12:00:00; 0,960
07.11.1953 12:00:00; 0,800
22.12.1953 12:00:00; 0,650
21.01.1954 12:00:00;  7,10
24.02.1954 12:00:00; 0,960
24.03.1954 12:00:00;  1,15
04.04.1954 12:00:00;  9,82
06.05.1954 12:00:00;  15,0
05.06.1954 12:00:00;  11,6
08.07.1954 12:00:00;  6,10
02.08.1954 12:00:00;  1,35
21.09.1954 12:00:00; 0,960
08.10.1954 12:00:00;  1,80
11.11.1954 12:00:00;  2,67
28.12.1954 12:00:00;  8,15
01.01.1955 12:00:00;  3,40
09.02.1955 12:00:00;  1,15
26.03.1955 12:00:00;  2,67
12.04.1955 12:00:00;  5,14
17.05.1955 12:00:00;  3,02
28.06.1955 12:00:00;  3,02
10.07.1955 12:00:00;  8,70
10.08.1955 12:00:00;  3,80
15.09.1955 12:00:00;  1,80
29.10.1955 12:00:00;  1,80
01.11.1955 12:00:00;  1,35
04.12.1955 12:00:00;  1,80
03.01.1956 12:00:00;  1,35
07.02.1956 12:00:00; 0,650
03.03.1956 12:00:00;  11,0
30.04.1956 12:00:00;  3,40
01.05.1956 12:00:00;  10,4
15.06.1956 12:00:00;  2,67
25.07.1956 12:00:00;  1,15
23.08.1956 12:00:00;  1,05
03.09.1956 12:00:00; 0,530
29.10.1956 12:00:00;  1,05
08.11.1956 12:00:00;  3,40
08.12.1956 12:00:00;  5,60
10.01.1957 12:00:00;  1,35
02.02.1957 12:00:00;  3,02
02.03.1957 12:00:00;  1,80
20.04.1957 12:00:00;  3,02
11.05.1957 12:00:00;  1,35
19.06.1957 12:00:00; 0,800
24.07.1957 12:00:00;  5,14
17.08.1957 12:00:00;  5,60
19.09.1957 12:00:00;  1,80
03.10.1957 12:00:00;  1,15
12.11.1957 12:00:00;  3,02
09.12.1957 12:00:00;  1,80
16.01.1958 12:00:00; 0,960
17.02.1958 12:00:00;  4,70
31.03.1958 12:00:00;  3,80
06.04.1958 12:00:00;  3,40
05.05.1958 12:00:00;  1,67
29.06.1958 12:00:00;  3,40
03.07.1958 12:00:00;  3,40
08.08.1958 12:00:00;  3,40
23.09.1958 12:00:00;  1,80
18.10.1958 12:00:00;  3,40
16.11.1958 12:00:00;  2,67
29.12.1958 12:00:00;  3,80
01.01.1959 12:00:00;  2,67
26.02.1959 12:00:00; 0,960
08.03.1959 12:00:00;  1,56
20.04.1959 12:00:00;  4,22
01.05.1959 12:00:00;  2,67
13.06.1959 12:00:00;  6,60
01.07.1959 12:00:00;  3,02
13.08.1959 12:00:00;  4,22
08.09.1959 12:00:00; 0,960
03.10.1959 12:00:00; 0,800
10.11.1959 12:00:00; 0,590
31.12.1959 12:00:00; 0,800
31.01.1960 12:00:00; 0,800
29.02.1960 12:00:00;  1,15
17.03.1960 12:00:00;  1,15
30.04.1960 12:00:00;  1,35
23.05.1960 12:00:00;  2,07
10.06.1960 12:00:00;  1,56
25.07.1960 12:00:00;  2,10
20.08.1960 12:00:00;  1,80
30.09.1960 12:00:00;  1,80
02.10.1960 12:00:00;  1,56
14.11.1960 12:00:00; 0,960
19.12.1960 12:00:00; 0,800
01.01.1976 00:00:00; Lücke
13.01.1976 08:00:00;  7,80
01.02.1976 00:00:00;  2,15
02.02.1976 00:00:05;  1,82
01.03.1976 00:00:00;  1,51
25.04.1976 08:00:00;  1,71
01.05.1976 02:00:00;  1,42
01.06.1976 00:00:00;  1,11
25.07.1976 10:00:00; 0,697
31.08.1976 08:00:00;  1,12
18.09.1976 08:00:00;  1,34
01.10.1976 00:00:00; 0,832
30.11.1976 08:00:00; 0,995
02.12.1976 08:00:00;  2,15
31.01.1977 23:59:55;  1,06
09.02.1977 10:00:00;  1,61
04.03.1977 08:00:00;  7,80
14.04.1977 08:00:00;  2,15
01.05.1977 00:00:00;  1,52
22.06.1977 08:00:00;  1,05
21.07.1977 08:00:00;  1,34
01.08.1977 02:00:00;  1,34
16.09.1977 10:00:00; 0,737
02.10.1977 08:00:00; 0,697
13.11.1977 10:00:00; 0,514
25.12.1977 08:00:00; 0,882
01.01.1978 00:00:00; 0,658
27.02.1978 08:00:00; 0,938
01.03.1978 02:00:00; 0,938
20.04.1978 08:00:00; 0,737
29.05.1978 20:00:00;  1,52
24.06.1978 20:00:00;  2,98
05.07.1978 08:00:00;  1,05
08.08.1978 10:00:00; 0,618
01.09.1978 00:00:00; 0,618
01.10.1978 02:00:00; 0,658
01.11.1978 00:00:00; 0,543
08.12.1978 08:00:00;  1,52
28.01.1979 08:00:00; 0,578
15.02.1979 08:00:00; 0,658
14.03.1979 08:00:00;  1,61
11.04.1979 10:00:00;  1,34
01.05.1979 02:00:00;  1,52
21.06.1979 08:00:00;  1,42
09.07.1979 10:00:00;  1,18
01.08.1979 00:00:00; 0,882
05.09.1979 10:00:00; 0,658
01.10.1979 00:00:00; 0,546
28.11.1979 08:00:00;  1,34
01.12.1979 00:00:00;  1,18
07.01.1980 18:00:00; 0,819
