Messstelle:                ;Dietlgut
HZB-Nummer:                ;205765
HD-Nummer:                 ;8210
DBMS-Nummer:               ;4001119
Gewässer:                  ;Steyr
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1952              ;00650,00
   01.01.1990              ;00642,78
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;508249,00 - 281377,00
   01.01.2018              ;508246,77 - 281365,30
Exportzeitreihe:           ;(4001119,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.01.1951 12:00,01.01.2022 00:00]
Werte:
10.01.1951 12:00:00; 0,400
17.02.1951 12:00:00; 0,610
23.03.1951 12:00:00;  1,53
28.04.1951 12:00:00;  2,55
25.05.1951 12:00:00;  8,00
09.06.1951 12:00:00;  5,02
27.07.1951 12:00:00;  5,29
17.08.1951 12:00:00;  1,53
27.09.1951 12:00:00;  1,31
02.10.1951 12:00:00; 0,610
25.11.1951 12:00:00;  1,11
19.12.1951 12:00:00; 0,610
14.01.1952 12:00:00; 0,240
28.02.1952 12:00:00; 0,310
30.03.1952 12:00:00;  2,65
19.04.1952 12:00:00;  5,70
17.05.1952 12:00:00;  6,70
26.06.1952 12:00:00;  15,0
15.07.1952 12:00:00;  7,30
22.08.1952 12:00:00;  2,65
01.09.1952 12:00:00;  3,25
24.10.1952 12:00:00;  3,65
20.11.1952 12:00:00;  1,70
02.12.1952 12:00:00;  1,57
29.01.1953 12:00:00; 0,570
28.02.1953 12:00:00; 0,520
31.03.1953 12:00:00;  1,44
28.04.1953 12:00:00;  2,46
28.05.1953 12:00:00;  5,70
26.06.1953 12:00:00;  7,10
09.07.1953 12:00:00;  19,0
22.08.1953 12:00:00;  6,12
21.09.1953 12:00:00;  2,65
05.10.1953 12:00:00;  1,09
13.11.1953 12:00:00; 0,330
22.12.1953 12:00:00; 0,190
21.01.1954 12:00:00;  3,39
18.02.1954 12:00:00; 0,390
22.03.1954 12:00:00;  1,09
04.04.1954 12:00:00;  4,57
19.05.1954 12:00:00;  5,30
07.06.1954 12:00:00;  5,50
19.07.1954 12:00:00;  7,08
11.08.1954 12:00:00;  3,39
29.09.1954 12:00:00;  3,16
02.10.1954 12:00:00;  8,16
10.11.1954 12:00:00;  1,65
30.12.1954 12:00:00;  1,09
01.01.1955 12:00:00; 0,860
07.02.1955 12:00:00; 0,500
28.03.1955 12:00:00;  3,16
30.04.1955 12:00:00;  4,09
07.05.1955 12:00:00;  5,05
21.06.1955 12:00:00;  12,0
23.07.1955 12:00:00;  7,34
04.08.1955 12:00:00;  5,05
07.09.1955 12:00:00;  2,70
11.10.1955 12:00:00;  1,37
01.11.1955 12:00:00; 0,770
28.12.1955 12:00:00;  4,09
01.01.1956 12:00:00; 0,860
02.02.1956 12:00:00; 0,280
03.03.1956 12:00:00;  3,85
18.04.1956 12:00:00;  2,70
21.05.1956 12:00:00;  9,00
15.06.1956 12:00:00;  9,80
25.07.1956 12:00:00;  9,80
25.08.1956 12:00:00;  8,00
13.09.1956 12:00:00;  5,80
19.10.1956 12:00:00;  5,50
28.11.1956 12:00:00;  1,81
08.12.1956 12:00:00;  3,55
07.01.1957 12:00:00;  2,35
02.02.1957 12:00:00;  2,17
31.03.1957 12:00:00;  2,35
30.04.1957 12:00:00;  3,77
24.05.1957 12:00:00;  4,85
14.06.1957 12:00:00;  9,00
23.07.1957 12:00:00;  14,2
19.08.1957 12:00:00;  4,31
18.09.1957 12:00:00;  8,44
01.10.1957 12:00:00;  1,45
14.11.1957 12:00:00; 0,480
09.12.1957 12:00:00; 0,800
07.01.1958 12:00:00; 0,320
16.02.1958 12:00:00;  4,85
31.03.1958 12:00:00;  1,32
26.04.1958 12:00:00;  2,35
31.05.1958 12:00:00;  7,04
28.06.1958 12:00:00;  10,4
01.07.1958 12:00:00;  7,04
27.08.1958 12:00:00;  3,50
22.09.1958 12:00:00;  6,20
15.10.1958 12:00:00;  12,0
02.11.1958 12:00:00;  2,35
29.12.1958 12:00:00;  1,45
01.01.1959 12:00:00; 0,800
28.02.1959 12:00:00; 0,360
31.03.1959 12:00:00;  2,58
19.04.1959 12:00:00;  5,39
24.05.1959 12:00:00;  5,93
14.06.1959 12:00:00;  10,7
21.07.1959 12:00:00;  13,2
13.08.1959 12:00:00;  15,0
25.09.1959 12:00:00;  2,52
29.10.1959 12:00:00; 0,680
26.11.1959 12:00:00; 0,580
31.12.1959 12:00:00; 0,870
03.01.1960 12:00:00; 0,680
29.02.1960 12:00:00;  1,18
01.03.1960 12:00:00;  1,68
14.04.1960 12:00:00;  2,02
18.05.1960 12:00:00;  7,04
01.06.1960 12:00:00;  9,00
26.07.1960 12:00:00;  16,0
13.08.1960 12:00:00;  11,2
05.09.1960 12:00:00;  3,58
12.10.1960 12:00:00;  2,18
01.11.1960 12:00:00; 0,960
02.12.1960 12:00:00; 0,580
07.01.1961 12:00:00; 0,410
27.02.1961 12:00:00; 0,950
21.03.1961 12:00:00;  2,28
16.04.1961 12:00:00;  4,09
09.05.1961 12:00:00;  4,57
22.06.1961 12:00:00;  5,05
04.07.1961 12:00:00;  6,40
18.08.1961 12:00:00;  8,00
15.09.1961 12:00:00;  1,32
02.10.1961 12:00:00; 0,800
13.11.1961 12:00:00; 0,930
12.12.1961 12:00:00;  15,0
01.01.1962 12:00:00; 0,720
14.02.1962 12:00:00; 0,930
31.03.1962 12:00:00;  1,06
27.04.1962 12:00:00;  6,20
08.05.1962 12:00:00;  10,0
15.06.1962 12:00:00;  7,04
03.07.1962 12:00:00;  5,66
18.08.1962 12:00:00;  4,85
10.09.1962 12:00:00;  1,68
07.10.1962 12:00:00;  1,06
08.11.1962 12:00:00;  1,06
22.12.1962 12:00:00; 0,960
06.01.1963 12:00:00; 0,410
14.02.1963 12:00:00; 0,240
31.03.1963 12:00:00; 0,770
22.04.1963 12:00:00;  3,58
15.05.1963 12:00:00;  4,34
21.06.1963 12:00:00;  16,0
03.07.1963 12:00:00;  2,83
24.08.1963 12:00:00;  4,09
27.09.1963 12:00:00;  4,90
08.10.1963 12:00:00;  2,35
22.11.1963 12:00:00;  1,19
04.12.1963 12:00:00; 0,400
