Messstelle:                ;Oberwart (Landeshauptstraße L382)
HZB-Nummer:                ;210229
HD-Nummer:                 ;
DBMS-Nummer:               ;1001020
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;171,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00302,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;741450,00 - 237600,00
   05.10.2018              ;741414,31 - 237650,64
Exportzeitreihe:           ;(1001020,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[13.01.1951 12:00,01.01.2022 00:00]
Werte:
13.01.1951 12:00:00;  1,64
17.02.1951 12:00:00;  4,33
13.03.1951 12:00:00;  3,08
01.04.1951 12:00:00;  8,96
11.05.1951 12:00:00;  7,85
05.06.1951 12:00:00;  12,2
17.07.1951 12:00:00;  3,94
18.08.1951 12:00:00;  1,26
19.09.1951 12:00:00; 0,990
25.10.1951 12:00:00; 0,810
02.11.1951 12:00:00;  4,13
27.12.1951 12:00:00;  1,08
23.01.1952 12:00:00;  1,08
29.02.1952 12:00:00;  1,73
31.03.1952 12:00:00;  2,31
01.04.1952 12:00:00;  2,50
11.05.1952 12:00:00;  3,12
24.06.1952 12:00:00;  4,20
01.07.1952 12:00:00;  1,13
22.08.1952 12:00:00; 0,950
13.09.1952 12:00:00;  1,04
27.10.1952 12:00:00;  2,07
18.11.1952 12:00:00; 0,860
16.12.1952 12:00:00;  1,04
02.01.1953 12:00:00;  2,16
23.02.1953 12:00:00; 0,950
20.03.1953 12:00:00; 0,860
28.04.1953 12:00:00;  1,41
23.05.1953 12:00:00; 0,950
09.06.1953 12:00:00;  7,11
28.07.1953 12:00:00;  13,9
04.08.1953 12:00:00;  3,51
11.09.1953 12:00:00;  1,68
31.10.1953 12:00:00;  1,78
04.11.1953 12:00:00;  1,50
07.12.1953 12:00:00; 0,860
16.01.1954 12:00:00;  1,41
27.02.1954 12:00:00;  1,22
21.03.1954 12:00:00;  2,74
07.04.1954 12:00:00;  1,97
06.05.1954 12:00:00;  13,7
17.06.1954 12:00:00;  15,1
08.07.1954 12:00:00;  14,7
16.08.1954 12:00:00;  1,97
22.09.1954 12:00:00;  1,97
26.10.1954 12:00:00;  1,97
11.11.1954 12:00:00;  9,79
12.12.1954 12:00:00;  5,77
22.01.1955 12:00:00;  1,59
19.02.1955 12:00:00;  1,78
26.03.1955 12:00:00;  4,92
24.04.1955 12:00:00;  2,64
16.05.1955 12:00:00;  3,31
08.06.1955 12:00:00;  8,04
04.07.1955 12:00:00;  14,7
09.08.1955 12:00:00;  2,55
15.09.1955 12:00:00;  2,74
19.10.1955 12:00:00;  3,37
12.11.1955 12:00:00;  2,79
31.12.1955 12:00:00;  1,35
31.01.1956 12:00:00;  1,35
01.02.1956 12:00:00;  1,64
04.03.1956 12:00:00;  6,19
30.04.1956 12:00:00;  10,8
25.05.1956 12:00:00;  15,2
09.06.1956 12:00:00;  2,41
21.07.1956 12:00:00;  8,21
05.08.1956 12:00:00;  2,41
16.09.1956 12:00:00;  1,35
27.10.1956 12:00:00;  1,45
17.11.1956 12:00:00;  1,45
28.12.1956 12:00:00;  1,73
30.01.1957 12:00:00;  1,17
20.02.1957 12:00:00;  2,50
31.03.1957 12:00:00;  3,27
12.04.1957 12:00:00;  3,56
08.05.1957 12:00:00;  1,45
06.06.1957 12:00:00;  1,54
28.07.1957 12:00:00;  12,3
01.08.1957 12:00:00;  2,31
15.09.1957 12:00:00;  3,56
04.10.1957 12:00:00;  1,26
09.11.1957 12:00:00;  2,12
03.12.1957 12:00:00;  1,26
30.01.1958 12:00:00;  1,91
27.02.1958 12:00:00;  1,45
31.03.1958 12:00:00;  2,27
