Messstelle:                ;Lech (Tannbergbrücke)
HZB-Nummer:                ;200378
HD-Nummer:                 ;
DBMS-Nummer:               ;8001037
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;84,39
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01437,48
   01.01.1996              ;01437,49
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1942              ;135436,00 - 229883,00
Exportzeitreihe:           ;(8001037,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1951 12:00,01.01.2022 00:00]
Werte:
22.01.1951 12:00:00;  1,50
08.02.1951 12:00:00; 0,950
19.03.1951 12:00:00;  2,40
26.04.1951 12:00:00;  8,89
27.05.1951 12:00:00;  30,0
13.06.1951 12:00:00;  26,6
24.07.1951 12:00:00;  19,4
08.08.1951 12:00:00;  18,9
04.09.1951 12:00:00;  7,00
02.10.1951 12:00:00;  2,40
26.11.1951 12:00:00;  5,08
01.12.1951 12:00:00;  1,86
14.01.1952 12:00:00;  1,04
29.02.1952 12:00:00; 0,900
31.03.1952 12:00:00;  5,08
21.04.1952 12:00:00;  17,4
03.05.1952 12:00:00;  21,5
07.06.1952 12:00:00;  22,0
15.07.1952 12:00:00;  21,5
20.08.1952 12:00:00;  15,9
06.09.1952 12:00:00;  21,0
24.10.1952 12:00:00;  14,9
26.11.1952 12:00:00;  7,89
02.12.1952 12:00:00;  6,73
24.01.1953 12:00:00;  1,68
28.02.1953 12:00:00;  1,68
30.03.1953 12:00:00;  7,89
26.04.1953 12:00:00;  14,5
20.05.1953 12:00:00;  31,0
10.06.1953 12:00:00;  24,3
02.07.1953 12:00:00;  22,6
01.08.1953 12:00:00;  21,0
25.09.1953 12:00:00;  9,90
05.10.1953 12:00:00;  5,63
10.11.1953 12:00:00;  1,68
31.12.1953 12:00:00; 0,900
22.01.1954 12:00:00;  1,22
14.02.1954 12:00:00; 0,840
31.03.1954 12:00:00;  3,02
05.04.1954 12:00:00;  8,80
12.05.1954 12:00:00;  21,5
09.06.1954 12:00:00;  20,4
02.07.1954 12:00:00;  27,2
10.08.1954 12:00:00;  33,0
27.09.1954 12:00:00;  33,0
27.10.1954 12:00:00;  19,9
04.11.1954 12:00:00;  6,32
