Messstelle:                ;Bernhardsthal (Staatsgrenzpunkt IX)
HZB-Nummer:                ;207290
HD-Nummer:                 ;
DBMS-Nummer:               ;10001011
Gewässer:                  ;Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;12623
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00152,67
   01.01.2001              ;00152,51
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1958              ;792570,00 - 393500,00
   11.08.2008              ;790957,60 - 397712,12
   01.01.2010              ;790955,00 - 397713,00
Exportzeitreihe:           ;(10001011,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1996 00:00,01.01.2022 00:00]
Werte:
08.01.1999 10:53:50;  35,1
26.02.1999 06:58:00;   114
09.03.1999 12:35:10;   208
21.04.1999 08:25:40;  62,3
01.05.1999 15:54:10;  41,6
16.06.1999 19:18:50;  39,1
17.07.1999 02:12:10;  80,5
26.08.1999 09:13:00;  21,2
24.09.1999 11:49:45;  34,9
27.10.1999 07:47:40;  30,4
10.11.1999 09:55:05;  37,9
20.12.1999 07:25:25;  24,5
31.01.2000 23:59:55;  50,8
11.02.2000 19:29:45;   137
31.03.2000 23:59:55;   166
03.04.2000 17:50:50;   168
01.05.2000 10:42:40;  41,2
01.06.2000 15:22:55;  20,9
31.07.2000 09:15:00;  38,4
01.08.2000 19:15:00;  34,7
17.09.2000 23:15:00;  29,6
25.10.2000 07:25:05;  35,3
17.11.2000 00:45:00;  29,8
31.12.2000 14:00:00;  36,2
15.01.2001 09:56:00;  41,8
12.02.2001 18:15:00;  67,4
27.03.2001 08:00:00;   112
11.04.2001 12:30:00;   116
08.05.2001 11:30:00;  56,6
12.06.2001 01:30:00;  26,8
23.07.2001 14:55:05;  45,0
21.08.2001 11:45:00;  33,8
21.09.2001 04:15:00;  70,5
01.10.2001 18:45:00;  46,0
01.11.2001 00:15:00;  34,2
15.12.2001 08:45:00;  47,9
30.01.2002 15:00:00;   132
02.02.2002 04:30:00;   120
24.03.2002 13:15:00;   102
01.04.2002 10:00:00;  65,9
07.05.2002 11:30:00;  53,8
11.06.2002 07:30:00;  46,9
18.07.2002 15:41:50;  62,2
15.08.2002 19:00:00;   187
30.09.2002 20:15:00;  52,3
19.10.2002 02:45:00;   116
15.11.2002 17:00:00;   112
31.12.2002 23:30:00;   149
06.01.2003 02:30:00;   259
01.02.2003 00:00:00;   107
06.03.2003 09:30:00;  82,5
04.04.2003 08:15:00;  43,7
16.05.2003 10:00:00;  73,0
10.06.2003 07:45:00;  40,3
30.07.2003 12:30:00;  21,5
19.08.2003 12:30:00;  22,4
29.09.2003 18:15:00;  18,0
06.10.2003 15:15:00;  32,9
04.11.2003 16:00:00;  27,8
15.12.2003 15:30:00;  34,7
16.01.2004 10:15:00;  96,3
07.02.2004 21:30:00;   152
29.03.2004 11:30:00;   146
01.04.2004 00:00:00;   129
06.05.2004 18:45:00;  62,8
05.06.2004 06:00:00;  66,9
01.07.2004 11:00:00;  30,0
30.08.2004 09:30:00;  20,1
13.09.2004 10:15:00;  19,3
18.10.2004 16:15:00;  34,2
25.11.2004 18:15:00;  38,4
01.12.2004 09:15:00;  39,3
24.01.2005 16:30:00;  49,2
16.02.2005 12:30:00;  92,5
25.03.2005 00:45:00;   312
01.04.2005 00:00:00;   119
05.05.2005 18:30:00;  42,3
06.06.2005 08:00:00;  40,4
12.07.2005 19:00:00;  78,3
16.08.2005 18:15:00;  45,5
13.09.2005 21:30:00;  37,9
03.10.2005 17:15:00;  40,7
29.11.2005 05:45:00;  28,7
07.12.2005 18:15:00;  38,9
05.01.2006 00:11:15;  36,2
24.02.2006 14:00:00;  33,8
31.03.2006 07:30:00;   494
05.04.2006 13:45:00;   665
06.05.2006 23:15:00;   223
01.06.2006 00:15:00;   107
02.07.2006 14:30:00;   218
09.08.2006 16:30:00;   237
01.09.2006 04:15:00;  33,5
10.10.2006 05:30:00;  33,5
24.11.2006 05:15:00;  35,8
14.12.2006 05:45:00;  29,3
26.01.2007 10:45:00;  37,2
05.02.2007 12:00:00;  66,3
26.03.2007 22:00:00;   146
01.04.2007 00:00:00;   102
12.05.2007 07:00:00;  25,5
23.06.2007 15:30:00;  43,6
10.07.2007 22:00:00;  25,5
21.08.2007 09:30:00;  16,7
07.09.2007 16:00:00;  57,3
24.10.2007 16:30:00;  45,1
30.11.2007 23:45:00;  89,0
01.12.2007 05:00:00;  91,2
22.01.2008 17:15:00;  92,8
01.02.2008 00:45:00;  86,8
06.03.2008 04:15:00;  92,8
04.04.2008 14:30:00;  55,8
22.05.2008 05:45:00;  61,1
08.06.2008 07:45:00;  34,5
14.07.2008 09:45:00;  32,2
17.08.2008 09:15:00;  40,7
19.09.2008 14:00:00;  29,4
31.10.2008 14:15:00;  31,3
01.11.2008 02:30:00;  30,9
08.12.2008 09:45:00;  29,2
24.01.2009 00:45:00;  27,7
28.02.2009 23:59:55;  64,4
08.03.2009 11:00:00;   303
02.04.2009 03:30:00;   205
01.05.2009 04:00:00;  26,4
28.06.2009 12:30:00;   103
10.07.2009 23:15:00;   120
06.08.2009 07:00:00;  51,7
05.09.2009 18:00:00;  28,2
21.10.2009 09:45:00;  32,8
12.11.2009 20:30:00;  43,3
25.12.2009 09:30:00;  33,8
03.01.2010 17:30:00;  60,2
27.02.2010 16:15:00;  91,5
24.03.2010 05:00:00;   197
16.04.2010 11:00:00;   150
16.05.2010 07:15:00;   132
04.06.2010 10:45:00;   431
25.07.2010 13:00:00;  94,7
09.08.2010 07:45:00;   232
30.09.2010 15:30:00;   160
01.10.2010 00:00:00;   160
03.11.2010 15:45:00;  49,2
25.12.2010 21:00:00;  97,9
17.01.2011 12:15:00;   170
08.02.2011 20:15:00;  70,4
21.03.2011 06:30:00;   120
06.04.2011 21:15:00;  59,2
29.05.2011 18:45:00;  49,7
01.06.2011 14:30:00;  30,0
23.07.2011 11:00:00;  47,2
03.08.2011 06:30:00;  31,9
20.09.2011 22:45:00;  27,8
13.10.2011 19:00:00;  34,7
24.11.2011 14:00:00;  29,6
01.12.2011 09:15:00;  17,5
26.01.2012 09:15:00;  73,1
29.02.2012 23:59:55;   116
02.03.2012 00:15:00;   122
22.04.2012 08:45:00;  35,4
01.05.2012 00:00:00;  23,1
14.06.2012 06:30:00;  50,6
28.07.2012 08:00:00;  24,4
09.08.2012 08:00:00;  24,4
14.09.2012 08:30:00;  26,3
17.10.2012 10:00:00;  32,5
06.11.2012 07:45:00;  31,5
30.12.2012 09:15:00;  27,2
09.01.2013 05:15:00;  91,9
28.02.2013 09:45:00;   170
01.03.2013 00:00:00;   165
13.04.2013 18:00:00;   136
06.05.2013 07:30:00;  85,1
27.06.2013 00:30:00;   333
03.07.2013 05:30:00;  88,5
29.08.2013 21:45:00;  26,0
19.09.2013 07:00:00;  48,5
26.10.2013 13:00:00;  37,0
05.11.2013 15:15:00;  27,9
13.12.2013 18:30:00;  28,8
23.01.2014 21:00:00;  31,7
12.02.2014 13:15:00;  27,9
26.03.2014 12:30:00;  23,7
