Messstelle:                ;Brückl
HZB-Nummer:                ;212936
HD-Nummer:                 ;00551
DBMS-Nummer:               ;2001053
Gewässer:                  ;Görtschitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;315,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;00496,58
   01.01.1939              ;00494,58
   01.01.1962              ;00497,01
   01.01.1989              ;00506,50
   09.08.2004              ;00506,47
   01.01.2014              ;00497,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;541669,30 - 180520,00
   01.01.1978              ;541404,76 - 179882,32
   01.01.2014              ;541404,76 - 179882,32
Exportzeitreihe:           ;(2001053,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  2,89
14.02.1951 12:00:00;  4,38
18.03.1951 12:00:00;  6,12
30.04.1951 12:00:00;  7,70
10.05.1951 12:00:00;  11,5
03.06.1951 12:00:00;  8,60
06.07.1951 12:00:00;  5,10
02.08.1951 12:00:00;  3,13
18.09.1951 12:00:00;  5,10
02.10.1951 12:00:00;  3,65
22.11.1951 12:00:00;  5,10
01.12.1951 12:00:00;  2,67
04.01.1952 12:00:00;  2,13
29.02.1952 12:00:00;  2,05
31.03.1952 12:00:00;  4,38
27.04.1952 12:00:00;  5,10
02.05.1952 12:00:00;  4,38
21.06.1952 12:00:00;  3,94
29.07.1952 12:00:00;  3,13
18.08.1952 12:00:00;  5,78
09.09.1952 12:00:00;  5,78
27.10.1952 12:00:00;  10,5
01.11.1952 12:00:00;  6,12
15.12.1952 12:00:00;  3,65
03.01.1953 12:00:00;  2,89
28.02.1953 12:00:00;  2,29
29.03.1953 12:00:00;  2,29
30.04.1953 12:00:00;  3,65
28.05.1953 12:00:00;  5,95
09.06.1953 12:00:00;  5,78
31.07.1953 12:00:00;  7,70
04.08.1953 12:00:00;  7,52
05.09.1953 12:00:00;  11,5
05.10.1953 12:00:00;  4,38
04.11.1953 12:00:00;  3,65
23.12.1953 12:00:00;  2,05
22.01.1954 12:00:00;  2,05
28.02.1954 12:00:00;  1,98
22.03.1954 12:00:00;  3,94
06.04.1954 12:00:00;  4,52
31.05.1954 12:00:00;  10,4
29.06.1954 12:00:00;  16,2
08.07.1954 12:00:00;  14,6
16.08.1954 12:00:00;  9,50
22.09.1954 12:00:00;  13,8
08.10.1954 12:00:00;  5,59
11.11.1954 12:00:00;  6,60
12.12.1954 12:00:00;  5,43
17.01.1955 12:00:00;  3,85
18.02.1955 12:00:00;  4,30
28.03.1955 12:00:00;  10,3
09.04.1955 12:00:00;  4,93
29.05.1955 12:00:00;  11,5
29.06.1955 12:00:00;  7,65
20.07.1955 12:00:00;  7,13
08.08.1955 12:00:00;  7,13
15.09.1955 12:00:00;  6,60
19.10.1955 12:00:00;  5,43
14.11.1955 12:00:00;  7,30
16.12.1955 12:00:00;  3,18
19.01.1956 12:00:00;  3,72
29.02.1956 12:00:00;  1,77
04.03.1956 12:00:00;  5,59
30.04.1956 12:00:00;  12,8
25.05.1956 12:00:00;  19,0
09.06.1956 12:00:00;  14,8
17.07.1956 12:00:00;  9,90
23.08.1956 12:00:00;  9,90
09.09.1956 12:00:00;  3,18
27.10.1956 12:00:00;  8,00
12.11.1956 12:00:00;  3,18
01.12.1956 12:00:00;  2,34
16.01.1957 12:00:00;  1,58
18.02.1957 12:00:00;  2,00
31.03.1957 12:00:00;  2,00
12.04.1957 12:00:00;  5,43
26.05.1957 12:00:00;  5,92
13.06.1957 12:00:00;  15,8
28.07.1957 12:00:00;  20,0
19.08.1957 12:00:00;  8,95
15.09.1957 12:00:00;  8,95
01.10.1957 12:00:00;  4,30
11.11.1957 12:00:00;  4,60
17.12.1957 12:00:00;  2,34
21.01.1958 12:00:00;  2,15
27.02.1958 12:00:00;  3,85
31.03.1958 12:00:00;  2,96
23.04.1958 12:00:00;  6,25
12.05.1958 12:00:00;  8,00
28.06.1958 12:00:00;  5,92
23.07.1958 12:00:00;  14,8
26.08.1958 12:00:00;  13,8
23.09.1958 12:00:00;  11,0
14.10.1958 12:00:00;  7,30
16.11.1958 12:00:00;  6,25
14.12.1958 12:00:00;  16,0
