Messstelle:                ;Scheiblingkirchen
HZB-Nummer:                ;209544
HD-Nummer:                 ;no730
DBMS-Nummer:               ;3001170
Gewässer:                  ;Schlattenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;69,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   31.12.1983              ;00369,42
   01.01.1984              ;00369,68
   05.05.2014              ;00369,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1984              ;735321,00 - 280195,00
Exportzeitreihe:           ;(3001170,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1985 00:00,01.01.2022 00:00]
Werte:
31.01.1985 20:16:20; 0,188
11.02.1985 13:00:00; 0,574
26.03.1985 18:00:00;  2,44
01.04.1985 00:00:00;  1,32
18.05.1985 21:15:00;  2,61
08.06.1985 03:15:00;  1,31
31.07.1985 10:30:00; 0,426
07.08.1985 04:45:00;  1,41
02.09.1985 00:30:00; 0,321
31.10.1985 23:59:55; 0,212
28.11.1985 14:00:00; 0,899
17.12.1985 01:15:00; 0,768
11.01.1986 09:45:00; 0,504
06.02.1986 11:00:00;  1,04
28.03.1986 17:15:00;  1,34
01.04.1986 00:00:00;  1,25
24.05.1986 14:30:00; 0,950
19.06.1986 14:15:00;  5,51
19.07.1986 06:15:00; 0,536
12.08.1986 19:45:00;  1,79
10.09.1986 10:30:00; 0,660
27.10.1986 03:16:50; 0,299
24.11.1986 00:45:00;  1,04
26.12.1986 23:15:00;  1,13
05.01.1987 09:45:00; 0,412
21.02.1987 02:00:00;  1,09
28.03.1987 20:30:00; 0,884
01.04.1987 18:30:00; 0,747
03.05.1987 23:45:00;  7,33
05.06.1987 00:30:00;  1,45
26.07.1987 13:30:00;  1,09
04.08.1987 17:15:00;  1,09
19.09.1987 20:30:00; 0,255
24.10.1987 06:15:00; 0,299
27.11.1987 09:00:00; 0,299
18.12.1987 18:15:00; 0,384
30.01.1988 12:15:00; 0,384
27.02.1988 23:30:00; 0,412
24.03.1988 19:00:00; 0,747
01.04.1988 00:00:00; 0,440
20.05.1988 13:00:00;  1,68
06.06.1988 06:15:00;  1,18
07.07.1988 21:45:00; 0,255
22.08.1988 08:45:00; 0,833
02.09.1988 19:45:00;  1,53
06.10.1988 12:45:00; 0,255
23.11.1988 00:00:30; 0,299
05.12.1988 11:30:00; 0,355
31.01.1989 11:00:00; 0,412
26.02.1989 14:00:00; 0,440
01.03.1989 00:00:00; 0,202
01.04.1989 22:00:00; 0,412
01.05.1989 06:30:00; 0,703
21.06.1989 05:15:00; 0,747
11.07.1989 20:15:00;  10,7
11.08.1989 16:45:00;  8,83
12.09.1989 07:00:00;  2,36
03.10.1989 11:00:00; 0,751
06.11.1989 20:45:00;  1,08
05.12.1989 00:00:05; 0,578
17.01.1990 01:00:00; 0,410
14.02.1990 16:00:00; 0,254
28.03.1990 08:30:00; 0,468
23.04.1990 16:45:00; 0,644
25.05.1990 18:30:00; 0,527
21.06.1990 12:30:00;  1,51
10.07.1990 10:45:00;  1,28
07.08.1990 11:15:00; 0,382
20.09.1990 18:00:00;  1,03
28.10.1990 01:30:00; 0,680
01.11.1990 15:15:00; 0,468
21.12.1990 12:30:00;  1,34
23.01.1991 00:00:05; 0,627
01.02.1991 00:00:00; 0,277
31.03.1991 18:30:00; 0,168
05.04.1991 00:00:00; 0,277
18.05.1991 12:15:00;  10,8
03.06.1991 15:15:00;  2,45
29.07.1991 01:00:00;  12,2
04.08.1991 11:15:00;  4,92
20.09.1991 20:30:00; 0,948
09.10.1991 00:15:00; 0,538
17.11.1991 00:00:00;  1,08
14.12.1991 00:00:05; 0,835
01.01.1992 00:00:00; 0,383
06.02.1992 07:00:00; 0,468
27.03.1992 18:45:00; 0,716
30.04.1992 06:00:00; 0,762
11.05.1992 21:30:00; 0,552
13.06.1992 18:30:00;  2,75
12.07.1992 02:30:00; 0,384
02.08.1992 07:30:00; 0,252
01.09.1992 10:30:00; 0,513
05.10.1992 21:15:00; 0,277
23.11.1992 05:45:00; 0,670
05.12.1992 20:45:00;  1,19
31.01.1993 14:00:00; 0,384
23.02.1993 11:15:00; 0,412
16.03.1993 19:45:00; 0,327
01.04.1993 00:00:00; 0,299
28.05.1993 15:15:00;  1,46
07.06.1993 20:00:00; 0,790
18.07.1993 09:15:00; 0,412
25.08.1993 08:15:00; 0,511
29.09.1993 18:45:00; 0,617
24.10.1993 00:30:00;  1,98
30.11.1993 05:15:00; 0,985
24.12.1993 22:00:00; 0,582
07.01.1994 07:30:00;  1,53
09.02.1994 01:15:00; 0,252
01.03.1994 00:00:00; 0,203
18.04.1994 07:30:00;  1,38
25.05.1994 00:15:00; 0,513
12.06.1994 23:15:00; 0,670
10.07.1994 17:30:00; 0,352
24.08.1994 14:30:00;  1,25
03.09.1994 11:15:00; 0,475
24.10.1994 19:30:00; 0,660
12.11.1994 00:45:00; 0,660
11.12.1994 12:15:00; 0,327
27.01.1995 04:30:00; 0,299
18.02.1995 08:30:00; 0,384
02.03.1995 18:15:00; 0,747
26.04.1995 19:15:00; 0,660
30.05.1995 15:15:00;  1,04
16.06.1995 16:00:00;  1,98
01.07.1995 18:30:00; 0,747
07.08.1995 14:45:00; 0,747
15.09.1995 06:30:00; 0,747
01.10.1995 18:30:00; 0,212
17.11.1995 21:30:00; 0,355
15.12.1995 23:00:00; 0,790
05.01.1996 00:00:00; 0,790
23.02.1996 11:30:00; 0,884
