Messstelle:                ;Dobersdorf
HZB-Nummer:                ;210211
HD-Nummer:                 ;
DBMS-Nummer:               ;1001019
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;925,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00235,99
   01.01.1980              ;00236,00
   01.01.1983              ;00235,00
   01.01.1989              ;00234,00
   04.09.2018              ;00234,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;735100,00 - 209150,00
   01.01.2018              ;735106,80 - 209132,69
   04.09.2018              ;735073,93 - 209153,34
Exportzeitreihe:           ;(1001019,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 12:00,01.01.2022 00:00]
Werte:
01.01.1951 12:00:00;  10,6
17.02.1951 12:00:00;  26,4
11.03.1951 12:00:00;  16,2
01.04.1951 12:00:00;  40,9
11.05.1951 12:00:00;  53,7
07.06.1951 12:00:00;  54,5
17.07.1951 12:00:00;  67,3
18.08.1951 12:00:00;  11,0
19.09.1951 12:00:00;  6,90
17.10.1951 12:00:00;  3,87
23.11.1951 12:00:00;  18,4
30.12.1951 12:00:00;  7,27
01.01.1952 12:00:00;  5,50
29.02.1952 12:00:00;  11,7
05.03.1952 12:00:00;  16,2
01.04.1952 12:00:00;  11,0
13.05.1952 12:00:00;  9,12
25.06.1952 12:00:00;  14,5
30.07.1952 12:00:00;  5,50
01.08.1952 12:00:00;  3,25
05.09.1952 12:00:00;  4,51
27.10.1952 12:00:00;  15,3
01.11.1952 12:00:00;  8,01
16.12.1952 12:00:00;  10,2
03.01.1953 12:00:00;  18,4
24.02.1953 12:00:00;  4,51
01.03.1953 12:00:00;  4,51
29.04.1953 12:00:00;  3,87
29.05.1953 12:00:00;  5,50
09.06.1953 12:00:00;  33,4
29.07.1953 12:00:00;  42,4
04.08.1953 12:00:00;  27,5
12.09.1953 12:00:00;  9,49
31.10.1953 12:00:00;  12,9
04.11.1953 12:00:00;  10,2
29.12.1953 12:00:00;  3,87
25.01.1954 12:00:00;  4,19
28.02.1954 12:00:00;  4,19
06.03.1954 12:00:00;  26,4
08.04.1954 12:00:00;  10,2
07.05.1954 12:00:00;  69,0
16.06.1954 12:00:00;  31,0
09.07.1954 12:00:00;  42,4
11.08.1954 12:00:00;  15,3
22.09.1954 12:00:00;  16,6
05.10.1954 12:00:00;  5,85
11.11.1954 12:00:00;  80,5
14.12.1954 12:00:00;  42,4
05.01.1955 12:00:00;  6,90
04.02.1955 12:00:00;  5,50
25.03.1955 12:00:00;  47,1
01.04.1955 12:00:00;  12,9
22.05.1955 12:00:00;  7,64
28.06.1955 12:00:00;  8,38
23.07.1955 12:00:00;  64,7
31.08.1955 12:00:00;  21,8
16.09.1955 12:00:00;  24,8
20.10.1955 12:00:00;  21,2
15.11.1955 12:00:00;  24,6
18.12.1955 12:00:00;  7,18
11.01.1956 12:00:00;  6,46
29.02.1956 12:00:00;  4,74
05.03.1956 12:00:00;  46,3
02.04.1956 12:00:00;  19,4
