Messstelle:                ;Lechaschau
HZB-Nummer:                ;201087
HD-Nummer:                 ;
DBMS-Nummer:               ;7001007
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Elektrizitätswerk der Marktgemeinde Reutte
orogr.Einzugsgebiet [km²]: ;1012,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   16.12.1968              ;00836,09
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1948              ;178380,90 - 262102,20
Exportzeitreihe:           ;(7001007,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1971 12:00,01.01.2022 00:00]
Werte:
01.01.1971 12:00:00;  16,7
06.02.1971 12:00:00;  14,5
23.03.1971 12:00:00;  29,0
24.04.1971 12:00:00;  93,9
09.05.1971 12:00:00;  73,7
20.06.1971 12:00:00;   360
01.07.1971 12:00:00;   102
27.08.1971 12:00:00;   233
01.09.1971 12:00:00;  42,3
03.10.1971 12:00:00;  35,3
02.11.1971 12:00:00;  17,4
21.12.1971 12:00:00;  20,3
03.01.1972 12:00:00;  14,0
21.02.1972 12:00:00;  9,65
27.03.1972 12:00:00;  16,7
05.04.1972 12:00:00;  39,9
27.05.1972 12:00:00;   102
06.06.1972 12:00:00;  85,1
11.07.1972 12:00:00;   133
04.08.1972 12:00:00;   112
11.09.1972 12:00:00;  46,1
28.10.1972 12:00:00;  50,6
17.11.1972 12:00:00;   320
01.12.1972 12:00:00;  24,7
01.01.1973 12:00:00;  13,4
05.02.1973 12:00:00;  9,97
30.03.1973 12:00:00;  44,6
30.04.1973 12:00:00;  98,5
06.05.1973 12:00:00;   220
18.06.1973 12:00:00;   172
27.07.1973 12:00:00;   190
31.08.1973 12:00:00;   167
01.09.1973 12:00:00;   172
08.10.1973 12:00:00;  66,5
16.11.1973 12:00:00;   182
08.12.1973 12:00:00;  34,3
17.01.1974 12:00:00;  32,5
12.02.1974 12:00:00;  17,4
22.03.1974 12:00:00;  81,3
14.04.1974 12:00:00;  67,8
23.05.1974 12:00:00;   178
30.06.1974 12:00:00;   240
25.07.1974 12:00:00;   280
22.08.1974 12:00:00;   152
29.09.1974 12:00:00;  89,6
01.10.1974 12:00:00;  62,4
23.11.1974 12:00:00;  45,4
30.12.1974 12:00:00;   106
01.01.1975 12:00:00;  45,4
01.02.1975 12:00:00;  28,1
10.03.1975 12:00:00;  22,5
22.04.1975 12:00:00;   112
20.05.1975 12:00:00;   235
28.06.1975 12:00:00;   221
19.07.1975 12:00:00;   320
25.08.1975 12:00:00;   158
01.09.1975 12:00:00;  68,4
01.10.1975 12:00:00;  21,0
22.11.1975 12:00:00;  22,5
02.12.1975 12:00:00;  18,1
04.01.1976 07:30:00;  16,9
29.02.1976 23:59:55;  14,9
31.03.1976 23:59:55;  22,0
04.04.1976 06:30:00;  35,1
12.05.1976 04:00:00;   110
02.06.1976 02:30:00;   473
27.07.1976 06:00:00;   161
01.08.1976 13:00:00;   128
