Messstelle:                ;Neudorf
HZB-Nummer:                ;212704
HD-Nummer:                 ;00382
DBMS-Nummer:               ;2001035
Gewässer:                  ;Gössering
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;75,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00581,60
   25.03.2003              ;00581,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1955              ;453148,48 - 164447,82
   04.08.2015              ;453118,95 - 164327,81
Exportzeitreihe:           ;(2001035,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[03.01.1956 12:00,01.01.2021 00:00]
Werte:
03.01.1956 12:00:00;  1,37
10.02.1956 12:00:00;  1,15
02.03.1956 12:00:00;  1,69
30.04.1956 12:00:00;  6,70
25.05.1956 12:00:00;  4,12
16.06.1956 12:00:00;  3,00
11.07.1956 12:00:00;  1,95
29.08.1956 12:00:00;  2,45
25.09.1956 12:00:00;  1,52
29.10.1956 12:00:00;  1,61
15.11.1956 12:00:00;  2,45
02.12.1956 12:00:00;  1,52
05.01.1957 12:00:00;  1,52
28.02.1957 12:00:00;  1,15
25.03.1957 12:00:00;  2,05
21.04.1957 12:00:00;  2,58
01.05.1957 12:00:00;  2,06
18.06.1957 12:00:00;  3,75
28.07.1957 12:00:00;  5,80
03.08.1957 12:00:00;  2,45
15.09.1957 12:00:00;  2,45
21.10.1957 12:00:00;  3,12
06.11.1957 12:00:00;  6,70
14.12.1957 12:00:00;  5,98
06.01.1958 12:00:00;  1,52
28.02.1958 12:00:00;  2,45
31.03.1958 12:00:00;  2,25
05.04.1958 12:00:00;  5,96
10.05.1958 12:00:00;  4,10
28.06.1958 12:00:00;  2,85
04.07.1958 12:00:00;  2,85
25.08.1958 12:00:00;  2,85
23.09.1958 12:00:00;  2,32
14.10.1958 12:00:00;  3,60
12.11.1958 12:00:00;  5,80
24.12.1958 12:00:00;  8,70
02.01.1959 12:00:00;  1,86
08.02.1959 12:00:00; 0,850
08.03.1959 12:00:00;  2,45
10.04.1959 12:00:00;  3,36
01.05.1959 12:00:00;  2,45
30.06.1959 12:00:00;  2,45
01.07.1959 12:00:00;  2,45
02.08.1959 12:00:00;  1,37
02.09.1959 12:00:00; 0,970
29.10.1959 12:00:00;  3,60
30.11.1959 12:00:00;  7,70
01.12.1959 12:00:00;  5,00
29.01.1960 12:00:00;  3,21
02.02.1960 12:00:00;  2,30
31.03.1960 12:00:00;  6,45
01.04.1960 12:00:00;  5,55
01.05.1960 12:00:00;  2,74
30.06.1960 12:00:00;  1,85
23.07.1960 12:00:00;  9,60
19.08.1960 12:00:00;  9,60
06.09.1960 12:00:00;  14,0
30.10.1960 12:00:00;  7,70
05.11.1960 12:00:00;  14,0
07.12.1960 12:00:00;  23,0
02.01.1961 12:00:00;  3,70
28.02.1961 12:00:00;  1,81
23.03.1961 12:00:00;  3,22
11.04.1961 12:00:00;  3,22
29.05.1961 12:00:00;  2,10
12.06.1961 12:00:00;  1,46
13.07.1961 12:00:00;  2,10
16.08.1961 12:00:00;  1,94
21.09.1961 12:00:00;  1,94
19.10.1961 12:00:00;  5,70
