Messstelle:                ;Deutsch Griffen
HZB-Nummer:                ;213769
HD-Nummer:                 ;01851
DBMS-Nummer:               ;2002484
Gewässer:                  ;Griffenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;29,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.04.2007              ;00809,66
   17.11.2009              ;00750,03
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.04.2007              ;506604,00 - 190965,00
Exportzeitreihe:           ;(2002484,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[07.08.2007 00:00,01.01.2022 00:00]
Werte:
30.08.2007 14:30:00;  1,11
27.09.2007 03:30:00;  1,63
06.10.2007 09:45:00; 0,748
25.11.2007 20:30:00; 0,345
01.12.2007 00:00:00; 0,183
13.01.2008 09:15:00; 0,251
08.02.2008 12:45:00; 0,183
12.03.2008 20:45:00; 0,251
21.04.2008 18:55:00; 0,521
23.05.2008 18:00:00; 0,915
07.06.2008 12:15:00;  3,50
14.07.2008 13:15:00;  1,70
15.08.2008 13:30:00;  7,12
12.09.2008 17:15:00;  1,10
30.10.2008 01:30:00;  1,80
13.11.2008 13:30:00;  1,01
12.12.2008 09:45:00;  1,70
01.01.2009 03:45:00; 0,628
07.02.2009 13:00:00; 0,295
29.03.2009 20:45:00;  1,39
07.04.2009 17:30:00;  2,06
01.05.2009 00:00:00;  1,52
20.06.2009 10:00:00;  4,33
01.07.2009 13:15:00;  3,20
28.08.2009 16:45:00;  4,94
04.09.2009 17:30:00;  1,70
01.10.2009 17:45:00;  1,27
30.11.2009 23:59:55;  1,24
01.12.2009 00:30:00;  1,51
01.01.2010 00:30:00; 0,415
28.02.2010 15:00:00; 0,280
27.03.2010 03:00:00; 0,521
27.04.2010 01:30:00; 0,578
06.05.2010 03:30:00;  2,49
16.06.2010 16:00:00;  2,25
29.07.2010 21:00:00; 0,771
14.08.2010 22:30:00;  5,28
18.09.2010 06:30:00;  2,32
01.10.2010 00:30:00; 0,771
19.11.2010 13:30:00;  2,49
24.12.2010 05:00:00;  1,91
10.01.2011 23:00:00; 0,930
24.02.2011 12:00:00; 0,567
17.03.2011 02:30:00;  1,91
04.04.2011 19:00:00; 0,703
28.05.2011 05:30:00;  1,42
19.06.2011 06:30:00;  2,32
24.07.2011 09:30:00;  1,61
09.08.2011 01:15:00;  1,90
19.09.2011 09:45:00;  3,50
07.10.2011 07:45:00;  2,32
03.11.2011 10:00:00; 0,535
06.12.2011 18:15:00; 0,311
03.01.2012 02:00:00; 0,214
29.02.2012 13:30:00; 0,395
19.03.2012 23:15:00; 0,217
07.04.2012 14:45:00; 0,636
12.05.2012 23:30:00; 0,636
25.06.2012 14:45:00;  1,90
21.07.2012 14:30:00;  6,48
31.08.2012 16:15:00;  2,06
12.09.2012 22:00:00;  4,62
15.10.2012 20:30:00;  3,34
05.11.2012 06:00:00;  4,92
01.12.2012 01:30:00;  1,10
05.01.2013 05:00:00; 0,506
02.02.2013 09:30:00; 0,214
30.03.2013 22:30:00; 0,846
