Messstelle:                ;Siget in der Wart
HZB-Nummer:                ;215012
HD-Nummer:                 ;
DBMS-Nummer:               ;1001048
Gewässer:                  ;Zickenbach OW
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;118,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1995              ;00280,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1995              ;745900,00 - 235950,00
   05.10.2018              ;745895,00 - 235957,71
Exportzeitreihe:           ;(1001048,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1995 00:00,01.01.2022 00:00]
Werte:
12.01.1995 00:00:00; 0,616
27.02.1995 08:00:00;  1,85
05.03.1995 08:00:00;  8,04
25.04.1995 08:00:00; 0,729
13.05.1995 08:00:00; 0,616
07.06.1995 08:00:00;  3,77
17.07.1995 06:00:00;  8,15
09.08.1995 20:00:00;  5,98
20.09.1995 10:00:00;  10,3
01.10.1995 00:00:00; 0,349
29.11.1995 08:00:00; 0,548
27.12.1995 08:00:00; 0,770
09.01.1996 12:00:00;  2,91
28.02.1996 00:00:05; 0,515
19.03.1996 18:00:00;  5,29
04.04.1996 10:00:00;  10,9
27.05.1996 20:00:00;  24,0
30.06.1996 08:00:00;  2,49
03.07.1996 08:00:00;  4,02
29.08.1996 08:00:00;  6,50
23.09.1996 18:00:00;  8,26
22.10.1996 08:00:00;  11,4
19.11.1996 08:00:00; 0,616
21.12.1996 08:00:00; 0,616
01.01.1997 00:00:00; 0,428
14.02.1997 08:00:00; 0,729
18.03.1997 08:00:00; 0,485
20.04.1997 08:00:00; 0,616
22.05.1997 10:00:00;  2,22
20.06.1997 08:00:00;  3,93
19.07.1997 14:30:00;  11,0
09.08.1997 15:30:00;  10,3
14.09.1997 08:00:00;  1,56
27.10.1997 18:08:10; 0,373
14.11.1997 22:23:45;  1,26
21.12.1997 00:17:35;  2,70
04.01.1998 08:18:10; 0,413
14.02.1998 04:38:15; 0,314
18.03.1998 12:57:25;  1,86
16.04.1998 19:35:35; 0,981
31.05.1998 19:47:55;  5,39
27.06.1998 01:08:15;  38,4
28.07.1998 08:54:20;  16,5
05.08.1998 07:02:15;  6,23
06.09.1998 04:52:30;  22,4
20.10.1998 04:22:10;  6,46
11.11.1998 02:42:50;  4,77
16.12.1998 21:32:10;  1,28
12.01.1999 18:56:45; 0,554
06.02.1999 00:59:00; 0,614
07.03.1999 23:29:10; 0,732
23.04.1999 18:23:05;  6,56
21.05.1999 09:40:50;  36,8
12.06.1999 03:53:30;  2,74
14.07.1999 16:25:50;  8,54
20.08.1999 23:12:00;  6,93
22.09.1999 01:39:00;  2,66
01.10.1999 14:03:40; 0,402
10.11.1999 11:57:35; 0,708
11.12.1999 08:14:30;  2,48
04.01.2000 06:45:15; 0,827
09.02.2000 14:36:25;  1,13
30.03.2000 05:08:15;  1,91
02.04.2000 06:25:10;  1,50
13.05.2000 00:53:20;  1,46
06.06.2000 18:33:10; 0,753
08.07.2000 00:24:45;  1,44
06.08.2000 10:12:15;  5,05
17.09.2000 00:51:05;  1,74
