Messstelle:                ;Wehrstelle KW Aschach
HZB-Nummer:                ;207035
HD-Nummer:                 ;
DBMS-Nummer:               ;10001021
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;78190
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   10.01.1964              ;00260,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   10.01.1964              ;501360,00 - 361150,00
Exportzeitreihe:           ;(10001021,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1974 00:00,01.01.2021 00:00]
Werte:
20.01.1974 04:00:00;  3560
10.02.1974 11:00:00;  1650
23.03.1974 15:00:00;  1750
01.04.1974 00:01:00;  1440
23.05.1974 12:00:00;  1660
30.06.1974 23:00:00;  2700
19.07.1974 12:00:00;  4350
28.08.1974 16:00:00;  2070
08.09.1974 12:00:00;  1560
28.10.1974 16:00:00;  2010
30.11.1974 23:59:00;  1840
09.12.1974 03:00:00;  4500
31.01.1975 23:00:00;  2760
01.02.1975 00:01:00;  2240
31.03.1975 20:00:00;  1190
23.04.1975 16:00:00;  2120
23.05.1975 02:00:00;  2800
26.06.1975 12:00:00;  3360
03.07.1975 04:00:00;  4890
27.08.1975 10:00:00;  3600
01.09.1975 00:01:00;  2050
22.10.1975 12:00:00;  1150
21.11.1975 04:00:00;  1240
03.12.1975 12:00:00;  1110
23.01.1976 10:00:00;  2220
01.02.1976 00:01:00;  1120
04.03.1976 08:00:00;   970
07.04.1976 22:00:00;  1230
24.05.1976 16:00:00;  1660
03.06.1976 10:00:00;  3430
29.07.1976 20:00:00;  1970
22.08.1976 14:00:00;  1850
04.09.1976 12:00:00;  1730
01.10.1976 00:01:00;  1440
16.11.1976 01:00:00;  1210
04.12.1976 10:00:00;  1110
29.01.1977 12:00:00;  1650
11.02.1977 12:00:00;  3140
05.03.1977 12:00:00;  2330
30.04.1977 12:00:00;  2330
05.05.1977 12:00:00;  2550
28.06.1977 12:00:00;  2450
31.07.1977 12:00:00;  2140
02.08.1977 12:00:00;  4950
10.09.1977 12:00:00;  2130
15.10.1977 12:00:00;   950
16.11.1977 12:00:00;  1330
25.12.1977 12:00:00;  1860
01.01.1978 00:00:00;  1360
28.02.1978 12:00:00;  1460
23.03.1978 12:00:00;  2330
01.04.1978 12:00:00;  2140
10.05.1978 12:00:00;  2790
09.06.1978 12:00:00;  2510
06.07.1978 12:00:00;  3740
11.08.1978 12:00:00;  2590
09.09.1978 12:00:00;  2740
27.10.1978 12:00:00;  2200
01.11.1978 00:00:00;  1440
31.12.1978 12:00:00;  1280
03.01.1979 12:00:00;  1450
18.02.1979 12:00:00;  2160
13.03.1979 12:00:00;  3700
02.04.1979 12:00:00;  2300
21.05.1979 12:00:00;  2740
19.06.1979 12:00:00;  5200
10.07.1979 12:00:00;  3040
25.08.1979 12:00:00;  2400
25.09.1979 12:00:00;  2980
01.10.1979 00:00:00;  1540
28.11.1979 12:00:00;  3800
01.12.1979 00:00:00;  2280
09.01.1980 12:00:00;  1240
06.02.1980 12:00:00;  3220
30.03.1980 12:00:00;  1460
27.04.1980 12:00:00;  2910
09.05.1980 12:00:00;  2640
15.06.1980 12:00:00;  2760
22.07.1980 12:00:00;  4500
01.08.1980 00:00:00;  2380
02.09.1980 12:00:00;  1990
18.10.1980 12:00:00;  2120
01.11.1980 00:00:00;  1320
18.12.1980 12:00:00;  1690
05.01.1981 12:00:00;  1890
11.02.1981 12:00:00;  2200
13.03.1981 12:00:00;  4220
02.04.1981 12:00:00;  2700
28.05.1981 12:00:00;  2070
05.06.1981 12:00:00;  2110
21.07.1981 12:00:00;  5800
01.08.1981 00:00:00;  2200
30.09.1981 12:00:00;  1790
16.10.1981 12:00:00;  3360
01.11.1981 12:00:00;  3050
12.12.1981 12:00:00;  3050
31.01.1982 12:00:00;  4200
01.02.1982 12:00:00;  3850
30.03.1982 12:00:00;  1760
09.04.1982 12:00:00;  2170
25.05.1982 12:00:00;  3150
28.06.1982 12:00:00;  3280
