Messstelle:                ;Hopfgarten im Def. Zwenewald
HZB-Nummer:                ;212100
HD-Nummer:                 ;
DBMS-Nummer:               ;7001134
Gewässer:                  ;Schwarzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;268,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;01091,87
   01.01.1969              ;01092,00
   01.01.1976              ;01092,26
   01.01.1982              ;01092,36
   01.01.1984              ;01096,27
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;316037,70 - 199923,80
   01.01.1984              ;387458,68 - 197934,11
Exportzeitreihe:           ;(7001134,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[18.01.1951 12:00,01.01.2022 00:00]
Werte:
18.01.1951 12:00:00;  1,35
16.02.1951 12:00:00; 0,900
21.03.1951 12:00:00;  1,95
29.04.1951 12:00:00;  8,70
28.05.1951 12:00:00;  45,5
24.06.1951 12:00:00;  79,5
16.07.1951 12:00:00;  35,8
10.08.1951 12:00:00;  27,0
01.09.1951 12:00:00;  13,1
03.10.1951 12:00:00;  6,26
12.11.1951 12:00:00;  16,4
03.12.1951 12:00:00;  3,98
01.01.1952 12:00:00;  2,25
02.02.1952 12:00:00;  1,80
31.03.1952 12:00:00;  2,75
30.04.1952 12:00:00;  10,6
12.05.1952 12:00:00;  19,6
20.06.1952 12:00:00;  38,2
01.07.1952 12:00:00;  19,1
20.08.1952 12:00:00;  31,0
12.09.1952 12:00:00;  22,7
26.10.1952 12:00:00;  35,8
01.11.1952 12:00:00;  12,1
03.12.1952 12:00:00;  4,55
03.01.1953 12:00:00;  3,25
03.02.1953 12:00:00;  1,65
31.03.1953 12:00:00;  6,75
28.04.1953 12:00:00;  8,58
28.05.1953 12:00:00;  26,0
09.06.1953 12:00:00;  45,5
31.07.1953 12:00:00;  35,8
03.08.1953 12:00:00;  32,7
28.09.1953 12:00:00;  16,7
28.10.1953 12:00:00;  22,7
01.11.1953 12:00:00;  13,0
03.12.1953 12:00:00;  3,85
06.01.1954 12:00:00;  1,65
23.02.1954 12:00:00;  1,17
31.03.1954 12:00:00;  2,25
09.04.1954 12:00:00;  4,97
31.05.1954 12:00:00;  15,8
16.06.1954 12:00:00;  38,8
08.07.1954 12:00:00;  24,6
10.08.1954 12:00:00;  32,7
21.09.1954 12:00:00;  16,4
01.10.1954 12:00:00;  10,5
01.11.1954 12:00:00;  5,06
16.12.1954 12:00:00;  3,04
11.01.1955 12:00:00;  2,25
20.02.1955 12:00:00;  2,10
27.03.1955 12:00:00;  3,55
30.04.1955 12:00:00;  8,06
07.05.1955 12:00:00;  22,2
08.06.1955 12:00:00;  70,0
04.07.1955 12:00:00;  31,6
03.08.1955 12:00:00;  14,1
15.09.1955 12:00:00;  16,5
02.10.1955 12:00:00;  7,16
03.11.1955 12:00:00;  3,98
02.12.1955 12:00:00;  2,87
14.01.1956 12:00:00;  2,10
28.02.1956 12:00:00;  1,59
04.03.1956 12:00:00;  3,38
29.04.1956 12:00:00;  3,98
28.05.1956 12:00:00;  42,2
08.06.1956 12:00:00;  38,2
09.07.1956 12:00:00;  29,9
26.08.1956 12:00:00;  31,0
26.09.1956 12:00:00;  30,5
04.10.1956 12:00:00;  15,1
01.11.1956 12:00:00;  5,80
03.12.1956 12:00:00;  3,58
06.01.1957 12:00:00;  2,10
04.02.1957 12:00:00;  1,95
29.03.1957 12:00:00;  3,98
30.04.1957 12:00:00;  9,42
20.05.1957 12:00:00;  18,4
12.06.1957 12:00:00;   145
28.07.1957 12:00:00;  40,0
14.08.1957 12:00:00;  35,8
02.09.1957 12:00:00;  16,7
01.10.1957 12:00:00;  7,93
07.11.1957 12:00:00;  5,70
02.12.1957 12:00:00;  3,71
31.01.1958 12:00:00;  2,50
18.02.1958 12:00:00;  2,95
31.03.1958 12:00:00;  2,65
30.04.1958 12:00:00;  4,95
28.05.1958 12:00:00;  62,0
21.06.1958 12:00:00;  37,0
03.07.1958 12:00:00;  31,6
03.08.1958 12:00:00;  40,0
