Messstelle:                ;Grieskirchen
HZB-Nummer:                ;205013
HD-Nummer:                 ;3680
DBMS-Nummer:               ;4001050
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;135,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00330,63
   01.04.1985              ;00329,93
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1958              ;486685,00 - 344155,00
   22.06.2009              ;486671,00 - 344161,00
   01.01.2020              ;486667,61 - 344149,70
Exportzeitreihe:           ;(4001050,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.01.1961 12:00,01.01.2022 00:00]
Werte:
08.01.1961 12:00:00;  1,05
09.02.1961 12:00:00;  43,0
02.03.1961 12:00:00;  3,52
01.04.1961 12:00:00;  2,24
13.05.1961 12:00:00;  9,20
09.06.1961 12:00:00;  3,70
05.07.1961 12:00:00; 0,910
13.08.1961 12:00:00;  4,06
07.09.1961 12:00:00; 0,420
27.10.1961 12:00:00; 0,910
13.11.1961 12:00:00;  1,14
12.12.1961 12:00:00;  41,2
13.01.1962 12:00:00;  19,4
05.02.1962 12:00:00;  24,1
30.03.1962 12:00:00;  3,28
07.04.1962 12:00:00;  2,61
14.05.1962 12:00:00;  39,0
02.06.1962 12:00:00;  8,30
04.07.1962 12:00:00;  4,18
08.08.1962 12:00:00; 0,560
18.09.1962 12:00:00; 0,900
30.10.1962 12:00:00;  1,18
01.11.1962 12:00:00;  2,87
16.12.1962 12:00:00;  34,2
03.01.1963 12:00:00; 0,720
04.02.1963 12:00:00; 0,340
19.03.1963 12:00:00;  42,0
01.04.1963 12:00:00;  3,14
04.05.1963 12:00:00;  2,87
26.06.1963 12:00:00; 0,970
04.07.1963 12:00:00; 0,900
31.08.1963 12:00:00; 0,460
28.09.1963 12:00:00;  1,55
08.10.1963 12:00:00; 0,720
21.11.1963 12:00:00;  5,45
29.12.1963 12:00:00; 0,990
01.01.1964 12:00:00; 0,610
02.02.1964 12:00:00;  13,3
22.03.1964 12:00:00;  28,6
05.04.1964 12:00:00;  7,22
09.05.1964 12:00:00;  8,00
07.06.1964 12:00:00;  1,63
29.07.1964 12:00:00; 0,990
11.08.1964 12:00:00;  1,29
06.09.1964 12:00:00; 0,860
22.10.1964 12:00:00;  8,00
18.11.1964 12:00:00;  68,0
08.12.1964 12:00:00;  5,20
14.01.1965 12:00:00;  31,4
08.02.1965 12:00:00;  2,40
22.03.1965 12:00:00;  21,5
17.04.1965 12:00:00;  6,70
13.05.1965 12:00:00;  24,3
10.06.1965 12:00:00;  39,0
02.07.1965 12:00:00;  1,46
25.08.1965 12:00:00;  4,20
07.09.1965 12:00:00;  1,29
09.10.1965 12:00:00; 0,610
05.11.1965 12:00:00;  1,12
18.12.1965 12:00:00;  20,1
27.01.1966 12:00:00;  5,20
09.02.1966 12:00:00;  34,4
01.03.1966 12:00:00;  6,70
17.04.1966 12:00:00;  8,00
28.05.1966 12:00:00;  2,83
30.06.1966 12:00:00;  20,1
23.07.1966 12:00:00;  25,7
19.08.1966 12:00:00;  57,0
04.09.1966 12:00:00;  6,20
30.10.1966 12:00:00;  3,05
18.11.1966 12:00:00;  1,97
11.12.1966 12:00:00;  37,4
26.01.1967 12:00:00;  18,7
02.02.1967 12:00:00;  8,00
21.03.1967 12:00:00;  8,00
06.04.1967 12:00:00;  9,30
04.05.1967 12:00:00;  1,63
09.06.1967 12:00:00;  21,5
08.07.1967 12:00:00; 0,740
25.08.1967 12:00:00;  1,29
17.09.1967 12:00:00;  1,63
01.10.1967 12:00:00;  1,29
17.11.1967 12:00:00;  1,97
23.12.1967 12:00:00;  26,0
16.01.1968 12:00:00;  68,0
21.02.1968 12:00:00;  3,74
07.03.1968 12:00:00;  4,70
01.04.1968 12:00:00;  1,12
13.05.1968 12:00:00;  1,29
21.06.1968 12:00:00;  3,74
25.07.1968 12:00:00;  16,0
08.08.1968 12:00:00;  20,1
24.09.1968 12:00:00;  6,70
03.10.1968 12:00:00;  21,5
25.11.1968 12:00:00;  3,05
23.12.1968 12:00:00;  2,19
31.01.1969 12:00:00;  6,70
01.02.1969 12:00:00;  8,00
12.03.1969 12:00:00;  3,05
01.04.1969 12:00:00;  3,05
02.05.1969 12:00:00; 0,860
08.06.1969 12:00:00;  9,30
01.07.1969 12:00:00;  4,20
16.08.1969 12:00:00;  1,12
16.09.1969 12:00:00;  8,00
01.10.1969 12:00:00; 0,480
29.11.1969 12:00:00;  1,29
02.12.1969 12:00:00; 0,990
17.01.1970 12:00:00;  1,29
22.02.1970 12:00:00;  96,0
19.03.1970 12:00:00;  9,30
15.04.1970 12:00:00;  2,83
18.05.1970 12:00:00;  5,45
18.06.1970 12:00:00;  31,4
09.07.1970 12:00:00;  8,00
10.08.1970 12:00:00;  25,7
01.09.1970 12:00:00;  1,29
04.10.1970 12:00:00;  21,5
22.11.1970 12:00:00;  40,4
04.12.1970 12:00:00;  5,45
29.01.1971 12:00:00;  3,05
12.02.1971 12:00:00;  2,83
23.03.1971 12:00:00;  26,0
28.04.1971 12:00:00;  11,9
03.05.1971 12:00:00;  2,19
20.06.1971 12:00:00;  3,74
15.07.1971 12:00:00; 0,740
27.08.1971 12:00:00;  1,12
30.09.1971 12:00:00;  1,63
05.10.1971 12:00:00; 0,740
19.11.1971 12:00:00;  4,20
21.12.1971 12:00:00;  4,70
03.01.1972 12:00:00; 0,740
13.02.1972 12:00:00;  1,97
01.03.1972 12:00:00;  1,46
17.04.1972 12:00:00;  10,6
28.05.1972 12:00:00;  1,97
16.06.1972 12:00:00;  22,0
16.07.1972 12:00:00;  3,05
05.08.1972 12:00:00;  6,70
11.09.1972 12:00:00;  1,63
29.10.1972 12:00:00;  1,12
18.11.1972 12:00:00;  13,3
01.12.1972 12:00:00;  1,29
29.01.1973 12:00:00;  16,0
22.02.1973 12:00:00;  9,30
08.03.1973 12:00:00;  6,70
20.04.1973 12:00:00;  8,00
10.05.1973 12:00:00;  4,45
29.06.1973 12:00:00;  11,9
01.07.1973 12:00:00;  1,42
