Messstelle:                ;Au St. Georgen
HZB-Nummer:                ;203547
HD-Nummer:                 ;
DBMS-Nummer:               ;5001049
Gewässer:                  ;Moosache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;88,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00382,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1921              ;415980,00 - 317690,00
Exportzeitreihe:           ;(5001049,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  7,00
14.02.1951 12:00:00;  2,43
29.03.1951 12:00:00;  2,43
01.04.1951 12:00:00;  1,86
12.05.1951 12:00:00;  4,26
10.06.1951 12:00:00;  2,61
18.07.1951 12:00:00;  2,96
05.08.1951 12:00:00; 0,820
16.09.1951 12:00:00; 0,290
28.10.1951 12:00:00; 0,220
25.11.1951 12:00:00; 0,610
17.12.1951 12:00:00;  3,31
28.01.1952 12:00:00;  2,43
29.02.1952 12:00:00;  3,31
06.03.1952 12:00:00;  9,20
05.04.1952 12:00:00;  1,63
28.05.1952 12:00:00; 0,980
27.06.1952 12:00:00; 0,980
02.07.1952 12:00:00; 0,290
04.08.1952 12:00:00; 0,250
13.09.1952 12:00:00; 0,320
27.10.1952 12:00:00;  3,90
12.11.1952 12:00:00;  3,36
02.12.1952 12:00:00;  2,83
30.01.1953 12:00:00;  2,66
24.02.1953 12:00:00;  4,44
01.03.1953 12:00:00;  1,63
30.04.1953 12:00:00;  1,08
10.05.1953 12:00:00; 0,900
28.06.1953 12:00:00;  5,00
20.07.1953 12:00:00;  7,20
01.08.1953 12:00:00;  4,26
29.09.1953 12:00:00; 0,480
24.10.1953 12:00:00; 0,480
19.11.1953 12:00:00; 0,980
29.12.1953 12:00:00; 0,480
21.01.1954 12:00:00;  10,3
28.02.1954 12:00:00;  9,70
01.03.1954 12:00:00;  6,96
04.04.1954 12:00:00;  5,35
08.05.1954 12:00:00;  14,4
07.06.1954 12:00:00;  1,07
09.07.1954 12:00:00;  35,0
10.08.1954 12:00:00;  1,76
28.09.1954 12:00:00;  13,5
12.10.1954 12:00:00;  15,1
04.11.1954 12:00:00;  4,70
27.12.1954 12:00:00;  5,38
13.01.1955 12:00:00;  11,7
09.02.1955 12:00:00;  8,34
24.03.1955 12:00:00;  6,73
10.04.1955 12:00:00;  22,0
03.05.1955 12:00:00;  4,62
28.06.1955 12:00:00;  6,42
08.07.1955 12:00:00;  16,7
02.08.1955 12:00:00;  7,34
01.09.1955 12:00:00;  1,83
29.10.1955 12:00:00;  2,70
01.11.1955 12:00:00; 0,810
28.12.1955 12:00:00;  8,72
28.01.1956 12:00:00;  4,62
01.02.1956 12:00:00;  1,32
04.03.1956 12:00:00;  11,3
03.04.1956 12:00:00;  1,84
13.05.1956 12:00:00;  5,27
23.06.1956 12:00:00;  3,94
01.07.1956 12:00:00;  3,52
23.08.1956 12:00:00;  5,72
14.09.1956 12:00:00;  7,30
29.10.1956 12:00:00;  5,95
01.11.1956 12:00:00;  3,94
08.12.1956 12:00:00;  5,95
20.01.1957 12:00:00;  1,39
25.02.1957 12:00:00;  15,0
29.03.1957 12:00:00;  3,77
20.04.1957 12:00:00;  7,89
23.05.1957 12:00:00;  3,23
06.06.1957 12:00:00;  2,31
23.07.1957 12:00:00;  11,8
01.08.1957 12:00:00;  2,19
30.09.1957 12:00:00;  2,86
16.10.1957 12:00:00;  1,72
12.11.1957 12:00:00; 0,870
09.12.1957 12:00:00;  2,31
07.01.1958 12:00:00;  3,17
17.02.1958 12:00:00;  10,2
29.03.1958 12:00:00;  12,0
05.04.1958 12:00:00;  9,05
16.05.1958 12:00:00;  1,83
29.06.1958 12:00:00;  15,0
01.07.1958 12:00:00;  7,22
03.08.1958 12:00:00;  2,15
22.09.1958 12:00:00;  2,89
21.10.1958 12:00:00;  7,03
05.11.1958 12:00:00;  1,74
29.12.1958 12:00:00;  6,44
07.01.1959 12:00:00;  4,61
27.02.1959 12:00:00;  3,04
08.03.1959 12:00:00;  5,15
19.04.1959 12:00:00;  13,7
30.05.1959 12:00:00;  5,15
14.06.1959 12:00:00;  22,0
16.07.1959 12:00:00;  25,0
13.08.1959 12:00:00;  21,2
11.09.1959 12:00:00; 0,750
09.10.1959 12:00:00;  3,06
17.11.1959 12:00:00; 0,750
31.12.1959 12:00:00;  1,76
12.01.1960 12:00:00;  3,06
26.02.1960 12:00:00;  6,60
02.03.1960 12:00:00;  10,0
09.04.1960 12:00:00;  1,63
23.05.1960 12:00:00;  5,83
27.06.1960 12:00:00;  2,75
19.07.1960 12:00:00;  4,91
06.08.1960 12:00:00;  7,38
07.09.1960 12:00:00;  3,14
18.10.1960 12:00:00;  1,55
06.11.1960 12:00:00;  1,68
20.12.1960 12:00:00; 0,910
31.01.1961 12:00:00;  2,50
09.02.1961 12:00:00;  5,39
15.03.1961 12:00:00;  5,20
30.04.1961 12:00:00;  2,36
16.05.1961 12:00:00;  8,00
04.06.1961 12:00:00;  3,14
20.07.1961 12:00:00;  1,00
18.08.1961 12:00:00;  3,38
04.09.1961 12:00:00; 0,540
26.10.1961 12:00:00; 0,830
04.11.1961 12:00:00; 0,750
14.12.1961 12:00:00;  6,60
27.01.1962 12:00:00;  6,60
05.02.1962 12:00:00;  4,91
12.03.1962 12:00:00;  2,90
01.04.1962 12:00:00; 0,980
26.05.1962 12:00:00;  8,20
02.06.1962 12:00:00;  5,27
04.07.1962 12:00:00;  2,75
01.08.1962 12:00:00; 0,600
24.09.1962 12:00:00;  1,19
01.10.1962 12:00:00; 0,750
02.11.1962 12:00:00; 0,750
16.12.1962 12:00:00;  6,21
02.01.1963 12:00:00; 0,600
28.02.1963 12:00:00; 0,300
16.03.1963 12:00:00;  5,80
01.04.1963 12:00:00;  2,75
05.05.1963 12:00:00;  4,21
23.06.1963 12:00:00;  4,21
02.07.1963 12:00:00;  1,76
30.08.1963 12:00:00;  2,02
27.09.1963 12:00:00;  3,22
08.10.1963 12:00:00;  1,29
17.11.1963 12:00:00;  3,87
02.12.1963 12:00:00;  1,63
01.01.1964 12:00:00; 0,600
03.02.1964 12:00:00;  5,27
22.03.1964 12:00:00;  6,23
05.04.1964 12:00:00;  2,62
09.05.1964 12:00:00;  3,75
07.06.1964 12:00:00;  1,30
10.07.1964 12:00:00; 0,660
31.08.1964 12:00:00; 0,810
08.09.1964 12:00:00;  1,09
09.10.1964 12:00:00;  6,31
18.11.1964 12:00:00;  7,20
08.12.1964 12:00:00;  2,36
10.01.1965 12:00:00;  5,02
01.02.1965 12:00:00;  1,18
22.03.1965 12:00:00;  8,45
22.04.1965 12:00:00;  9,90
24.05.1965 12:00:00;  5,57
10.06.1965 12:00:00;  13,0
26.07.1965 12:00:00;  1,55
25.08.1965 12:00:00;  2,82
20.09.1965 12:00:00;  1,09
03.10.1965 12:00:00; 0,910
28.11.1965 12:00:00; 0,670
18.12.1965 12:00:00;  5,02
28.01.1966 12:00:00;  1,94
08.02.1966 12:00:00;  5,02
01.03.1966 12:00:00;  3,82
17.04.1966 12:00:00;  3,99
08.05.1966 12:00:00;  4,50
30.06.1966 12:00:00;  8,70
01.07.1966 12:00:00;  8,25
16.08.1966 12:00:00;  7,06
09.09.1966 12:00:00;  4,85
30.10.1966 12:00:00;  2,98
01.11.1966 12:00:00;  1,55
11.12.1966 12:00:00;  6,49
01.01.1967 12:00:00;  5,02
22.02.1967 12:00:00;  2,66
21.03.1967 12:00:00;  3,99
05.04.1967 12:00:00;  6,12
