Messstelle:                ;Saalfelden
HZB-Nummer:                ;203471
HD-Nummer:                 ;
DBMS-Nummer:               ;5001042
Gewässer:                  ;Urslau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;119,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00730,20
   27.10.2010              ;00730,94
   06.07.2011              ;00729,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1950              ;412700,00 - 254410,00
Exportzeitreihe:           ;(5001042,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  2,62
19.02.1951 12:00:00;  2,62
20.03.1951 12:00:00;  7,30
28.04.1951 12:00:00;  14,3
05.05.1951 12:00:00;  20,0
10.06.1951 12:00:00;  10,6
17.07.1951 12:00:00;  18,3
11.08.1951 12:00:00;  6,70
27.09.1951 12:00:00;  3,50
02.10.1951 12:00:00;  1,44
12.11.1951 12:00:00;  8,80
17.12.1951 12:00:00;  5,34
08.01.1952 12:00:00;  1,67
03.02.1952 12:00:00;  1,44
31.03.1952 12:00:00;  22,5
16.04.1952 12:00:00;  29,0
25.05.1952 12:00:00;  20,3
26.06.1952 12:00:00;  22,5
29.07.1952 12:00:00;  9,50
22.08.1952 12:00:00;  8,80
08.09.1952 12:00:00;  8,80
26.10.1952 12:00:00;  14,3
04.11.1952 12:00:00;  6,10
02.12.1952 12:00:00;  7,00
22.01.1953 12:00:00;  1,90
07.02.1953 12:00:00;  1,67
31.03.1953 12:00:00;  5,86
28.04.1953 12:00:00;  10,0
23.05.1953 12:00:00;  29,9
26.06.1953 12:00:00;  6,90
09.07.1953 12:00:00;  54,0
03.08.1953 12:00:00;  17,2
02.09.1953 12:00:00;  2,50
05.10.1953 12:00:00;  2,35
02.11.1953 12:00:00;  1,31
20.12.1953 12:00:00; 0,840
21.01.1954 12:00:00;  17,2
28.02.1954 12:00:00;  1,02
21.03.1954 12:00:00;  6,12
04.04.1954 12:00:00;  25,5
19.05.1954 12:00:00;  20,4
07.06.1954 12:00:00;  17,2
02.07.1954 12:00:00;  70,0
10.08.1954 12:00:00;  29,9
27.09.1954 12:00:00;  6,90
07.10.1954 12:00:00;  17,2
10.11.1954 12:00:00;  4,40
29.12.1954 12:00:00;  3,35
13.01.1955 12:00:00;  2,35
09.02.1955 12:00:00;  1,53
27.03.1955 12:00:00;  19,2
30.04.1955 12:00:00;  27,7
01.05.1955 12:00:00;  29,9
21.06.1955 12:00:00;  19,2
23.07.1955 12:00:00;  44,0
03.08.1955 12:00:00;  12,3
15.09.1955 12:00:00;  8,80
07.10.1955 12:00:00;  4,65
01.11.1955 12:00:00;  1,90
29.12.1955 12:00:00;  3,50
10.01.1956 12:00:00;  1,78
04.02.1956 12:00:00;  1,44
03.03.1956 12:00:00;  39,0
17.04.1956 12:00:00;  12,3
11.05.1956 12:00:00;  14,3
19.06.1956 12:00:00;  22,5
03.07.1956 12:00:00;  10,2
21.08.1956 12:00:00;  24,6
13.09.1956 12:00:00;  23,7
07.10.1956 12:00:00;  3,73
07.11.1956 12:00:00;  3,96
08.12.1956 12:00:00;  18,3
07.01.1957 12:00:00;  3,50
26.02.1957 12:00:00;  4,42
22.03.1957 12:00:00;  15,0
20.04.1957 12:00:00;  10,2
01.05.1957 12:00:00;  12,3
05.06.1957 12:00:00;  9,50
23.07.1957 12:00:00;  45,0
22.08.1957 12:00:00;  21,2
18.09.1957 12:00:00;  8,80
01.10.1957 12:00:00;  3,32
12.11.1957 12:00:00;  1,90
14.12.1957 12:00:00;  2,33
08.01.1958 12:00:00;  1,03
17.02.1958 12:00:00;  25,0
31.03.1958 12:00:00;  3,01
05.04.1958 12:00:00;  14,2
12.05.1958 12:00:00;  17,2
29.06.1958 12:00:00;  17,2
23.07.1958 12:00:00;  10,0
13.08.1958 12:00:00;  4,64
23.09.1958 12:00:00;  5,60
15.10.1958 12:00:00;  10,0
12.11.1958 12:00:00;  13,5
29.12.1958 12:00:00;  4,19
02.01.1959 12:00:00;  1,90
28.02.1959 12:00:00;  1,53
08.03.1959 12:00:00;  8,40
19.04.1959 12:00:00;  34,5
02.05.1959 12:00:00;  5,86
14.06.1959 12:00:00;  63,2
01.07.1959 12:00:00;  32,4
13.08.1959 12:00:00;  95,0
01.09.1959 12:00:00;  3,25
02.10.1959 12:00:00;  1,40
19.11.1959 12:00:00;  1,40
31.12.1959 12:00:00;  1,00
30.01.1960 12:00:00;  1,30
29.02.1960 12:00:00;  3,05
31.03.1960 12:00:00;  7,66
10.04.1960 12:00:00;  9,58
15.05.1960 12:00:00;  13,0
29.06.1960 12:00:00;  8,60
12.07.1960 12:00:00;  23,0
01.08.1960 12:00:00;  23,0
06.09.1960 12:00:00;  11,6
22.10.1960 12:00:00;  3,65
07.11.1960 12:00:00;  3,05
07.12.1960 12:00:00;  2,06
04.01.1961 12:00:00;  1,30
28.02.1961 12:00:00;  2,06
14.03.1961 12:00:00;  11,2
11.04.1961 12:00:00;  11,2
15.05.1961 12:00:00;  34,9
08.06.1961 12:00:00;  19,6
20.07.1961 12:00:00;  7,95
18.08.1961 12:00:00;  13,0
01.09.1961 12:00:00;  2,20
08.10.1961 12:00:00;  1,10
13.11.1961 12:00:00;  2,88
12.12.1961 12:00:00;  65,0
27.01.1962 12:00:00;  2,12
14.02.1962 12:00:00;  1,37
06.03.1962 12:00:00;  3,24
22.04.1962 12:00:00;  28,4
15.05.1962 12:00:00;  24,1
21.06.1962 12:00:00;  12,3
29.07.1962 12:00:00;  13,1
18.08.1962 12:00:00;  34,0
18.09.1962 12:00:00;  4,65
03.10.1962 12:00:00;  2,04
06.11.1962 12:00:00;  3,50
16.12.1962 12:00:00;  2,04
31.01.1963 12:00:00;  1,32
25.02.1963 12:00:00;  1,67
31.03.1963 12:00:00;  4,19
22.04.1963 12:00:00;  12,3
03.05.1963 12:00:00;  8,20
21.06.1963 12:00:00;  14,3
06.07.1963 12:00:00;  4,65
18.08.1963 12:00:00;  29,0
07.09.1963 12:00:00;  5,20
05.10.1963 12:00:00;  3,65
21.11.1963 12:00:00;  2,71
05.12.1963 12:00:00;  1,50
28.01.1964 12:00:00;  1,00
03.02.1964 12:00:00;  1,50
27.03.1964 12:00:00;  2,71
22.04.1964 12:00:00;  7,66
09.05.1964 12:00:00;  23,0
08.06.1964 12:00:00;  14,8
11.07.1964 12:00:00;  9,25
11.08.1964 12:00:00;  11,2
08.09.1964 12:00:00;  6,50
30.10.1964 12:00:00;  7,95
18.11.1964 12:00:00;  61,0
01.12.1964 12:00:00;  5,22
11.01.1965 12:00:00;  1,79
08.02.1965 12:00:00;  1,25
29.03.1965 12:00:00;  12,3
09.04.1965 12:00:00;  11,7
19.05.1965 12:00:00;  52,0
17.06.1965 12:00:00;  52,0
26.07.1965 12:00:00;  22,1
01.08.1965 12:00:00;  39,8
19.09.1965 12:00:00;  14,8
01.10.1965 12:00:00;  3,65
22.11.1965 12:00:00;  1,64
22.12.1965 12:00:00;  3,65
28.01.1966 12:00:00;  1,50
21.02.1966 12:00:00;  11,2
01.03.1966 12:00:00;  7,95
11.04.1966 12:00:00;  18,7
28.05.1966 12:00:00;  23,9
12.06.1966 12:00:00;  32,4
23.07.1966 12:00:00;  47,4
18.08.1966 12:00:00;  74,0
01.09.1966 12:00:00;  9,10
20.10.1966 12:00:00;  1,65
