Messstelle:                ;Imbach
HZB-Nummer:                ;207878
HD-Nummer:                 ;no170
DBMS-Nummer:               ;3001027
Gewässer:                  ;Krems
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;305,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00230,40
   23.09.2005              ;00230,58
   24.09.2018              ;00230,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1909              ;693370,00 - 367745,00
Exportzeitreihe:           ;(3001027,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[02.01.1951 12:00,01.01.2022 00:00]
Werte:
02.01.1951 12:00:00;  3,26
15.02.1951 12:00:00;  4,54
19.03.1951 12:00:00;  8,25
01.04.1951 12:00:00;  2,83
11.05.1951 12:00:00;   110
17.06.1951 12:00:00;  21,2
18.07.1951 12:00:00;  9,34
17.08.1951 12:00:00;  7,86
16.09.1951 12:00:00;  2,72
01.10.1951 12:00:00;  1,44
04.11.1951 12:00:00;  4,86
27.12.1951 12:00:00;  3,50
02.01.1952 12:00:00;  3,70
29.02.1952 12:00:00;  5,38
25.03.1952 12:00:00;  26,0
02.04.1952 12:00:00;  13,9
25.05.1952 12:00:00;  8,96
26.06.1952 12:00:00;  22,2
03.07.1952 12:00:00;  2,00
17.08.1952 12:00:00;  4,62
10.09.1952 12:00:00;  3,50
27.10.1952 12:00:00;  3,50
09.11.1952 12:00:00;  3,30
14.12.1952 12:00:00;  4,14
30.01.1953 12:00:00;  5,66
23.02.1953 12:00:00;  6,50
08.03.1953 12:00:00;  2,54
02.04.1953 12:00:00;  2,00
11.05.1953 12:00:00;  2,00
24.06.1953 12:00:00;  58,0
09.07.1953 12:00:00;  55,5
01.08.1953 12:00:00;  5,94
28.09.1953 12:00:00; 0,950
31.10.1953 12:00:00;  1,22
30.11.1953 12:00:00;  1,04
23.12.1953 12:00:00;  1,64
21.01.1954 12:00:00;  5,10
28.02.1954 12:00:00;  3,10
04.03.1954 12:00:00;  5,10
04.04.1954 12:00:00;  11,4
07.05.1954 12:00:00;  31,0
29.06.1954 12:00:00;  1,88
09.07.1954 12:00:00;  8,96
11.08.1954 12:00:00;  1,31
09.09.1954 12:00:00;  1,64
08.10.1954 12:00:00;  1,40
11.11.1954 12:00:00;  2,36
28.12.1954 12:00:00;  13,5
16.01.1955 12:00:00;  8,96
05.02.1955 12:00:00;  5,94
25.03.1955 12:00:00;  28,8
12.04.1955 12:00:00;  9,72
01.05.1955 12:00:00;  3,50
28.06.1955 12:00:00;  7,18
08.07.1955 12:00:00;  13,5
11.08.1955 12:00:00;  30,0
15.09.1955 12:00:00;  7,52
18.10.1955 12:00:00;  2,54
24.11.1955 12:00:00;  2,00
06.12.1955 12:00:00;  3,90
16.01.1956 12:00:00;  2,00
01.02.1956 12:00:00; 0,570
04.03.1956 12:00:00;  43,2
30.04.1956 12:00:00;  8,58
01.05.1956 12:00:00;  50,0
02.06.1956 12:00:00;  46,2
25.07.1956 12:00:00;  1,40
21.08.1956 12:00:00;  3,70
17.09.1956 12:00:00; 0,690
31.10.1956 12:00:00;  1,64
28.11.1956 12:00:00;  2,36
31.12.1956 12:00:00;  3,50
07.01.1957 12:00:00;  2,54
02.02.1957 12:00:00;  8,20
09.03.1957 12:00:00;  2,54
03.04.1957 12:00:00;  4,59
22.05.1957 12:00:00;  1,51
07.06.1957 12:00:00;  25,1
23.07.1957 12:00:00;  29,0
15.08.1957 12:00:00;  3,80
29.09.1957 12:00:00;  1,73
08.10.1957 12:00:00;  3,15
13.11.1957 12:00:00;  7,46
09.12.1957 12:00:00;  8,10
14.01.1958 12:00:00;  2,38
10.02.1958 12:00:00;  12,7
29.03.1958 12:00:00;  19,5
17.04.1958 12:00:00;  10,1
01.05.1958 12:00:00;  3,11
29.06.1958 12:00:00;  19,1
06.07.1958 12:00:00;  6,06
08.08.1958 12:00:00;  2,47
23.09.1958 12:00:00;  2,47
20.10.1958 12:00:00;  1,64
17.11.1958 12:00:00;  6,70
25.12.1958 12:00:00;  4,84
01.01.1959 12:00:00;  2,65
27.02.1959 12:00:00;  2,88
08.03.1959 12:00:00;  11,9
25.04.1959 12:00:00;  2,65
02.05.1959 12:00:00;  3,57
13.06.1959 12:00:00;  47,8
21.07.1959 12:00:00;   160
13.08.1959 12:00:00;  55,4
03.09.1959 12:00:00;  2,55
18.10.1959 12:00:00;  1,67
15.11.1959 12:00:00;  1,99
31.12.1959 12:00:00;  7,65
01.01.1960 12:00:00;  6,00
29.02.1960 12:00:00;  7,09
26.03.1960 12:00:00;  8,57
01.04.1960 12:00:00;  5,50
23.05.1960 12:00:00;  8,26
11.06.1960 12:00:00;  10,1
12.07.1960 12:00:00;  5,50
24.08.1960 12:00:00;  18,5
22.09.1960 12:00:00;  3,83
02.10.1960 12:00:00;  4,32
07.11.1960 12:00:00;  1,65
26.12.1960 12:00:00;  2,41
31.01.1961 12:00:00;  12,1
10.02.1961 12:00:00;  47,0
13.03.1961 12:00:00;  2,36
25.04.1961 12:00:00;  2,55
29.05.1961 12:00:00;  8,57
03.06.1961 12:00:00;  13,2
16.07.1961 12:00:00;  2,49
06.08.1961 12:00:00;  1,59
19.09.1961 12:00:00; 0,810
21.10.1961 12:00:00;  1,45
13.11.1961 12:00:00;  2,83
13.12.1961 12:00:00;  5,09
22.01.1962 12:00:00;  7,70
13.02.1962 12:00:00;  12,0
30.03.1962 12:00:00;  6,03
01.04.1962 12:00:00;  7,93
14.05.1962 12:00:00;  7,62
21.06.1962 12:00:00; 0,900
18.07.1962 12:00:00;  1,80
16.08.1962 12:00:00; 0,850
18.09.1962 12:00:00;  1,10
30.10.1962 12:00:00;  1,20
11.11.1962 12:00:00;  2,25
17.12.1962 12:00:00;  2,83
03.01.1963 12:00:00; 0,570
14.02.1963 12:00:00; 0,680
13.03.1963 12:00:00;  22,0
01.04.1963 12:00:00;  12,9
12.05.1963 12:00:00;  8,26
26.06.1963 12:00:00;  11,1
04.07.1963 12:00:00;  2,04
30.08.1963 12:00:00;  3,00
10.09.1963 12:00:00;  1,73
27.10.1963 12:00:00;  1,20
21.11.1963 12:00:00;  1,50
12.12.1963 12:00:00; 0,900
13.01.1964 12:00:00; 0,790
04.02.1964 12:00:00;  5,40
24.03.1964 12:00:00;  49,0
05.04.1964 12:00:00;  9,12
31.05.1964 12:00:00;  3,15
06.06.1964 12:00:00;  10,9
18.07.1964 12:00:00;  2,77
23.08.1964 12:00:00;  1,45
09.09.1964 12:00:00; 0,810
21.10.1964 12:00:00;  9,20
19.11.1964 12:00:00;  2,49
20.12.1964 12:00:00;  1,25
08.01.1965 12:00:00;  3,00
