Messstelle:                ;Tetter
HZB-Nummer:                ;210625
HD-Nummer:                 ;ow1022
DBMS-Nummer:               ;6001013
Gewässer:                  ;Untertalbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;65,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01019,47
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1861              ;552096,10 - 249522,30
   01.01.2018              ;552064,70 - 249511,70
Exportzeitreihe:           ;(6001013,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00; 0,600
14.02.1951 12:00:00;  1,18
20.03.1951 12:00:00;  1,72
27.04.1951 12:00:00;  6,93
28.05.1951 12:00:00;  18,5
07.06.1951 12:00:00;  13,8
17.07.1951 12:00:00;  15,7
17.08.1951 12:00:00;  4,12
27.09.1951 12:00:00;  3,88
01.10.1951 12:00:00;  1,72
12.11.1951 12:00:00;  13,3
01.12.1951 12:00:00;  1,18
02.01.1952 12:00:00; 0,640
27.02.1952 12:00:00; 0,550
31.03.1952 12:00:00;  3,22
23.04.1952 12:00:00;  7,80
17.05.1952 12:00:00;  12,5
17.06.1952 12:00:00;  16,0
01.07.1952 12:00:00;  5,54
22.08.1952 12:00:00;  6,65
09.09.1952 12:00:00;  6,51
26.10.1952 12:00:00;  7,95
01.11.1952 12:00:00;  3,32
03.12.1952 12:00:00;  1,12
02.01.1953 12:00:00; 0,640
09.02.1953 12:00:00; 0,500
31.03.1953 12:00:00;  1,72
21.04.1953 12:00:00;  4,75
20.05.1953 12:00:00;  12,5
09.06.1953 12:00:00;  14,7
19.07.1953 12:00:00;  19,0
04.08.1953 12:00:00;  11,0
01.09.1953 12:00:00;  2,19
05.10.1953 12:00:00;  1,72
05.11.1953 12:00:00;  1,12
02.12.1953 12:00:00; 0,690
21.01.1954 12:00:00; 0,890
01.02.1954 12:00:00; 0,510
31.03.1954 12:00:00;  1,37
06.04.1954 12:00:00;  3,54
28.05.1954 12:00:00;  10,9
28.06.1954 12:00:00;  19,9
13.07.1954 12:00:00;  21,0
10.08.1954 12:00:00;  12,6
29.09.1954 12:00:00;  4,37
02.10.1954 12:00:00;  7,35
11.11.1954 12:00:00;  1,64
11.12.1954 12:00:00;  2,11
24.01.1955 12:00:00; 0,890
08.02.1955 12:00:00; 0,720
28.03.1955 12:00:00;  4,24
30.04.1955 12:00:00;  10,4
02.05.1955 12:00:00;  12,8
21.06.1955 12:00:00;  22,0
10.07.1955 12:00:00;  18,2
01.08.1955 12:00:00;  6,35
15.09.1955 12:00:00;  6,65
11.10.1955 12:00:00;  3,88
01.11.1955 12:00:00;  1,44
02.12.1955 12:00:00; 0,890
02.01.1956 12:00:00; 0,720
09.02.1956 12:00:00; 0,460
27.03.1956 12:00:00;  2,02
17.04.1956 12:00:00;  4,72
31.05.1956 12:00:00;  13,1
02.06.1956 12:00:00;  15,0
16.07.1956 12:00:00;  7,94
22.08.1956 12:00:00;  10,2
14.09.1956 12:00:00;  9,34
06.10.1956 12:00:00;  1,70
03.11.1956 12:00:00;  1,24
09.12.1956 12:00:00;  1,06
01.01.1957 12:00:00; 0,620
07.02.1957 12:00:00; 0,940
24.03.1957 12:00:00;  3,25
30.04.1957 12:00:00;  7,94
20.05.1957 12:00:00;  10,5
12.06.1957 12:00:00;  15,5
28.07.1957 12:00:00;  11,3
17.08.1957 12:00:00;  9,48
19.09.1957 12:00:00;  4,38
01.10.1957 12:00:00;  2,10
12.11.1957 12:00:00;  1,12
14.12.1957 12:00:00;  1,06
15.01.1958 12:00:00; 0,560
