Messstelle:                ;Reith
HZB-Nummer:                ;207720
HD-Nummer:                 ;no075
DBMS-Nummer:               ;3001012
Gewässer:                  ;Lassingbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;23,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00798,00
   01.01.1977              ;00793,89
   01.01.1980              ;00793,88
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1964              ;673737,00 - 303308,00
Exportzeitreihe:           ;(3001012,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.03.1976 00:00,01.01.2022 00:00]
Werte:
30.03.1976 19:00:00;  2,40
03.04.1976 17:00:00;  2,85
23.05.1976 07:00:00;  4,74
03.06.1976 07:00:00;  8,06
27.07.1976 06:00:00;  4,37
21.08.1976 17:00:00;  5,54
18.09.1976 13:00:00;  10,1
01.10.1976 00:00:00;  4,26
14.11.1976 23:00:00;  1,27
19.12.1976 22:00:00;  1,00
27.01.1977 15:00:00; 0,927
06.02.1977 00:00:00;  3,00
04.03.1977 05:00:00;  9,07
23.04.1977 10:00:00;  2,96
01.05.1977 09:00:00;  1,54
27.06.1977 13:00:00;  3,08
31.07.1977 23:59:55;  1,38
01.08.1977 11:00:00;  14,3
19.09.1977 15:00:00; 0,562
11.10.1977 07:00:00;  1,27
27.11.1977 20:00:00; 0,476
25.12.1977 04:00:00;  2,79
01.01.1978 00:00:00; 0,615
27.02.1978 20:00:00;  1,70
31.03.1978 17:00:00;  3,00
01.04.1978 19:00:00;  2,46
10.05.1978 04:00:00;  3,14
28.06.1978 10:00:00; 0,817
05.07.1978 16:00:00;  2,92
11.08.1978 20:00:00; 0,381
23.09.1978 18:00:00;  1,40
26.10.1978 08:00:00;  4,17
01.11.1978 00:00:00; 0,632
30.12.1978 18:00:00;  1,66
01.01.1979 00:00:00; 0,715
28.02.1979 09:00:00; 0,473
12.03.1979 18:00:00;  6,76
14.04.1979 18:00:00;  3,13
12.05.1979 20:00:00;  1,94
21.06.1979 03:00:00;  1,14
14.07.1979 23:00:00;  4,14
24.08.1979 20:00:00; 0,917
05.09.1979 07:00:00;  1,84
19.10.1979 16:00:00; 0,699
28.11.1979 15:00:00;  4,65
07.12.1979 09:00:00;  2,61
01.01.1980 00:00:00; 0,479
06.02.1980 13:00:00;  1,84
29.03.1980 22:00:00;  2,22
02.04.1980 07:00:00;  4,72
08.05.1980 22:00:00;  4,33
05.06.1980 06:00:00;  3,42
22.07.1980 08:00:00;  4,21
08.08.1980 19:00:00;  1,56
01.09.1980 11:00:00;  6,06
13.10.1980 03:00:00;  1,91
16.11.1980 10:00:00; 0,691
24.12.1980 17:00:00;  3,45
04.01.1981 00:00:00;  2,30
08.02.1981 08:00:00;  2,17
12.03.1981 08:00:00;  9,79
01.04.1981 00:00:00;  2,44
01.05.1981 09:00:00;  3,13
24.06.1981 10:00:00;  3,56
20.07.1981 10:00:00;  6,65
28.08.1981 09:00:00;  4,89
14.09.1981 01:00:00;  3,31
01.10.1981 00:00:00; 0,989
22.11.1981 09:00:00;  5,16
21.12.1981 10:00:00; 0,867
31.01.1982 04:00:00;  4,39
01.02.1982 00:00:00;  1,56
29.03.1982 19:00:00;  1,79
08.04.1982 23:00:00;  3,45
29.05.1982 07:00:00;  5,00
27.06.1982 19:00:00;  1,38
26.07.1982 19:00:00;  2,46
05.08.1982 10:00:00;  1,93
24.09.1982 04:00:00; 0,499
15.10.1982 10:00:00;  1,21
19.11.1982 06:00:00; 0,568
28.12.1982 13:00:00; 0,724
06.01.1983 00:00:00;  7,60
01.02.1983 00:00:00;  1,88
20.03.1983 06:00:00;  2,97
19.04.1983 15:00:00;  2,99
09.05.1983 14:00:00;  1,25
20.06.1983 06:00:00; 0,666
20.07.1983 21:00:00; 0,433
05.08.1983 11:00:00;  1,73
17.09.1983 06:00:00; 0,657
11.10.1983 23:00:00;  1,01
24.11.1983 08:00:00;  1,76
24.12.1983 07:00:00;  5,97
01.01.1984 08:00:00; 0,979
18.02.1984 05:00:00; 0,588
29.03.1984 17:00:00;  2,11
16.04.1984 18:00:00;  2,91
15.05.1984 04:00:00;  7,87
08.06.1984 18:00:00; 0,632
28.07.1984 16:00:00;  2,97
12.08.1984 12:00:00;  1,81
24.09.1984 11:00:00;  3,78
03.10.1984 22:00:00;  2,13
27.11.1984 09:00:00; 0,616
11.12.1984 15:00:00; 0,321
30.01.1985 08:15:00; 0,979
02.02.1985 12:45:00;  2,65
27.03.1985 22:00:00;  1,81
04.04.1985 17:00:00;  2,85
19.05.1985 05:00:00;  1,86
09.06.1985 07:45:00;  2,13
02.07.1985 13:00:00;  3,31
07.08.1985 01:45:00;  9,41
09.09.1985 17:15:00;  4,54
15.10.1985 11:15:00;  3,19
28.11.1985 11:00:00; 0,950
16.12.1985 02:15:00;  4,23
19.01.1986 14:30:00;  3,58
13.02.1986 00:00:05; 0,699
28.03.1986 17:15:00;  1,51
09.04.1986 16:00:00;  6,48
01.05.1986 00:00:00;  1,42
14.06.1986 23:00:00;  4,59
02.07.1986 07:45:00; 0,632
12.08.1986 17:15:00; 0,741
10.09.1986 16:15:00; 0,791
27.10.1986 21:45:00; 0,691
03.11.1986 06:45:00; 0,808
30.12.1986 00:00:05;  5,56
13.01.1987 06:00:00;  6,93
09.02.1987 12:15:00;  5,00
01.03.1987 17:15:00;  4,46
11.04.1987 06:15:00;  5,81
06.05.1987 23:30:00;  5,00
22.06.1987 07:30:00;  5,00
08.07.1987 19:15:00;  1,05
03.08.1987 07:45:00;  5,00
27.09.1987 17:45:00; 0,783
24.10.1987 04:00:00; 0,547
25.11.1987 07:15:00;  1,14
18.12.1987 13:30:00;  7,51
01.01.1988 08:30:00; 0,699
07.02.1988 19:30:00; 0,478
22.03.1988 01:30:00;  2,19
09.04.1988 04:15:00;  7,81
01.05.1988 15:15:00;  3,09
06.06.1988 07:30:00;  3,51
02.07.1988 13:00:00; 0,616
03.08.1988 17:00:00; 0,950
16.09.1988 08:45:00;  5,27
25.10.1988 06:15:00; 0,783
19.11.1988 11:15:00;  1,88
25.12.1988 02:30:00;  5,00
01.01.1989 04:45:00; 0,950
20.02.1989 00:15:00;  3,97
14.03.1989 02:30:00;  3,09
01.04.1989 19:30:00;  2,71
06.05.1989 18:45:00;  5,27
18.06.1989 17:00:00;  13,5
28.07.1989 14:15:00;  3,09
30.08.1989 07:00:00;  12,5
16.09.1989 11:45:00;  3,73
31.10.1989 23:59:55;  3,51
01.11.1989 03:15:00;  5,54
19.12.1989 18:30:00;  1,25
21.01.1990 15:00:00; 0,699
15.02.1990 18:45:00;  2,71
11.03.1990 01:00:00;  7,81
28.04.1990 04:45:00;  2,71
23.05.1990 18:30:00;  1,49
11.06.1990 16:30:00;  3,29
10.07.1990 18:15:00;  8,40
22.08.1990 17:15:00; 0,699
12.09.1990 01:45:00;  3,29
02.10.1990 07:15:00;  1,05
23.11.1990 19:15:00;  1,61
10.12.1990 18:00:00; 0,950
03.01.1991 11:00:00;  4,46
24.02.1991 17:45:00; 0,616
08.03.1991 17:45:00;  2,35
26.04.1991 20:30:00;  1,05
26.05.1991 17:45:00;  5,00
14.06.1991 09:45:00;  1,25
28.07.1991 06:30:00;  14,2
03.08.1991 18:00:00;  14,2
17.09.1991 15:30:00; 0,547
25.10.1991 10:30:00;  1,14
16.11.1991 23:45:00; 0,699
23.12.1991 07:30:00;  10,6
06.01.1992 04:45:00;  1,49
06.02.1992 07:15:00;  1,61
21.03.1992 11:45:00;  7,22
20.04.1992 00:00:00;  3,29
01.05.1992 05:15:00;  2,52
03.06.1992 23:45:00;  3,73
13.07.1992 02:45:00; 0,616
15.08.1992 01:30:00; 0,321
06.09.1992 15:30:00;  1,88
26.10.1992 20:45:00; 0,783
23.11.1992 12:15:00;  8,40
01.12.1992 00:00:00;  1,54
08.01.1993 20:00:00;  8,10
06.02.1993 22:45:00; 0,699
18.03.1993 17:30:00;  6,09
19.04.1993 15:00:00;  7,51
01.05.1993 00:00:00;  1,33
28.06.1993 01:30:00;  3,09
28.07.1993 11:30:00;  3,29
31.08.1993 10:15:00;  3,73
01.09.1993 10:00:00;  6,93
24.10.1993 01:45:00;  3,51
15.11.1993 01:45:00; 0,867
20.12.1993 13:45:00;  6,37
26.01.1994 03:30:00;  3,51
16.02.1994 10:30:00; 0,950
09.03.1994 07:30:00;  4,72
18.04.1994 07:00:00;  7,51
26.05.1994 18:15:00;  3,73
17.06.1994 13:15:00;  5,00
10.07.1994 13:15:00;  1,05
22.08.1994 20:00:00;  1,36
01.09.1994 06:15:00;  8,10
25.10.1994 00:00:00; 0,547
20.11.1994 13:30:00;  3,51
29.12.1994 02:30:00;  6,65
26.01.1995 07:00:00;  1,25
07.02.1995 17:30:00;  2,19
26.03.1995 21:30:00;  2,89
02.04.1995 07:15:00;  7,51
01.05.1995 20:45:00;  2,19
27.06.1995 01:15:00;  8,10
01.07.1995 05:00:00;  1,14
29.08.1995 23:30:00;  2,04
02.09.1995 08:15:00;  6,37
02.10.1995 09:45:00;  1,75
17.11.1995 23:45:00;  2,35
24.12.1995 15:30:00;  1,05
17.01.1996 09:00:00; 0,950
01.02.1996 07:00:00; 0,950
25.03.1996 19:15:00;  1,25
22.04.1996 17:45:00;  5,00
13.05.1996 08:45:00;  5,00
30.06.1996 00:30:00;  2,04
12.07.1996 08:30:00;  4,46
17.08.1996 03:15:00;  1,49
08.09.1996 05:00:00;  11,5
22.10.1996 03:30:00;  15,9
01.11.1996 17:00:00;  1,61
01.12.1996 11:00:00; 0,478
03.01.1997 13:52:45; 0,322
26.02.1997 19:46:15;  1,19
17.03.1997 13:27:30;  10,3
06.04.1997 09:46:00;  4,81
01.05.1997 00:21:05;  3,14
23.06.1997 09:59:35;  3,94
08.07.1997 00:59:30;  24,6
01.08.1997 04:35:30;  2,22
04.09.1997 22:46:10; 0,858
03.10.1997 03:50:35;  1,61
14.11.1997 18:52:05; 0,723
13.12.1997 01:45:05;  2,47
10.01.1998 08:08:55; 0,913
17.02.1998 19:41:20;  1,86
17.03.1998 14:49:25;  5,57
02.04.1998 06:43:15;  2,96
