Messstelle:                ;Steinach am Brenner
HZB-Nummer:                ;201566
HD-Nummer:                 ;
DBMS-Nummer:               ;7001053
Gewässer:                  ;Gschnitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;111,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1937              ;01041,84
   12.06.1963              ;01039,76
   01.01.1979              ;01039,74
   01.01.1981              ;01039,75
   12.05.2009              ;01039,73
   19.04.2022              ;01039,69
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.06.1963              ;235950,26 - 217728,34
   19.04.2022              ;235951,57 - 217718,94
Exportzeitreihe:           ;(7001053,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1951 12:00,01.01.2022 00:00]
Werte:
22.01.1951 12:00:00;  1,30
28.02.1951 12:00:00;  1,60
31.03.1951 12:00:00;  2,27
19.04.1951 12:00:00;  4,22
28.05.1951 12:00:00;  21,8
24.06.1951 12:00:00;  19,9
24.07.1951 12:00:00;  15,2
09.08.1951 12:00:00;  43,0
01.09.1951 12:00:00;  7,37
18.10.1951 12:00:00;  2,27
24.11.1951 12:00:00;  3,54
03.12.1951 12:00:00;  2,75
06.01.1952 12:00:00;  1,60
29.02.1952 12:00:00;  1,10
31.03.1952 12:00:00;  2,27
21.04.1952 12:00:00;  5,50
12.05.1952 12:00:00;  5,50
19.06.1952 12:00:00;  8,20
03.07.1952 12:00:00;  6,82
25.08.1952 12:00:00;  5,50
12.09.1952 12:00:00;  11,0
26.10.1952 12:00:00;  9,65
02.11.1952 12:00:00;  4,22
08.12.1952 12:00:00;  2,27
08.01.1953 12:00:00;  1,73
28.02.1953 12:00:00;  1,50
31.03.1953 12:00:00;  2,27
13.04.1953 12:00:00;  3,14
28.05.1953 12:00:00;  9,07
25.06.1953 12:00:00;  11,0
10.07.1953 12:00:00;  11,0
22.08.1953 12:00:00;  8,20
30.09.1953 12:00:00;  4,22
28.10.1953 12:00:00;  9,07
01.11.1953 12:00:00;  3,76
04.12.1953 12:00:00;  2,27
23.01.1954 12:00:00;  1,60
28.02.1954 12:00:00;  1,60
26.03.1954 12:00:00;  2,27
30.04.1954 12:00:00;  2,27
28.05.1954 12:00:00;  14,5
10.06.1954 12:00:00;  27,0
02.07.1954 12:00:00;  12,5
22.08.1954 12:00:00;  26,3
14.09.1954 12:00:00;  7,65
01.10.1954 12:00:00;  4,48
07.11.1954 12:00:00;  3,14
11.12.1954 12:00:00;  4,73
13.01.1955 12:00:00;  2,42
10.02.1955 12:00:00;  2,13
29.03.1955 12:00:00;  2,42
30.04.1955 12:00:00;  6,29
07.05.1955 12:00:00;  10,3
08.06.1955 12:00:00;  32,0
22.07.1955 12:00:00;  13,1
05.08.1955 12:00:00;  8,20
11.09.1955 12:00:00;  11,2
22.10.1955 12:00:00;  5,50
12.11.1955 12:00:00;  4,22
02.12.1955 12:00:00;  2,75
02.01.1956 12:00:00;  2,27
15.02.1956 12:00:00;  2,00
23.03.1956 12:00:00;  4,48
18.04.1956 12:00:00;  3,76
30.05.1956 12:00:00;  15,6
08.06.1956 12:00:00;  18,1
20.07.1956 12:00:00;  14,2
23.08.1956 12:00:00;  13,5
26.09.1956 12:00:00;  39,0
04.10.1956 12:00:00;  5,76
06.11.1956 12:00:00;  4,22
09.12.1956 12:00:00;  2,94
11.01.1957 12:00:00;  2,27
09.02.1957 12:00:00;  2,13
31.03.1957 12:00:00;  2,58
30.04.1957 12:00:00;  4,22
20.05.1957 12:00:00;  6,29
13.06.1957 12:00:00;  23,0
20.07.1957 12:00:00;  13,5
14.08.1957 12:00:00;  24,0
02.09.1957 12:00:00;  5,75
01.10.1957 12:00:00;  3,62
14.11.1957 12:00:00;  2,80
16.12.1957 12:00:00;  1,66
07.01.1958 12:00:00;  1,42
28.02.1958 12:00:00;  1,30
31.03.1958 12:00:00;  1,30
30.04.1958 12:00:00;  1,90
28.05.1958 12:00:00;  31,0
