Messstelle:                ;Siegersdorf
HZB-Nummer:                ;208017
HD-Nummer:                 ;no315
DBMS-Nummer:               ;3001041
Gewässer:                  ;Große Tulln
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;202,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00195,51
   01.01.2009              ;00195,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;720768,00 - 346399,00
Exportzeitreihe:           ;(3001041,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[30.01.1956 12:00,01.01.2022 00:00]
Werte:
30.01.1956 12:00:00;  2,04
20.02.1956 12:00:00;  1,85
05.03.1956 12:00:00;  32,0
29.04.1956 12:00:00;  21,5
01.05.1956 12:00:00;  7,50
23.06.1956 12:00:00;  7,28
25.07.1956 12:00:00;  1,68
12.08.1956 12:00:00;  3,56
03.09.1956 12:00:00; 0,600
29.10.1956 12:00:00;  3,29
01.11.1956 12:00:00;  1,42
08.12.1956 12:00:00;  3,29
28.01.1957 12:00:00;  4,68
01.02.1957 12:00:00;  19,8
09.03.1957 12:00:00;  4,86
20.04.1957 12:00:00;  2,24
25.05.1957 12:00:00;  3,86
01.06.1957 12:00:00; 0,690
24.07.1957 12:00:00;   110
19.08.1957 12:00:00;  3,32
03.09.1957 12:00:00;  4,71
01.10.1957 12:00:00; 0,840
13.11.1957 12:00:00;  1,93
09.12.1957 12:00:00;  41,9
29.01.1958 12:00:00;  4,04
13.02.1958 12:00:00;  26,2
28.03.1958 12:00:00;  44,2
04.04.1958 12:00:00;  9,62
12.05.1958 12:00:00;  4,52
29.06.1958 12:00:00;   110
02.07.1958 12:00:00;  47,1
08.08.1958 12:00:00;  2,56
14.09.1958 12:00:00; 0,790
21.10.1958 12:00:00;  1,59
16.11.1958 12:00:00;  9,05
30.12.1958 12:00:00;  5,46
01.01.1959 12:00:00; 0,960
28.02.1959 12:00:00;  1,27
08.03.1959 12:00:00;  10,0
19.04.1959 12:00:00;  21,9
03.05.1959 12:00:00;  4,68
14.06.1959 12:00:00;  76,0
20.07.1959 12:00:00;  47,4
02.08.1959 12:00:00;  8,25
04.09.1959 12:00:00;  1,00
07.10.1959 12:00:00; 0,820
09.11.1959 12:00:00;  2,44
27.12.1959 12:00:00;  6,76
31.01.1960 12:00:00;  3,70
07.02.1960 12:00:00;  2,67
19.03.1960 12:00:00;  8,50
22.04.1960 12:00:00;  2,44
23.05.1960 12:00:00;  3,70
03.06.1960 12:00:00;  3,56
25.07.1960 12:00:00;  9,50
13.08.1960 12:00:00;  2,90
22.09.1960 12:00:00;  3,16
11.10.1960 12:00:00;  1,50
29.11.1960 12:00:00; 0,820
19.12.1960 12:00:00;  1,00
31.01.1961 12:00:00;  1,50
09.02.1961 12:00:00;  9,00
05.03.1961 12:00:00;  1,20
27.04.1961 12:00:00;  1,50
13.05.1961 12:00:00;  4,86
03.06.1961 12:00:00;  30,0
29.07.1961 12:00:00; 0,740
23.08.1961 12:00:00; 0,310
08.09.1961 12:00:00; 0,240
21.10.1961 12:00:00; 0,340
13.11.1961 12:00:00;  1,76
13.12.1961 12:00:00;  23,0
28.01.1962 12:00:00;  1,36
13.02.1962 12:00:00;  9,34
06.03.1962 12:00:00;  6,62
01.04.1962 12:00:00;  2,79
25.05.1962 12:00:00;  2,56
06.06.1962 12:00:00; 0,940
18.07.1962 12:00:00;  10,0
17.08.1962 12:00:00; 0,900
18.09.1962 12:00:00; 0,960
30.10.1962 12:00:00; 0,340
22.11.1962 12:00:00;  4,71
16.12.1962 12:00:00;  8,55
31.01.1963 12:00:00; 0,690
28.02.1963 12:00:00;  1,00
12.03.1963 12:00:00;  34,0
25.04.1963 12:00:00;  11,2
04.05.1963 12:00:00;  10,2
23.06.1963 12:00:00;  1,28
08.07.1963 12:00:00; 0,940
13.08.1963 12:00:00;  3,16
09.09.1963 12:00:00;  5,80
08.10.1963 12:00:00; 0,940
17.11.1963 12:00:00;  1,06
27.12.1963 12:00:00; 0,490
09.01.1964 12:00:00;  1,12
02.02.1964 12:00:00;  4,02
24.03.1964 12:00:00;  12,3
05.04.1964 12:00:00;  10,7
21.05.1964 12:00:00;  21,4
07.06.1964 12:00:00;  1,85
30.07.1964 12:00:00;  3,16
03.08.1964 12:00:00;  3,16
07.09.1964 12:00:00;  1,68
21.10.1964 12:00:00;  38,0
18.11.1964 12:00:00;  3,52
14.12.1964 12:00:00;  2,86
09.01.1965 12:00:00;  18,7
19.02.1965 12:00:00;  4,27
17.03.1965 12:00:00;  22,4
23.04.1965 12:00:00;  64,0
10.05.1965 12:00:00;  11,8
06.06.1965 12:00:00;  37,5
06.07.1965 12:00:00;  2,79
25.08.1965 12:00:00;  43,6
19.09.1965 12:00:00;  1,85
03.10.1965 12:00:00; 0,780
22.11.1965 12:00:00; 0,820
18.12.1965 12:00:00;  10,0
29.01.1966 12:00:00;  1,94
01.02.1966 12:00:00;  19,8
20.03.1966 12:00:00;  2,24
26.04.1966 12:00:00;  8,00
24.05.1966 12:00:00;  3,02
13.06.1966 12:00:00;  2,34
25.07.1966 12:00:00;   180
26.08.1966 12:00:00;  21,9
13.09.1966 12:00:00;  5,04
19.10.1966 12:00:00;  1,12
24.11.1966 12:00:00;  3,70
18.12.1966 12:00:00;  31,7
01.01.1967 12:00:00;  27,8
16.02.1967 12:00:00;  6,00
22.03.1967 12:00:00;  2,67
29.04.1967 12:00:00;  2,24
31.05.1967 12:00:00;  61,0
01.06.1967 12:00:00;  13,2
10.07.1967 12:00:00;  33,3
04.08.1967 12:00:00;  2,13
16.09.1967 12:00:00;  17,7
04.10.1967 12:00:00; 0,790
07.11.1967 12:00:00; 0,600
25.12.1967 12:00:00;  2,68
15.01.1968 12:00:00;  37,5
06.02.1968 12:00:00;  1,08
19.03.1968 12:00:00;  3,72
11.04.1968 12:00:00;  1,02
02.05.1968 12:00:00;  2,56
16.06.1968 12:00:00;  2,34
18.07.1968 12:00:00;  3,45
07.08.1968 12:00:00;  50,0
07.09.1968 12:00:00; 0,820
03.10.1968 12:00:00;  2,24
27.11.1968 12:00:00; 0,780
28.12.1968 12:00:00;  1,68
24.01.1969 12:00:00;  24,1
21.02.1969 12:00:00;  5,60
31.03.1969 12:00:00;  4,34
01.04.1969 12:00:00;  7,50
02.05.1969 12:00:00;  1,00
07.06.1969 12:00:00;  78,0
23.07.1969 12:00:00;  3,43
19.08.1969 12:00:00;  2,79
17.09.1969 12:00:00;  1,35
04.10.1969 12:00:00; 0,490
24.11.1969 12:00:00;  3,70
06.12.1969 12:00:00;  2,79
23.01.1970 12:00:00;  2,34
22.02.1970 12:00:00;  42,0
21.03.1970 12:00:00;  9,50
08.04.1970 12:00:00;  4,02
06.05.1970 12:00:00;  4,50
10.06.1970 12:00:00;  3,86
18.07.1970 12:00:00;  78,1
10.08.1970 12:00:00;  4,86
03.09.1970 12:00:00; 0,730
05.10.1970 12:00:00;  3,26
22.11.1970 12:00:00;  80,0
27.12.1970 12:00:00;  2,42
25.01.1971 12:00:00;  1,80
02.02.1971 12:00:00;  2,10
23.03.1971 12:00:00;   100
01.04.1971 12:00:00;  5,48
31.05.1971 12:00:00;  10,1
12.06.1971 12:00:00;  2,63
23.07.1971 12:00:00;  3,38
