Messstelle:                ;Piringsdorf (Pfarrbrücke)
HZB-Nummer:                ;210039
HD-Nummer:                 ;
DBMS-Nummer:               ;1001003
Gewässer:                  ;Rabnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;117,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00299,00
   01.01.1987              ;00297,72
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;756500,00 - 256700,00
   05.10.2018              ;756504,69 - 256724,57
Exportzeitreihe:           ;(1001003,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1971 12:00,01.01.2022 00:00]
Werte:
23.01.1971 12:00:00; 0,760
05.02.1971 12:00:00; 0,650
23.03.1971 12:00:00;  3,90
05.04.1971 12:00:00;  1,45
04.05.1971 12:00:00; 0,670
30.06.1971 12:00:00; 0,440
03.07.1971 12:00:00; 0,330
31.08.1971 12:00:00; 0,250
29.09.1971 12:00:00;  2,11
14.10.1971 12:00:00; 0,350
30.11.1971 12:00:00; 0,530
15.12.1971 12:00:00; 0,700
24.01.1972 12:00:00; 0,530
29.02.1972 12:00:00;  1,02
03.03.1972 12:00:00;  1,28
21.04.1972 12:00:00;  2,16
28.05.1972 12:00:00;  10,1
18.06.1972 12:00:00;  4,06
16.07.1972 12:00:00;  12,0
07.08.1972 12:00:00;  4,66
16.09.1972 12:00:00; 0,720
09.10.1972 12:00:00; 0,470
19.11.1972 12:00:00; 0,410
05.12.1972 12:00:00; 0,260
31.01.1973 12:00:00; 0,590
23.02.1973 12:00:00; 0,590
27.03.1973 12:00:00; 0,720
21.04.1973 12:00:00; 0,800
03.05.1973 12:00:00; 0,590
07.06.1973 12:00:00; 0,870
27.07.1973 12:00:00; 0,470
04.08.1973 12:00:00; 0,590
25.09.1973 12:00:00;  3,60
18.10.1973 12:00:00;  1,02
08.11.1973 12:00:00; 0,870
09.12.1973 12:00:00; 0,870
19.01.1974 12:00:00;  2,60
07.02.1974 12:00:00; 0,800
06.03.1974 12:00:00;  1,36
28.04.1974 12:00:00; 0,470
06.05.1974 12:00:00;  1,02
08.06.1974 12:00:00;  1,02
19.07.1974 12:00:00; 0,590
11.08.1974 12:00:00; 0,870
25.09.1974 12:00:00; 0,590
22.10.1974 12:00:00;  1,02
20.11.1974 12:00:00; 0,720
09.12.1974 12:00:00; 0,870
26.01.1975 12:00:00; 0,590
10.02.1975 12:00:00; 0,720
14.03.1975 12:00:00;  1,02
17.04.1975 12:00:00;  1,02
31.05.1975 12:00:00;  1,02
30.06.1975 12:00:00;  8,85
02.07.1975 12:00:00;  30,0
13.08.1975 12:00:00;  1,10
06.09.1975 12:00:00;  1,00
19.10.1975 12:00:00;  1,20
25.11.1975 12:00:00;  1,00
21.12.1975 12:00:00; 0,800
15.01.1976 08:00:00;  1,42
28.02.1976 08:00:00;  1,20
02.03.1976 08:00:00;  1,42
27.04.1976 08:00:00;  1,20
14.05.1976 08:00:00;  2,18
01.06.1976 00:00:00; 0,467
26.07.1976 08:00:00; 0,336
01.08.1976 02:00:00; 0,626
05.09.1976 08:00:00;  1,42
18.10.1976 08:00:00; 0,985
14.11.1976 08:00:00; 0,626
03.12.1976 08:00:00;  3,22
30.01.1977 08:00:00;  1,30
12.02.1977 16:00:00;  4,65
04.03.1977 08:00:00;  2,57
09.04.1977 08:00:00;  1,30
14.05.1977 08:00:00;  1,00
22.06.1977 08:00:00;  1,00
15.07.1977 08:00:00;  1,30
01.08.1977 02:00:00; 0,243
09.09.1977 08:00:00; 0,170
01.10.1977 00:00:00; 0,064
14.11.1977 08:00:00; 0,170
06.12.1977 08:00:00; 0,170
01.01.1978 00:00:00; 0,170
27.02.1978 08:00:00; 0,743
06.03.1978 08:00:00; 0,629
14.04.1978 08:00:00; 0,519
20.05.1978 08:00:00;  14,5
25.06.1978 08:00:00;  6,32
01.07.1978 00:00:00;  1,43
03.08.1978 08:00:00; 0,540
01.09.1978 00:00:00; 0,280
01.10.1978 02:00:00; 0,643
29.11.1978 08:00:00; 0,437
01.12.1978 00:00:00; 0,437
29.01.1979 08:00:00;  1,24
17.02.1979 08:00:00;  1,90
08.03.1979 08:00:00;  1,04
29.04.1979 08:00:00;  3,47
03.05.1979 08:00:00;  13,2
26.06.1979 16:00:00;  4,58
21.07.1979 08:00:00;  1,58
04.08.1979 08:00:00;  1,12
25.09.1979 08:00:00; 0,852
01.10.1979 00:00:00; 0,247
19.11.1979 08:00:00;  1,42
25.12.1979 08:00:00; 0,852
23.01.1980 08:00:00; 0,619
01.02.1980 00:00:00; 0,619
01.03.1980 00:00:00; 0,419
02.04.1980 08:00:00; 0,619
05.05.1980 08:00:00; 0,619
30.06.1980 08:00:00;  2,97
01.07.1980 00:00:00;  2,97
13.08.1980 08:00:00; 0,864
10.09.1980 08:00:00; 0,864
13.10.1980 08:00:00;  5,15
06.11.1980 16:00:00;  1,31
25.12.1980 08:00:00; 0,949
01.01.1981 00:00:00; 0,736
09.02.1981 08:00:00; 0,466
12.03.1981 08:00:00; 0,548
10.04.1981 08:00:00; 0,384
25.05.1981 08:00:00; 0,606
24.06.1981 08:00:00; 0,762
19.07.1981 18:00:00; 0,371
12.08.1981 08:00:00; 0,371
14.09.1981 08:00:00;  2,67
23.10.1981 08:00:00;  1,78
01.11.1981 00:00:00; 0,671
01.12.1981 00:00:00; 0,500
02.01.1982 08:00:00;  3,65
01.02.1982 00:00:00;  1,18
19.03.1982 08:00:00;  1,07
01.04.1982 00:00:00; 0,500
11.05.1982 12:00:00;  1,78
24.06.1982 08:00:00;  1,18
11.07.1982 14:00:00; 0,671
08.08.1982 00:00:00;  20,9
22.09.1982 18:00:00; 0,851
02.10.1982 08:00:00;  28,7
