Messstelle:                ;Winklern
HZB-Nummer:                ;212373
HD-Nummer:                 ;00066
DBMS-Nummer:               ;2001005
Gewässer:                  ;Möll
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;412,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1907              ;00876,94
   01.01.1920              ;00877,13
   25.10.1930              ;00877,23
   01.01.1954              ;00878,13
   02.06.2003              ;00878,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1907              ;415958,59 - 193845,54
   01.01.2014              ;416060,00 - 193873,00
Exportzeitreihe:           ;(2001005,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1951 12:00,01.01.2022 00:00]
Werte:
24.01.1951 12:00:00;  3,80
12.02.1951 12:00:00;  3,60
20.03.1951 12:00:00;  4,28
30.04.1951 12:00:00;  15,8
27.05.1951 12:00:00;  66,4
24.06.1951 12:00:00;   108
17.07.1951 12:00:00;  69,4
09.08.1951 12:00:00;  61,6
01.09.1951 12:00:00;  45,9
02.10.1951 12:00:00;  10,6
12.11.1951 12:00:00;  28,6
17.12.1951 12:00:00;  5,28
08.01.1952 12:00:00;  3,20
26.02.1952 12:00:00;  2,48
31.03.1952 12:00:00;  3,00
30.04.1952 12:00:00;  12,6
12.05.1952 12:00:00;  23,1
19.06.1952 12:00:00;  73,0
17.07.1952 12:00:00;  48,6
21.08.1952 12:00:00;  44,2
07.09.1952 12:00:00;  37,4
26.10.1952 12:00:00;  44,2
01.11.1952 12:00:00;  12,2
01.12.1952 12:00:00;  5,84
15.01.1953 12:00:00;  3,60
18.02.1953 12:00:00;  2,80
31.03.1953 12:00:00;  4,28
26.04.1953 12:00:00;  11,4
20.05.1953 12:00:00;  46,8
09.06.1953 12:00:00;  70,0
30.07.1953 12:00:00;  62,5
03.08.1953 12:00:00;  43,4
26.09.1953 12:00:00;  33,6
28.10.1953 12:00:00;  39,9
01.11.1953 12:00:00;  15,3
01.12.1953 12:00:00;  5,28
13.01.1954 12:00:00;  6,12
04.02.1954 12:00:00;  5,84
31.03.1954 12:00:00;  2,80
24.04.1954 12:00:00;  21,5
28.05.1954 12:00:00;  27,4
28.06.1954 12:00:00;  60,0
01.07.1954 12:00:00;  41,6
10.08.1954 12:00:00;  54,0
06.09.1954 12:00:00;  24,2
01.10.1954 12:00:00;  12,6
01.11.1954 12:00:00;  7,00
11.12.1954 12:00:00;  6,40
27.01.1955 12:00:00;  3,40
08.02.1955 12:00:00;  2,80
29.03.1955 12:00:00;  5,00
30.04.1955 12:00:00;  15,8
29.05.1955 12:00:00;  23,7
08.06.1955 12:00:00;  75,0
20.07.1955 12:00:00;  54,0
03.08.1955 12:00:00;  18,3
14.09.1955 12:00:00;  23,1
22.10.1955 12:00:00;  10,2
03.11.1955 12:00:00;  6,40
30.12.1955 12:00:00;  4,52
06.01.1956 12:00:00;  2,80
01.02.1956 12:00:00;  2,48
03.03.1956 12:00:00;  5,84
18.04.1956 12:00:00;  4,52
30.05.1956 12:00:00;  38,3
08.06.1956 12:00:00;  46,0
09.07.1956 12:00:00;  31,4
29.08.1956 12:00:00;  36,7
26.09.1956 12:00:00;  35,1
04.10.1956 12:00:00;  16,3
01.11.1956 12:00:00;  6,70
31.12.1956 12:00:00;  4,76
25.01.1957 12:00:00;  3,00
15.02.1957 12:00:00;  2,48
25.03.1957 12:00:00;  4,28
30.04.1957 12:00:00;  11,8
20.05.1957 12:00:00;  17,8
12.06.1957 12:00:00;   110
11.07.1957 12:00:00;  33,6
19.08.1957 12:00:00;  35,0
02.09.1957 12:00:00;  18,5
03.10.1957 12:00:00;  8,80
07.11.1957 12:00:00;  8,80
13.12.1957 12:00:00;  6,20
31.01.1958 12:00:00;  5,60
01.02.1958 12:00:00;  4,30
16.03.1958 12:00:00;  2,63
26.04.1958 12:00:00;  4,30
28.05.1958 12:00:00;  52,9
22.06.1958 12:00:00;  41,0
23.07.1958 12:00:00;  29,9
03.08.1958 12:00:00;  62,0
23.09.1958 12:00:00;  19,6
02.10.1958 12:00:00;  23,4
14.11.1958 12:00:00;  8,46
01.12.1958 12:00:00;  5,60
05.01.1959 12:00:00;  3,86
04.02.1959 12:00:00;  3,00
08.03.1959 12:00:00;  4,28
17.04.1959 12:00:00;  7,90
23.05.1959 12:00:00;  32,0
29.06.1959 12:00:00;  57,5
31.07.1959 12:00:00;  35,8
13.08.1959 12:00:00;  38,3
15.09.1959 12:00:00;  16,9
28.10.1959 12:00:00;  9,56
01.11.1959 12:00:00;  4,56
03.12.1959 12:00:00;  3,42
20.01.1960 12:00:00;  5,08
05.02.1960 12:00:00;  2,25
31.03.1960 12:00:00;  3,86
15.04.1960 12:00:00;  7,44
20.05.1960 12:00:00;  44,5
15.06.1960 12:00:00;  36,5
12.07.1960 12:00:00;  35,8
12.08.1960 12:00:00;  38,3
17.09.1960 12:00:00;  57,0
29.10.1960 12:00:00;  47,3
05.11.1960 12:00:00;  20,1
06.12.1960 12:00:00;  7,78
01.01.1961 12:00:00;  4,82
27.02.1961 12:00:00;  3,64
21.03.1961 12:00:00;  7,10
15.04.1961 12:00:00;  14,6
07.05.1961 12:00:00;  21,2
28.06.1961 12:00:00;  57,7
29.07.1961 12:00:00;  70,0
12.08.1961 12:00:00;  34,3
01.09.1961 12:00:00;  11,5
08.10.1961 12:00:00;  16,0
01.11.1961 12:00:00;  4,82
12.12.1961 12:00:00;  9,56
08.01.1962 12:00:00;  3,80
03.02.1962 12:00:00;  3,40
06.03.1962 12:00:00;  3,20
26.04.1962 12:00:00;  17,3
10.05.1962 12:00:00;  27,4
02.06.1962 12:00:00;  72,0
11.07.1962 12:00:00;  61,6
16.08.1962 12:00:00;  39,2
08.09.1962 12:00:00;  22,8
02.10.1962 12:00:00;  6,70
08.11.1962 12:00:00;  13,4
05.12.1962 12:00:00;  4,28
01.01.1963 12:00:00;  3,20
