Messstelle:                ;Hartmannsdorf
HZB-Nummer:                ;204925
HD-Nummer:                 ;3340
DBMS-Nummer:               ;4001041
Gewässer:                  ;Steinerne Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;137,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1921              ;00500,57
   01.01.1976              ;00499,57
   01.07.1977              ;00499,52
   01.01.1988              ;00499,61
   22.11.2010              ;00499,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1921              ;502930,00 - 381860,00
   01.07.1977              ;502921,00 - 381872,00
   27.03.2020              ;502911,04 - 381872,14
Exportzeitreihe:           ;(4001041,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[19.01.1956 12:00,01.01.2022 00:00]
Werte:
19.01.1956 12:00:00;  2,94
07.02.1956 12:00:00;  1,85
03.03.1956 12:00:00;  30,0
29.04.1956 12:00:00;  4,37
01.05.1956 12:00:00;  7,52
15.06.1956 12:00:00;  3,69
30.07.1956 12:00:00;  3,69
24.08.1956 12:00:00;  5,89
24.09.1956 12:00:00;  2,82
31.10.1956 12:00:00;  2,94
08.11.1956 12:00:00;  9,70
05.12.1956 12:00:00;  6,70
07.01.1957 12:00:00;  5,89
25.02.1957 12:00:00;  5,43
29.03.1957 12:00:00;  4,23
20.04.1957 12:00:00;  3,95
23.05.1957 12:00:00;  1,66
06.06.1957 12:00:00;  2,59
23.07.1957 12:00:00;  23,0
01.08.1957 12:00:00;  5,12
25.09.1957 12:00:00;  6,70
01.10.1957 12:00:00;  3,06
12.11.1957 12:00:00;  2,36
09.12.1957 12:00:00;  6,20
07.01.1958 12:00:00;  4,65
17.02.1958 12:00:00;  22,7
31.03.1958 12:00:00;  8,76
05.04.1958 12:00:00;  27,8
07.05.1958 12:00:00;  7,85
28.06.1958 12:00:00;  35,0
06.07.1958 12:00:00;  6,70
03.08.1958 12:00:00;  7,03
23.09.1958 12:00:00;  3,95
18.10.1958 12:00:00;  5,43
04.11.1958 12:00:00;  2,70
30.12.1958 12:00:00;  5,89
07.01.1959 12:00:00;  4,37
12.02.1959 12:00:00;  2,94
08.03.1959 12:00:00;  15,5
13.04.1959 12:00:00;  2,70
20.05.1959 12:00:00;  5,43
14.06.1959 12:00:00;  21,0
16.07.1959 12:00:00;  5,43
13.08.1959 12:00:00;  19,7
01.09.1959 12:00:00;  1,85
02.10.1959 12:00:00; 0,980
14.11.1959 12:00:00;  1,07
31.12.1959 12:00:00;  6,05
16.01.1960 12:00:00;  5,89
29.02.1960 12:00:00;  3,82
02.03.1960 12:00:00;  9,70
01.04.1960 12:00:00;  3,06
23.05.1960 12:00:00;  7,85
27.06.1960 12:00:00;  14,2
16.07.1960 12:00:00;  11,8
13.08.1960 12:00:00;  26,0
07.09.1960 12:00:00;  8,76
19.10.1960 12:00:00;  5,43
12.11.1960 12:00:00;  2,04
31.12.1960 12:00:00;  1,36
31.01.1961 12:00:00;  6,20
12.02.1961 12:00:00;  8,76
01.03.1961 12:00:00;  4,51
30.04.1961 12:00:00;  9,70
23.05.1961 12:00:00;  6,53
04.06.1961 12:00:00;  20,0
16.07.1961 12:00:00;  2,48
13.08.1961 12:00:00;  6,20
09.09.1961 12:00:00;  1,02
19.10.1961 12:00:00;  1,66
13.11.1961 12:00:00;  1,76
13.12.1961 12:00:00;  5,43
27.01.1962 12:00:00;  6,20
13.02.1962 12:00:00;  24,0
31.03.1962 12:00:00;  11,8
01.04.1962 12:00:00;  7,85
15.05.1962 12:00:00;  7,85
02.06.1962 12:00:00;  7,03
04.07.1962 12:00:00;  4,65
02.08.1962 12:00:00; 0,870
18.09.1962 12:00:00;  1,76
31.10.1962 12:00:00; 0,650
15.11.1962 12:00:00;  1,21
16.12.1962 12:00:00;  4,96
11.01.1963 12:00:00; 0,780
01.02.1963 12:00:00; 0,780
20.03.1963 12:00:00;  7,03
22.04.1963 12:00:00;  5,27
12.05.1963 12:00:00;  3,95
16.06.1963 12:00:00;  12,0
05.07.1963 12:00:00;  3,06
22.08.1963 12:00:00;  1,43
07.09.1963 12:00:00;  1,66
08.10.1963 12:00:00;  3,30
21.11.1963 12:00:00;  7,03
30.12.1963 12:00:00; 0,950
04.01.1964 12:00:00; 0,950
02.02.1964 12:00:00;  4,65
23.03.1964 12:00:00;  8,76
22.04.1964 12:00:00;  9,70
05.05.1964 12:00:00;  7,85
07.06.1964 12:00:00;  7,85
29.07.1964 12:00:00;  1,58
13.08.1964 12:00:00;  9,70
07.09.1964 12:00:00;  3,95
24.10.1964 12:00:00;  7,03
18.11.1964 12:00:00;  7,03
02.12.1964 12:00:00;  2,48
18.01.1965 12:00:00;  3,82
22.02.1965 12:00:00;  2,25
31.03.1965 12:00:00;  19,7
01.04.1965 12:00:00;  11,8
29.05.1965 12:00:00;  16,8
10.06.1965 12:00:00;  26,0
18.07.1965 12:00:00;  2,70
04.08.1965 12:00:00;  2,14
19.09.1965 12:00:00;  3,82
03.10.1965 12:00:00; 0,910
22.11.1965 12:00:00;  1,58
19.12.1965 12:00:00;  8,76
02.01.1966 12:00:00;  3,95
09.02.1966 12:00:00;  14,2
28.03.1966 12:00:00;  3,95
17.04.1966 12:00:00;  9,70
27.05.1966 12:00:00;  3,18
24.06.1966 12:00:00;  17,0
07.07.1966 12:00:00;  10,8
09.08.1966 12:00:00;  17,0
01.09.1966 12:00:00;  5,43
01.10.1966 12:00:00;  2,14
04.11.1966 12:00:00;  1,58
25.12.1966 12:00:00;  17,0
02.01.1967 12:00:00;  7,85
22.02.1967 12:00:00;  11,8
01.03.1967 12:00:00;  14,2
07.04.1967 12:00:00;  7,69
24.05.1967 12:00:00;  3,95
01.06.1967 12:00:00;  13,0
10.07.1967 12:00:00;  1,66
28.08.1967 12:00:00; 0,950
17.09.1967 12:00:00;  11,8
04.10.1967 12:00:00; 0,950
07.11.1967 12:00:00; 0,950
24.12.1967 12:00:00;  26,0
15.01.1968 12:00:00;  26,0
26.02.1968 12:00:00;  2,14
29.03.1968 12:00:00;  7,36
01.04.1968 12:00:00;  6,20
13.05.1968 12:00:00;  3,95
22.06.1968 12:00:00;  1,28
18.07.1968 12:00:00;  7,85
08.08.1968 12:00:00;  2,36
25.09.1968 12:00:00;  4,65
03.10.1968 12:00:00;  8,76
25.11.1968 12:00:00;  1,58
12.12.1968 12:00:00;  2,48
14.01.1969 12:00:00;  1,28
18.02.1969 12:00:00;  1,15
15.03.1969 12:00:00;  7,03
01.04.1969 12:00:00;  3,56
20.05.1969 12:00:00;  1,58
08.06.1969 12:00:00;  12,0
04.07.1969 12:00:00;  1,85
30.08.1969 12:00:00;  2,70
01.09.1969 12:00:00;  1,08
05.10.1969 12:00:00; 0,680
26.11.1969 12:00:00;  1,28
24.12.1969 12:00:00;  1,02
31.01.1970 12:00:00; 0,600
24.02.1970 12:00:00;  14,2
26.03.1970 12:00:00;  10,8
20.04.1970 12:00:00;  18,5
17.05.1970 12:00:00;  9,33
08.06.1970 12:00:00;  11,8
01.07.1970 12:00:00;  4,65
10.08.1970 12:00:00;  5,43
02.09.1970 12:00:00;  2,59
04.10.1970 12:00:00;  10,8
23.11.1970 12:00:00;  4,81
04.12.1970 12:00:00;  7,85
28.01.1971 12:00:00;  2,14
04.02.1971 12:00:00;  1,76
23.03.1971 12:00:00;  5,89
28.04.1971 12:00:00;  6,20
05.05.1971 12:00:00;  1,66
20.06.1971 12:00:00;  7,03
02.07.1971 12:00:00;  1,43
28.08.1971 12:00:00;  1,76
30.09.1971 12:00:00;  3,30
01.10.1971 12:00:00;  1,28
19.11.1971 12:00:00;  13,5
22.12.1971 12:00:00;  2,48
26.01.1972 12:00:00;  1,43
20.02.1972 12:00:00;  4,37
01.03.1972 12:00:00;  1,51
24.04.1972 12:00:00;  3,30
29.05.1972 12:00:00;  2,25
16.06.1972 12:00:00;  7,03
30.07.1972 12:00:00;  7,20
02.08.1972 12:00:00;  4,51
11.09.1972 12:00:00;  3,18
24.10.1972 12:00:00;  1,43
15.11.1972 12:00:00;  4,65
06.12.1972 12:00:00;  1,36
31.01.1973 12:00:00; 0,600
08.02.1973 12:00:00; 0,910
31.03.1973 12:00:00;  10,8
03.04.1973 12:00:00;  10,1
09.05.1973 12:00:00;  5,27
23.06.1973 12:00:00;  14,0
29.07.1973 12:00:00;  7,85
01.08.1973 12:00:00;  2,29
27.09.1973 12:00:00;  1,22
24.10.1973 12:00:00;  2,41
16.11.1973 12:00:00;  4,38
10.12.1973 12:00:00;  9,70
20.01.1974 12:00:00;  11,8
20.02.1974 12:00:00;  6,53
18.03.1974 12:00:00;  7,03
01.04.1974 12:00:00;  2,86
07.05.1974 12:00:00;  5,27
14.06.1974 12:00:00;  15,5
19.07.1974 12:00:00;  7,03
05.08.1974 12:00:00;  4,65
07.09.1974 12:00:00;  1,81
28.10.1974 12:00:00;  6,20
28.11.1974 12:00:00;  4,12
29.12.1974 12:00:00;  19,5
01.01.1975 12:00:00;  9,15
03.02.1975 12:00:00;  5,12
05.03.1975 12:00:00;  6,53
16.04.1975 12:00:00;  3,72
17.05.1975 12:00:00;  3,72
18.06.1975 12:00:00;  10,1
05.07.1975 12:00:00;  18,5
26.08.1975 12:00:00;  9,20
08.09.1975 12:00:00;  2,20
19.10.1975 12:00:00;  2,75
21.11.1975 12:00:00;  1,81
07.12.1975 12:00:00;  1,42
01.01.1976 00:00:00; Lücke
12.01.1976 08:00:00;  25,6
13.01.1976 00:00:05;  16,9
01.02.1976 00:00:00;  3,98
02.03.1976 08:00:00;  2,78
02.04.1976 08:00:00;  2,58
23.05.1976 08:00:00;  2,48
01.06.1976 02:00:00;  2,68
21.07.1976 08:00:00;  8,28
05.08.1976 08:00:00;  6,31
02.09.1976 08:00:00;  2,30
18.10.1976 08:00:00;  1,94
16.11.1976 08:00:00;  3,41
