Messstelle:                ;Hirtenberg
HZB-Nummer:                ;208124
HD-Nummer:                 ;no435
DBMS-Nummer:               ;3001051
Gewässer:                  ;Triesting
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;287,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   13.08.1974              ;00276,00
   01.06.1978              ;00276,67
   19.11.2003              ;00279,13
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   13.08.1974              ;738336,00 - 310132,00
Exportzeitreihe:           ;(3001051,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1976 23:59:55,01.01.2022 00:00]
Werte:
31.12.1976 23:59:55;  1,67
27.01.1977 22:00:00;  6,08
06.02.1977 13:30:00;  20,5
03.03.1977 05:30:00;  20,9
14.04.1977 03:30:00;  25,5
14.05.1977 05:30:00;  6,40
21.06.1977 22:00:00;  2,78
21.07.1977 05:30:00;  3,30
02.08.1977 09:00:00;  28,6
10.09.1977 06:00:00;  4,87
12.10.1977 07:00:00;  2,61
28.11.1977 11:00:00;  1,69
25.12.1977 12:30:00;  18,0
04.01.1978 07:30:00;  3,22
27.02.1978 19:00:00;  19,4
01.03.1978 00:00:00;  10,1
17.04.1978 23:00:00;  3,34
23.05.1978 22:30:00;  11,8
25.06.1978 16:30:00;  2,98
05.07.1978 18:30:00;  6,24
08.08.1978 10:30:00;  1,19
29.09.1978 04:30:00;  3,15
26.10.1978 14:30:00;  2,23
05.11.1978 18:00:00;  1,30
10.12.1978 14:00:00;  10,7
11.01.1979 11:00:00;  1,34
17.02.1979 10:00:00;  18,5
12.03.1979 16:00:00;  37,2
28.04.1979 21:30:00;  20,8
02.05.1979 18:30:00;  8,82
26.06.1979 14:30:00;  5,88
14.07.1979 10:30:00;  4,28
08.08.1979 21:00:00;  16,6
24.09.1979 18:30:00;  5,46
22.10.1979 07:00:00;  2,88
27.11.1979 19:30:00;  46,3
07.12.1979 06:30:00;  7,45
30.01.1980 12:00:00;  1,76
06.02.1980 18:00:00;  12,8
10.03.1980 21:30:00;  4,82
25.04.1980 17:30:00;  25,7
01.05.1980 00:00:00;  22,0
05.06.1980 09:00:00;  4,78
22.07.1980 17:30:00;  4,02
08.08.1980 18:00:00;  10,4
01.09.1980 19:30:00;  4,86
13.10.1980 03:00:00;  11,6
16.11.1980 15:30:00;  4,82
24.12.1980 08:30:00;  17,0
03.01.1981 14:00:00;  7,71
08.02.1981 08:00:00;  15,4
12.03.1981 12:30:00;  4,24
13.04.1981 07:30:00;  3,47
20.05.1981 10:00:00;  5,30
03.06.1981 06:00:00;  4,91
21.07.1981 07:00:00;  4,59
28.08.1981 14:30:00;  12,8
17.09.1981 06:30:00;  26,9
01.10.1981 00:00:00;  9,79
14.11.1981 08:30:00;  12,6
05.12.1981 06:30:00;  8,29
31.01.1982 11:30:00;  51,9
01.02.1982 00:00:00;  20,3
01.03.1982 17:00:00;  12,2
01.04.1982 00:00:00;  2,94
29.05.1982 10:00:00;  16,3
27.06.1982 15:30:00;  7,07
23.07.1982 17:30:00;  11,2
05.08.1982 09:30:00;  7,90
16.09.1982 05:00:00;  5,53
06.10.1982 23:00:00;  19,2
14.11.1982 23:00:00;  2,20
28.12.1982 12:30:00;  8,75
06.01.1983 02:30:00;  40,8
28.02.1983 21:30:00;  7,96
01.03.1983 00:00:00;  7,64
15.04.1983 14:30:00;  3,69
09.05.1983 07:30:00;  6,29
20.06.1983 11:30:00;  2,64
22.07.1983 07:30:00;  3,69
11.08.1983 22:00:00;  5,18
03.09.1983 18:00:00;  2,01
17.10.1983 08:30:00;  1,49
12.11.1983 12:30:00;  2,54
24.12.1983 15:30:00;  11,5
20.01.1984 14:30:00;  1,59
08.02.1984 02:30:00;  3,55
31.03.1984 03:00:00;  6,16
10.04.1984 08:00:00;  12,8
15.05.1984 08:00:00;  33,6
01.06.1984 12:00:00;  2,72
18.07.1984 15:30:00;  3,07
12.08.1984 08:00:00;  4,30
24.09.1984 14:00:00;  5,60
04.10.1984 13:30:00;  5,36
27.11.1984 16:30:00;  2,66
23.12.1984 02:30:00;  1,54
31.01.1985 00:15:00;  1,96
02.02.1985 00:00:05;  8,29
28.03.1985 09:45:00;  21,0
01.04.1985 21:30:00;  9,64
07.05.1985 19:45:00;  7,79
07.06.1985 20:15:00;  7,82
02.07.1985 15:30:00;  7,14
07.08.1985 19:30:00;  22,7
09.09.1985 19:45:00;  4,03
15.10.1985 20:15:00;  2,57
18.11.1985 15:00:00;  3,62
18.12.1985 15:15:00;  36,5
14.01.1986 23:45:00;  47,8
01.02.1986 00:00:00;  2,64
16.03.1986 18:45:00;  8,78
01.04.1986 00:00:00;  4,46
29.05.1986 04:15:00;  3,60
16.06.1986 02:30:00;  35,3
19.07.1986 16:15:00;  2,31
17.08.1986 17:15:00;  5,00
10.09.1986 20:15:00;  2,96
27.10.1986 13:45:00;  4,79
24.11.1986 12:00:00;  3,95
31.12.1986 02:15:00;  17,2
02.01.1987 10:30:00;  7,74
20.02.1987 23:15:00;  32,9
01.03.1987 00:00:00;  27,3
05.04.1987 00:15:00;  11,0
07.05.1987 12:00:00;  20,2
22.06.1987 14:30:00;  16,9
24.07.1987 01:00:00;  3,88
03.08.1987 12:15:00;  4,95
28.09.1987 02:00:00;  2,91
24.10.1987 02:30:00;  2,68
14.11.1987 10:00:00;  2,47
21.12.1987 04:00:00;  25,4
31.01.1988 00:00:00;  2,25
19.02.1988 22:00:00;  2,25
23.03.1988 17:00:00;  35,9
13.04.1988 23:00:00;  31,2
21.05.1988 08:30:00;  4,67
06.06.1988 09:45:00;  14,2
07.07.1988 20:15:00;  2,47
03.08.1988 16:15:00;  3,14
16.09.1988 13:30:00;  19,7
30.10.1988 03:15:00;  1,48
30.11.1988 02:30:00;  8,08
11.12.1988 02:00:00;  21,7
08.01.1989 23:15:00;  31,2
21.02.1989 20:15:00;  7,74
01.03.1989 00:00:00;  2,93
30.04.1989 23:59:55;  5,83
01.05.1989 19:15:00;  29,3
18.06.1989 17:45:00;  63,8
11.07.1989 23:00:00;  7,41
30.08.1989 08:30:00;  17,3
05.09.1989 09:00:00;  96,9
03.10.1989 18:00:00;  4,13
07.11.1989 00:15:00;  10,2
16.12.1989 22:45:00;  3,88
04.01.1990 21:15:00;  1,48
15.02.1990 17:30:00;  13,8
11.03.1990 03:45:00;  17,8
23.04.1990 21:30:00;  8,08
07.05.1990 14:00:00;  8,77
03.06.1990 08:15:00;  3,14
10.07.1990 15:45:00;  7,74
06.08.1990 17:00:00;  1,32
24.09.1990 14:30:00;  3,14
02.10.1990 10:15:00;  3,14
20.11.1990 04:00:00;  5,53
31.12.1990 23:59:55;  5,53
03.01.1991 14:45:00;  10,2
24.02.1991 17:45:00;  8,77
10.03.1991 19:45:00;  2,47
21.04.1991 03:30:00;  3,38
18.05.1991 15:30:00;   141
03.06.1991 14:30:00;  5,53
28.07.1991 08:45:00;  64,1
04.08.1991 22:00:00;   185
17.09.1991 08:45:00;  3,38
25.10.1991 17:00:00;  3,14
17.11.1991 05:00:00;  5,24
23.12.1991 09:15:00;  63,4
06.01.1992 06:45:00;  9,13
07.02.1992 03:45:00;  15,1
21.03.1992 09:45:00;  40,7
05.04.1992 19:15:00;  5,83
11.05.1992 19:30:00;  3,88
13.06.1992 18:15:00;  28,6
15.07.1992 22:30:00;  6,13
01.08.1992 11:45:00;  2,05
14.09.1992 13:45:00;  4,67
05.10.1992 20:00:00;  2,68
22.11.1992 22:45:00;  26,1
13.12.1992 01:45:00;  5,83
08.01.1993 17:15:00;  10,6
07.02.1993 12:15:00;  5,24
17.03.1993 16:15:00;  84,6
01.04.1993 18:45:00;  12,2
02.05.1993 17:00:00;  3,14
21.06.1993 17:00:00;  2,79
20.07.1993 22:00:00;  4,40
31.08.1993 21:45:00;  4,13
11.09.1993 16:15:00;  5,53
24.10.1993 04:00:00;  13,4
06.11.1993 06:45:00;  2,68
20.12.1993 16:45:00;  8,08
01.01.1994 19:15:00;  10,2
26.02.1994 10:45:00;  3,38
23.03.1994 14:45:00;  5,83
18.04.1994 11:45:00;  61,1
01.05.1994 10:45:00;  3,62
04.06.1994 11:45:00;  5,24
19.07.1994 18:15:00;  9,13
23.08.1994 00:15:00;  3,88
03.09.1994 07:45:00;  2,05
24.10.1994 18:15:00;  2,05
27.11.1994 11:15:00;  3,88
29.12.1994 03:15:00;  7,41
26.01.1995 06:30:00;  11,8
16.02.1995 10:00:00;  3,88
27.03.1995 16:30:00;  6,44
11.04.1995 18:45:00;  23,8
02.05.1995 15:30:00;  3,88
27.06.1995 04:45:00;  29,9
28.07.1995 04:15:00;  7,74
30.08.1995 20:00:00;  4,67
15.09.1995 10:30:00;  16,9
02.10.1995 11:00:00;  3,14
17.11.1995 22:45:00;  12,6
24.12.1995 18:00:00;  14,7
