Messstelle:                ;Eckartsau, Bl 1895.3
HZB-Nummer:                ;356170
HD-Nummer:                 ;3HD39503
DBMS-Nummer:               ;10001127
Fremdnummer:               ;1895.003
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.11.2016
 Geländehöhe:              ;145,95
 Messpunkthöhe:            ;146,75
 Sohllage:                 ;138,50
 T-Messtiefe u.GOK:        ;8,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 47 45                 ;48 08 44
  01.01.2010               ;16 47 44                 ;48 08 45
  25.06.1991               ;16 47 44                 ;48 08 45
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1998 23:59:55   ;   142,82 ;     
23.06.1999 11:19:55   ;   143,10 ;     
15.04.2000 16:04:45   ;   143,16 ;     
04.05.2001 09:45:15   ;   142,72 ;     
31.12.2002 05:00:00   ;   143,10 ;     
03.02.2003 22:30:00   ;   143,31 ;     
09.05.2004 00:45:00   ;   142,61 ;     
20.05.2005 06:00:00   ;   142,55 ;     
10.06.2006 07:00:00   ;   143,12 ;     
29.12.2007 01:00:00   ;   142,81 ;     
07.06.2008 05:00:00   ;   142,85 ;     
09.07.2009 09:00:00   ;   143,34 ;     
04.10.2010 13:00:00   ;   143,22 ;     
30.01.2011 20:00:00   ;   143,25 ;     
17.04.2012 11:00:00   ;   142,47 ;     
16.06.2013 15:00:00   ;   143,34 ;     
24.09.2014 23:00:00   ;   143,06 ;     
01.03.2015 06:00:00   ;   143,04 ;     
24.07.2016 00:00:00   ;   142,71 ;     
22.05.2017 17:00:00   ;   142,41 ;     
01.04.2018 18:00:00   ;   142,41 ;     
15.06.2019 16:00:00   ;   142,45 ;     
10.12.2020 16:00:00   ;   142,30 ;     
21.03.2021 15:00:00   ;   142,43 ;     
