Messstelle:                ;Radfeld, Bl 20 (S2/13)
HZB-Nummer:                ;346882
HD-Nummer:                 ;
DBMS-Nummer:               ;7004192
Fremdnummer:               ;GW70520144
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Fa. Sandoz
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1985
 Geländehöhe:              ;508,62
 Messpunkthöhe:            ;509,42
 Sohllage:                 ;502,47
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1985               ;11 56 52                 ;47 27 57
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.08.1985 08:00:00   ;   508,18 ;     
25.06.1986 08:00:00   ;   506,95 ;     
20.07.1987 08:00:00   ;   507,91 ;     
13.06.1988 08:00:00   ;   506,42 ;     
04.07.1989 08:00:00   ;   506,81 ;     
21.07.1993 08:00:00   ;   506,64 ;     
27.06.1994 08:00:00   ;   506,20 ;     
15.07.1996 08:00:00   ;   505,98 ;     
30.06.1997 08:00:00   ;   506,58 ;     
24.06.2002 12:10:00   ;   506,35 ;     
16.06.2003 12:00:00   ;   506,29 ;     
12.07.2004 11:00:00   ;   506,48 ;     
29.08.2005 11:00:00   ;   506,37 ;     
02.07.2007 11:00:00   ;   506,23 ;     
14.07.2008 12:00:00   ;   506,94 ;     
25.05.2009 11:00:00   ;   506,64 ;     
14.06.2010 11:00:00   ;   506,68 ;     
27.06.2011 12:00:00   ;   506,00 ;     
11.06.2012 12:00:00   ;   506,68 ;     
24.06.2013 12:00:00   ;   506,68 ;     
18.08.2014 11:00:00   ;   506,47 ;     
08.06.2015 11:00:00   ;   506,58 ;     
27.06.2016 11:00:00   ;   506,89 ;     
14.08.2017 11:00:00   ;   506,08 ;     
04.06.2018 11:00:00   ;   506,28 ;     
17.06.2019 11:00:00   ;   507,28 ;     
12.10.2020 11:00:00   ;   506,68 ;     
19.07.2021 11:00:00   ;   507,04 ;     
