Messstelle:                ;Schützen am Gebirge, Br 21
HZB-Nummer:                ;326264
HD-Nummer:                 ;
DBMS-Nummer:               ;1002185
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.1986
 Geländehöhe:              ;127,81
 Messpunkthöhe:            ;127,86
 Sohllage:                 ;124,46
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.1986               ;16 37 56                 ;47 51 11
  28.02.1986               ;16 37 52                 ;47 51 10
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1986 23:59:55   ;   125,27 ;     
23.02.1987 07:01:00   ;   125,38 ;     
29.02.1988 07:01:00   ;   125,32 ;     
08.05.1989 07:01:00   ;   125,34 ;     
09.04.1990 07:01:00   ;   125,28 ;     
20.05.1991 07:01:00   ;   125,44 ;     
07.12.1992 07:01:00   ;   125,35 ;     
31.12.1993 23:59:55   ;   125,29 ;     
03.01.1994 07:01:00   ;   125,30 ;     
06.03.1995 07:01:00   ;   125,32 ;     
15.04.1996 07:01:00   ;   125,28 ;     
14.07.1997 07:45:00   ;   125,33 ;     
07.09.1998 07:45:00   ;   125,31 ;     
27.12.1999 07:15:00   ;   125,33 ;     
10.04.2000 07:15:00   ;   125,35 ;     
10.09.2001 07:15:00   ;   125,27 ;     
14.10.2002 07:15:00   ;   125,29 ;     
03.02.2003 07:15:00   ;   125,26 ;     
07.06.2004 07:15:00   ;   125,29 ;     
31.12.2005 23:59:55   ;   125,32 ;     
02.01.2006 07:15:00   ;   125,34 ;     
26.03.2007 07:15:00   ;   125,34 ;     
22.12.2008 07:15:00   ;   125,29 ;     
09.03.2009 07:15:00   ;   125,39 ;     
16.08.2010 06:45:00   ;   125,38 ;     
20.06.2011 06:45:00   ;   125,24 ;     
29.07.2012 18:05:00   ;   125,37 ;     
10.08.2013 10:30:00   ;   125,40 ;     
19.09.2014 08:00:00   ;   125,47 ;     
25.04.2015 18:00:00   ;   125,41 ;     
05.03.2016 10:00:00   ;   125,35 ;     
15.08.2017 11:00:00   ;   125,32 ;     
26.05.2018 12:00:00   ;   125,31 ;     
15.09.2019 13:00:00   ;   125,23 ;     
13.07.2020 14:00:00   ;   125,31 ;     
20.12.2021 17:00:00   ;   125,24 ;     
