Messstelle:                ;Ebbs, Bl  8 (171)
HZB-Nummer:                ;346791
HD-Nummer:                 ;
DBMS-Nummer:               ;7004178
Fremdnummer:               ;GW70508067
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Grenzkraftwerke GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.08.2003
 Geländehöhe:              ;481,20
 Messpunkthöhe:            ;482,00
 Sohllage:                 ;467,75
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  02.01.1984               ;12 13 22                 ;47 37 06
  01.01.1984               ;12 12 21                 ;47 37 00
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.09.1984 12:00:00   ;   473,56 ;     
01.09.1985 12:00:00   ;   474,00 ;     
16.06.1986 07:01:00   ;   472,43 ;     
10.08.1987 07:01:00   ;   473,64 ;     
31.12.1988 23:59:55   ;   473,22 ;     
23.01.1989 07:01:00   ;   473,35 ;     
20.08.1990 07:01:00   ;   472,10 ;     
02.09.1991 07:01:00   ;   472,96 ;     
05.06.1992 07:01:00   ;   472,45 ;     
11.10.1993 07:01:00   ;   473,12 ;     
21.06.1994 07:01:00   ;   472,57 ;     
04.07.1995 07:01:00   ;   473,54 ;     
20.11.1996 07:01:00   ;   472,63 ;     
28.08.1997 07:01:00   ;   472,73 ;     
26.06.1999 12:00:00   ;   473,30 ;     
12.04.2000 01:00:00   ;   473,55 ;     
20.06.2001 23:00:00   ;   472,53 ;     
14.11.2002 08:00:00   ;   473,02 ;     
01.01.2003 00:00:05   ;   472,89 ;     
27.08.2004 03:00:00   ;   472,72 ;     
20.09.2005 07:00:00   ;   473,21 ;     
09.08.2006 01:00:00   ;   472,84 ;     
13.11.2007 18:00:00   ;   472,63 ;     
17.08.2009 11:00:00   ;   473,12 ;     
03.10.2010 16:00:00   ;   472,87 ;     
12.11.2011 10:00:00   ;   472,30 ;     
04.03.2012 16:00:00   ;   472,65 ;     
01.07.2013 00:00:00   ;   473,41 ;     
25.10.2014 02:00:00   ;   472,72 ;     
05.01.2015 10:00:00   ;   472,39 ;     
12.08.2016 16:00:00   ;   472,82 ;     
09.10.2017 01:00:00   ;   472,66 ;     
19.02.2018 22:00:00   ;   472,61 ;     
30.07.2019 13:00:00   ;   472,57 ;     
11.12.2020 09:00:00   ;   472,27 ;     
06.10.2021 21:00:00   ;   472,67 ;     
