Messstelle:                ;Liesfeld, Bl  8 (K78)
HZB-Nummer:                ;334540
HD-Nummer:                 ;
DBMS-Nummer:               ;7002132
Fremdnummer:               ;GW70514059
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1989
 Geländehöhe:              ;502,78
 Messpunkthöhe:            ;503,68
 Sohllage:                 ;494,28
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1989               ;12 00 50                 ;47 29 00
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.07.1989 07:01:00   ;   500,87 ;     
09.07.1990 07:01:00   ;   500,92 ;     
19.06.1991 07:01:00   ;   501,02 ;     
04.06.1992 07:01:00   ;   500,76 ;     
21.07.1993 07:01:00   ;   501,26 ;     
13.06.1994 07:01:00   ;   500,76 ;     
30.08.1995 07:01:00   ;   501,52 ;     
09.07.1996 07:01:00   ;   501,14 ;     
23.06.1997 07:01:00   ;   501,51 ;     
09.07.1998 07:01:00   ;   501,05 ;     
25.05.1999 07:01:00   ;   501,45 ;     
07.08.2000 09:50:00   ;   501,27 ;     
11.06.2001 07:01:00   ;   501,50 ;     
14.08.2002 07:50:00   ;   501,33 ;     
15.06.2003 06:15:00   ;   501,12 ;     
10.07.2004 11:45:00   ;   501,32 ;     
24.08.2005 04:30:00   ;   502,02 ;     
29.06.2006 22:15:00   ;   501,24 ;     
06.09.2007 20:45:00   ;   501,74 ;     
14.07.2008 23:30:00   ;   501,38 ;     
19.07.2009 01:45:00   ;   501,32 ;     
31.08.2010 16:00:00   ;   501,61 ;     
11.10.2011 04:15:00   ;   501,13 ;     
31.08.2012 17:15:00   ;   501,68 ;     
02.06.2013 14:30:00   ;   502,00 ;     
14.08.2014 08:15:00   ;   501,59 ;     
24.05.2015 01:00:00   ;   501,26 ;     
14.07.2016 10:00:00   ;   501,71 ;     
03.09.2017 07:45:00   ;   501,42 ;     
14.06.2018 02:00:00   ;   501,09 ;     
13.06.2019 10:30:00   ;   501,70 ;     
03.07.2020 09:00:00   ;   501,50 ;     
18.07.2021 16:45:00   ;   501,83 ;     
