Messstelle:                ;Mitterberg, Bl 55.1
HZB-Nummer:                ;375055
HD-Nummer:                 ;V55.1
DBMS-Nummer:               ;4003031
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;27.02.1984
 Geländehöhe:              ;396,33
 Messpunkthöhe:            ;397,21
 Sohllage:                 ;344,16
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 49 18                 ;48 02 44
  01.01.2003               ;13 49 08                 ;48 02 42
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.07.1984 07:01:00   ;   360,54 ;     
13.08.1985 07:01:00   ;   360,91 ;     
06.05.1986 07:01:00   ;   360,27 ;     
29.06.1987 07:01:00   ;   360,73 ;     
06.06.1988 07:01:00   ;   360,89 ;     
26.06.1989 07:01:00   ;   360,68 ;     
16.07.1990 07:01:00   ;   360,78 ;     
05.08.1991 07:01:00   ;   362,33 ;     
30.11.1992 07:01:00   ;   361,33 ;     
02.08.1993 07:01:00   ;   361,38 ;     
18.04.1994 07:01:00   ;   361,70 ;     
04.09.1995 07:01:00   ;   361,35 ;     
16.09.1996 07:01:00   ;   361,36 ;     
21.07.1997 07:01:00   ;   361,81 ;     
21.09.1998 07:01:00   ;   361,11 ;     
17.05.1999 07:01:00   ;   361,24 ;     
03.05.2000 07:01:00   ;   361,13 ;     
28.03.2001 07:01:00   ;   360,96 ;     
14.08.2002 07:01:00   ;   362,23 ;     
15.10.2003 07:01:00   ;   360,88 ;     
06.06.2004 07:01:00   ;   361,27 ;     
17.07.2005 07:01:00   ;   361,57 ;     
11.08.2006 07:01:00   ;   361,57 ;     
14.09.2007 07:01:00   ;   362,22 ;     
25.07.2008 07:01:00   ;   360,94 ;     
02.07.2009 07:01:00   ;   361,74 ;     
02.06.2010 12:00:00   ;   361,46 ;     
15.10.2011 12:00:00   ;   361,23 ;     
05.06.2012 12:00:00   ;   361,09 ;     
04.06.2013 12:00:00   ;   362,11 ;     
20.05.2014 12:00:00   ;   361,30 ;     
26.05.2015 12:00:00   ;   360,98 ;     
19.07.2016 12:00:00   ;   361,23 ;     
05.09.2017 12:00:00   ;   360,96 ;     
03.07.2018 12:00:00   ;   360,80 ;     
04.06.2019 07:01:00   ;   361,01 ;     
21.07.2020 07:01:00   ;   361,00 ;     
20.07.2021 07:01:00   ;   361,13 ;     
