Messstelle:                ;Kleblach-Lind, Bl 404
HZB-Nummer:                ;317859
HD-Nummer:                 ;
DBMS-Nummer:               ;2002069
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.06.2023
 Geländehöhe:              ;567,84
 Messpunkthöhe:            ;570,93
 Sohllage:                 ;565,49
 T-Messtiefe u.GOK:        ;4,91
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.03.1988               ;13 20 52                 ;46 46 21
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.07.1988 07:01:00   ;   566,02 ;     
05.07.1989 07:01:00   ;   566,56 ;     
26.11.1990 07:01:00   ;   566,41 ;     
18.06.1991 07:01:00   ;   566,96 ;     
21.06.1992 07:01:00   ;   566,08 ;     
09.10.1993 07:01:00   ;   567,02 ;     
15.09.1994 07:01:00   ;   566,28 ;     
05.07.1995 07:01:00   ;   566,32 ;     
19.11.1996 07:01:00   ;   566,98 ;     
29.06.1997 07:30:00   ;   566,50 ;     
08.10.1998 07:30:00   ;   567,09 ;     
21.08.1999 07:30:00   ;   566,39 ;     
18.11.2000 07:30:00   ;   566,89 ;     
01.06.2001 07:30:00   ;   566,42 ;     
27.11.2002 07:30:00   ;   566,84 ;     
02.11.2003 07:30:00   ;   566,09 ;     
06.10.2005 07:30:00   ;   566,67 ;     
24.05.2006 07:30:00   ;   566,32 ;     
10.07.2007 07:30:00   ;   566,49 ;     
20.06.2009 21:00:00   ;   567,07 ;     
14.06.2010 16:00:00   ;   566,24 ;     
24.06.2011 03:00:00   ;   566,72 ;     
12.11.2012 16:00:00   ;   566,67 ;     
24.06.2013 18:00:00   ;   566,60 ;     
23.03.2014 23:00:00   ;   567,00 ;     
05.08.2015 09:00:00   ;   566,38 ;     
19.09.2017 13:00:00   ;   566,19 ;     
30.10.2018 14:00:00   ;   567,92 ;     
18.11.2019 01:00:00   ;   567,21 ;     
31.08.2020 03:00:00   ;   567,34 ;     
22.06.2021 03:00:00   ;   566,53 ;     
