Messstelle:                ;Apetlon, Bl 109 A
HZB-Nummer:                ;305672
HD-Nummer:                 ;
DBMS-Nummer:               ;1002018
PorenGW-Gebiet:            ;318 Seewinkel
Grundwasserkörper:         ;Seewinkel [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.07.1997
 Geländehöhe:              ;120,45
 Messpunkthöhe:            ;121,45
 Sohllage:                 ;110,95
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  06.07.1997               ;16 51 05                 ;47 46 43
  04.07.1997               ;16 51 01                 ;47 46 42
  27.10.1969               ;16 51 33                 ;47 47 03
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
16.03.1970 07:01:00   ;   120,10 ;     
19.04.1971 07:01:00   ;   119,28 ;     
12.06.1972 07:01:00   ;   119,63 ;     
09.04.1973 07:01:00   ;   119,37 ;     
01.04.1974 07:01:00   ;   119,23 ;     
13.01.1975 07:01:00   ;   119,50 ;     
07.03.1976 07:01:00   ;   119,85 ;     
20.02.1977 07:01:00   ;   120,25 ;     
11.06.1978 07:01:00   ;   119,24 ;     
20.05.1979 07:01:00   ;   119,74 ;     
24.02.1980 07:01:00   ;   119,64 ;     
18.01.1981 07:01:00   ;   119,60 ;     
31.12.1982 23:59:55   ;   119,67 ;     
13.03.1983 07:01:00   ;   119,96 ;     
13.05.1984 07:01:00   ;   119,04 ;     
26.05.1985 07:01:00   ;   119,28 ;     
23.03.1986 07:01:00   ;   119,98 ;     
26.04.1987 07:01:00   ;   119,66 ;     
10.04.1988 07:01:00   ;   119,63 ;     
26.03.1989 07:01:00   ;   119,09 ;     
11.02.1990 07:01:00   ;   118,59 ;     
31.12.1991 23:59:55   ;   118,94 ;     
05.04.1992 07:01:00   ;   119,56 ;     
04.04.1993 07:01:00   ;   119,19 ;     
08.05.1994 07:01:00   ;   119,20 ;     
10.06.1995 07:01:00   ;   119,94 ;     
07.04.1996 07:01:00   ;   120,49 ;     
16.02.1997 07:30:00   ;   119,65 ;     
27.12.1998 07:30:00   ;   119,53 ;     
21.02.1999 08:00:00   ;   119,62 ;     
16.04.2000 08:00:00   ;   119,64 ;     
22.04.2001 10:00:00   ;   118,69 ;     
14.04.2002 10:00:00   ;   118,65 ;     
02.02.2003 10:00:00   ;   119,17 ;     
13.06.2004 10:00:00   ;   118,61 ;     
01.05.2005 10:00:00   ;   118,26 ;     
07.05.2006 10:00:00   ;   119,03 ;     
16.12.2007 10:00:00   ;   118,82 ;     
30.03.2008 10:00:00   ;   118,97 ;     
05.04.2009 10:00:00   ;   119,35 ;     
26.12.2010 10:00:00   ;   119,23 ;     
20.03.2011 10:00:00   ;   119,35 ;     
01.04.2012 10:00:00   ;   118,38 ;     
07.04.2013 10:00:00   ;   119,69 ;     
07.12.2014 10:00:00   ;   119,95 ;     
01.02.2015 15:00:00   ;   119,97 ;     
06.03.2016 15:00:00   ;   119,29 ;     
02.04.2017 15:00:00   ;   118,64 ;     
08.04.2018 15:00:00   ;   118,79 ;     
02.06.2019 15:00:00   ;   118,53 ;     
22.03.2020 15:00:00   ;   118,01 ;     
04.04.2021 15:00:00   ;   118,30 ;     
