Messstelle:                ;Leithaprodersdorf, Bl 5
HZB-Nummer:                ;335596
HD-Nummer:                 ;
DBMS-Nummer:               ;1002267
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Gruppe Südl. Wiener Becken-Ostrand [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.04.1993
 Geländehöhe:              ;201,76
 Messpunkthöhe:            ;202,66
 Sohllage:                 ;191,76
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.04.1993               ;16 28 08                 ;47 56 09
  31.03.1993               ;16 28 04                 ;47 56 07
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1993 23:59:55   ;   197,62 ;     
25.04.1994 07:01:00   ;   197,71 ;     
17.04.1995 07:01:00   ;   197,71 ;     
13.05.1996 07:01:00   ;   198,32 ;     
10.07.1997 08:00:00   ;   198,51 ;     
23.03.1998 08:00:00   ;   197,59 ;     
25.05.1999 15:00:00   ;   197,64 ;     
02.04.2000 15:00:00   ;   197,86 ;     
01.04.2001 15:00:00   ;   197,43 ;     
24.03.2002 15:00:00   ;   197,66 ;     
02.02.2003 15:00:00   ;   197,65 ;     
28.03.2004 15:00:00   ;   197,59 ;     
03.04.2005 15:00:00   ;   197,52 ;     
07.05.2006 15:00:00   ;   197,63 ;     
16.12.2007 15:00:00   ;   197,68 ;     
01.01.2008 00:00:05   ;   197,55 ;     
28.06.2009 10:00:00   ;   198,24 ;     
13.12.2010 09:00:00   ;   197,64 ;     
17.01.2011 09:00:00   ;   197,58 ;     
01.04.2012 08:00:00   ;   197,40 ;     
03.03.2013 08:00:00   ;   197,82 ;     
18.05.2014 10:00:00   ;   197,90 ;     
11.01.2015 13:00:00   ;   197,61 ;     
14.08.2016 15:00:00   ;   197,46 ;     
26.03.2017 15:00:00   ;   197,51 ;     
04.04.2018 16:00:00   ;   197,55 ;     
07.06.2019 05:00:00   ;   197,54 ;     
04.11.2020 06:00:00   ;   197,42 ;     
09.02.2021 05:00:00   ;   197,56 ;     
