Messstelle:                ;Schwertberg, Bl 2107.015
HZB-Nummer:                ;314229
HD-Nummer:                 ;2107.015
DBMS-Nummer:               ;4002288
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.06.1974
 Geländehöhe:              ;248,32
 Messpunkthöhe:            ;248,32
 Sohllage:                 ;242,17
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 34 48                 ;48 15 33
  01.01.2003               ;14 34 49                 ;48 15 36
  10.05.1967               ;14 34 49                 ;48 15 36
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.02.1968 07:01:00   ;   244,29 ;     
14.08.1969 07:01:00   ;   244,04 ;     
03.04.1970 07:01:00   ;   244,59 ;     
01.01.1971 00:00:05   ;   244,42 ;     
11.08.1972 07:01:00   ;   244,47 ;     
06.04.1973 07:01:00   ;   244,09 ;     
31.12.1974 23:59:55   ;   244,76 ;     
10.01.1975 07:01:00   ;   245,02 ;     
10.02.1976 07:01:00   ;   244,42 ;     
16.03.1977 07:01:00   ;   244,72 ;     
19.04.1978 07:01:00   ;   244,03 ;     
11.04.1979 07:01:00   ;   245,22 ;     
07.05.1980 07:01:00   ;   244,43 ;     
22.12.1981 07:01:00   ;   244,69 ;     
10.02.1982 07:01:00   ;   244,91 ;     
16.03.1983 07:01:00   ;   244,06 ;     
30.05.1984 07:01:00   ;   243,99 ;     
28.08.1985 07:01:00   ;   244,62 ;     
29.01.1986 07:01:00   ;   244,67 ;     
01.04.1987 07:01:00   ;   244,60 ;     
30.03.1988 07:01:00   ;   245,22 ;     
10.05.1989 07:01:00   ;   244,35 ;     
14.03.1990 07:01:00   ;   244,12 ;     
07.08.1991 07:01:00   ;   244,96 ;     
31.03.1992 07:01:00   ;   244,50 ;     
02.04.1993 07:01:00   ;   244,34 ;     
28.04.1994 07:01:00   ;   244,69 ;     
20.04.1995 07:01:00   ;   244,42 ;     
30.05.1996 07:01:00   ;   244,81 ;     
07.08.1997 07:01:00   ;   244,28 ;     
16.12.1998 07:01:00   ;   244,63 ;     
15.04.1999 07:01:00   ;   245,26 ;     
23.03.2000 07:01:00   ;   244,52 ;     
25.04.2001 07:01:00   ;   244,58 ;     
13.08.2002 07:01:00   ;   247,85 ;     
09.01.2003 07:01:00   ;   244,99 ;     
08.04.2004 07:01:00   ;   244,27 ;     
28.07.2005 07:01:00   ;   244,65 ;     
06.04.2006 07:01:00   ;   245,02 ;     
20.09.2007 07:01:00   ;   245,34 ;     
22.05.2008 07:01:00   ;   244,25 ;     
16.04.2009 07:01:00   ;   244,48 ;     
13.09.2010 07:01:00   ;   244,15 ;     
20.01.2011 07:01:00   ;   244,03 ;     
12.07.2012 07:01:00   ;   244,05 ;     
25.07.2013 07:01:00   ;   244,49 ;     
01.01.2014 00:00:05   ;   244,28 ;     
01.01.2015 00:00:05   ;   243,92 ;     
08.09.2016 07:01:00   ;   244,22 ;     
01.01.2017 00:00:05   ;   244,14 ;     
01.03.2018 12:57:00   ;   243,92 ;     
06.06.2019 07:01:00   ;   243,84 ;     
14.09.2020 12:53:00   ;   243,82 ;     
26.08.2021 07:01:00   ;   243,85 ;     
