Messstelle:                ;Ebelsberg, Br 26.66
HZB-Nummer:                ;377184
HD-Nummer:                 ;2126.066
DBMS-Nummer:               ;4002911
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Gruppe Zwischen Krems und Moosbachl [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Linzer Elektrizitäts-, Fernwärme- und Verkehrsbetriebe-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.02.2023
 Geländehöhe:              ;262,02
 Messpunkthöhe:            ;262,42
 Sohllage:                 ;255,22
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 19 15                 ;48 14 06
  01.01.2003               ;14 19 20                 ;48 14 09
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
22.03.1993 07:01:00   ;   257,42 ;     
18.04.1994 07:01:00   ;   257,90 ;     
10.04.1995 07:01:00   ;   257,29 ;     
20.05.1996 07:01:00   ;   257,77 ;     
25.07.1997 07:01:00   ;   257,56 ;     
20.11.1998 07:01:00   ;   257,03 ;     
23.02.1999 07:01:00   ;   257,58 ;     
20.03.2000 07:01:00   ;   257,48 ;     
17.09.2001 07:01:00   ;   257,12 ;     
19.08.2002 07:01:00   ;   258,33 ;     
06.01.2003 07:01:00   ;   257,17 ;     
09.06.2004 07:01:00   ;   257,21 ;     
17.07.2005 07:01:00   ;   257,61 ;     
29.03.2006 07:01:00   ;   258,04 ;     
12.09.2007 07:01:00   ;   257,83 ;     
19.03.2008 07:01:00   ;   257,20 ;     
01.07.2009 07:01:00   ;   258,10 ;     
09.06.2010 07:01:00   ;   257,74 ;     
19.01.2011 07:01:00   ;   257,20 ;     
25.01.2012 07:01:00   ;   257,51 ;     
05.06.2013 07:01:00   ;   258,46 ;     
04.06.2014 07:01:00   ;   257,28 ;     
13.01.2015 07:01:00   ;   257,04 ;     
26.05.2016 07:01:00   ;   257,49 ;     
17.05.2017 07:01:00   ;   257,08 ;     
09.01.2018 07:01:00   ;   257,20 ;     
03.06.2019 07:01:00   ;   257,17 ;     
12.02.2020 07:01:00   ;   257,12 ;     
10.08.2021 07:01:00   ;   257,34 ;     
