Messstelle:                ;Stopfenreuth, Bl 1887.1
HZB-Nummer:                ;356113
HD-Nummer:                 ;3HD38701
DBMS-Nummer:               ;10001123
Fremdnummer:               ;1887.001
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2007
 Geländehöhe:              ;143,06
 Messpunkthöhe:            ;143,81
 Sohllage:                 ;138,61
 T-Messtiefe u.GOK:        ;4,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 53 45                 ;48 08 41
  01.01.2010               ;16 53 45                 ;48 08 42
  20.08.2008               ;16 53 45                 ;48 08 41
  04.07.1981               ;16 53 45                 ;48 08 42
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.11.1998 14:00:00   ;   140,89 ;     
25.02.1999 14:00:00   ;   141,51 ;     
10.08.2000 14:00:00   ;   141,02 ;     
29.03.2001 14:00:00   ;   141,30 ;     
07.11.2002 14:00:00   ;   141,23 ;     
03.01.2003 14:00:00   ;   140,77 ;     
06.06.2004 22:00:00   ;   140,85 ;     
13.07.2005 14:00:00   ;   143,56 ;     
30.03.2006 17:00:00   ;   144,22 ;     
08.09.2007 11:19:00   ;   144,18 ;     
25.07.2008 06:31:10   ;   140,94 ;     
25.06.2009 09:00:00   ;   144,39 ;     
05.06.2010 06:00:00   ;   144,01 ;     
15.01.2011 21:00:00   ;   143,72 ;     
14.06.2012 11:00:00   ;   141,37 ;     
05.06.2013 02:00:00   ;   145,24 ;     
25.10.2014 03:00:00   ;   141,75 ;     
25.05.2015 01:00:00   ;   141,43 ;     
15.07.2016 19:00:00   ;   141,88 ;     
05.09.2017 00:00:00   ;   140,49 ;     
06.01.2018 23:00:00   ;   140,88 ;     
31.05.2019 00:00:00   ;   141,94 ;     
06.08.2020 03:00:00   ;   141,67 ;     
20.07.2021 02:00:00   ;   142,64 ;     
