Messstelle:                ;Raabau, Br  5221
HZB-Nummer:                ;328989
HD-Nummer:                 ;uw5221
DBMS-Nummer:               ;6002552
PorenGW-Gebiet:            ;331 Raabtal
Grundwasserkörper:         ;Raabtal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;20.01.2020
 Geländehöhe:              ;278,76
 Messpunkthöhe:            ;279,16
 Sohllage:                 ;272,66
 T-Messtiefe u.GOK:        ;5,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 54 34                 ;46 57 35
  01.01.1981               ;15 54 34                 ;46 57 35
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
25.06.1981 07:01:00   ;   276,87 ;     
20.12.1982 07:01:00   ;   277,23 ;     
01.01.1983 00:00:05   ;   276,73 ;     
12.03.1984 07:01:00   ;   276,95 ;     
25.03.1985 07:01:00   ;   277,40 ;     
10.03.1986 07:01:00   ;   277,17 ;     
30.03.1987 07:01:00   ;   277,00 ;     
11.01.1988 07:01:00   ;   275,52 ;     
21.08.1989 07:01:00   ;   276,93 ;     
11.06.1990 07:01:00   ;   276,92 ;     
25.11.1991 07:01:00   ;   276,97 ;     
30.03.1992 07:01:00   ;   276,85 ;     
31.12.1993 23:59:55   ;   276,83 ;     
13.06.1994 07:01:00   ;   277,03 ;     
06.03.1995 07:01:00   ;   277,16 ;     
18.03.1996 07:01:00   ;   276,83 ;     
31.12.1997 23:59:55   ;   276,81 ;     
01.01.1998 07:01:00   ;   276,85 ;     
21.06.1999 07:01:00   ;   276,89 ;     
31.12.2000 23:59:55   ;   275,67 ;     
01.01.2001 07:01:00   ;   275,71 ;     
09.12.2002 07:01:00   ;   275,05 ;     
10.03.2003 07:01:00   ;   274,72 ;     
28.06.2004 07:01:00   ;   276,52 ;     
22.08.2005 07:01:00   ;   277,76 ;     
05.06.2006 07:01:00   ;   276,49 ;     
26.03.2007 07:01:00   ;   276,54 ;     
22.12.2008 07:01:00   ;   276,15 ;     
25.06.2009 13:29:00   ;   278,06 ;     
27.02.2010 03:00:00   ;   276,90 ;     
21.01.2011 03:00:00   ;   276,52 ;     
06.11.2012 03:00:00   ;   277,08 ;     
27.02.2013 03:00:00   ;   277,71 ;     
14.09.2014 03:00:00   ;   277,53 ;     
24.05.2015 03:00:00   ;   277,07 ;     
20.02.2016 03:00:00   ;   277,34 ;     
07.02.2017 03:00:00   ;   276,74 ;     
18.03.2018 03:00:00   ;   276,98 ;     
31.05.2019 03:00:00   ;   276,12 ;     
23.08.2020 00:00:00   ;   277,85 ;     
28.05.2021 05:00:00   ;   276,65 ;     
