Messstelle:                ;Wien 20, Bl 20-30
HZB-Nummer:                ;350157
HD-Nummer:                 ;20-30
DBMS-Nummer:               ;9002267
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.08.1989
 Geländehöhe:              ;162,60
 Messpunkthöhe:            ;162,50
 Sohllage:                 ;154,00
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  04.08.1989               ;16 23 35                 ;48 14 11
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1994 00:00:00   ;   155,64 ;     
31.12.1995 00:00:00   ;   156,30 ;     
20.07.1996 07:01:00   ;   158,68 ;     
10.07.1997 11:11:00   ;   158,49 ;     
03.12.1998 11:11:00   ;   157,74 ;     
18.03.1999 11:11:00   ;   158,77 ;     
25.05.2000 06:05:00   ;   157,89 ;     
20.09.2001 06:35:00   ;   158,76 ;     
04.09.2002 11:11:00   ;   158,76 ;     
01.01.2003 00:00:05   ;   158,64 ;     
26.03.2004 11:11:00   ;   158,25 ;     
02.09.2005 11:11:00   ;   158,32 ;     
21.04.2006 13:40:00   ;   158,69 ;     
21.09.2007 11:11:00   ;   158,72 ;     
25.07.2008 11:11:00   ;   158,76 ;     
10.04.2009 11:11:00   ;   159,04 ;     
11.06.2010 11:11:00   ;   158,92 ;     
25.01.2011 08:20:00   ;   158,53 ;     
27.06.2012 06:40:00   ;   159,11 ;     
16.01.2013 07:30:00   ;   158,85 ;     
06.08.2014 06:55:00   ;   158,56 ;     
21.01.2015 08:55:00   ;   158,56 ;     
15.06.2016 07:10:00   ;   158,93 ;     
14.08.2017 11:11:00   ;   158,31 ;     
06.01.2018 11:11:00   ;   158,77 ;     
28.05.2019 00:00:00   ;   158,71 ;     
25.06.2020 03:00:00   ;   158,66 ;     
25.07.2021 00:00:00   ;   158,98 ;     
